x,y,z,dist
-5.333968400955200195e-01,1.729400604963302612e-01,-3.753658831119537354e-01,4.929152969108027693e-02
1.359094619750976562e+00,1.256020307540893555e+00,-1.937613189220428467e-01,8.113401917027004973e-02
-1.523059010505676270e-01,-4.210060536861419678e-01,-1.264349818229675293e-01,3.129126182979789089e-02
-2.398388236761093140e-01,8.487820029258728027e-01,8.962273597717285156e-02,1.120372567133997611e-02
-8.262376189231872559e-01,-1.075432777404785156e+00,5.871415734291076660e-01,2.822065588319180307e-01
4.110054373741149902e-01,-7.862870097160339355e-01,1.750800311565399170e-01,7.352227793841736858e-02
-9.255790710449218750e-02,8.655632138252258301e-01,-9.361853003501892090e-01,4.651650470841442453e-02
-5.005925893783569336e-01,-5.057675242424011230e-01,-2.327278852462768555e-01,1.057396232397212615e-01
-7.697507739067077637e-02,6.229519248008728027e-01,6.670337319374084473e-01,1.241480294042928562e-01
-6.075083613395690918e-01,-2.113044261932373047e-03,-3.897534012794494629e-01,8.628850723767390873e-02
3.301030993461608887e-01,1.262590646743774414e+00,4.902933537960052490e-01,8.861249455724727608e-02
-6.690139174461364746e-01,-2.834142446517944336e-01,2.471068948507308960e-01,1.300252573777569559e-02
-7.724835276603698730e-01,8.460250496864318848e-01,-1.308928966522216797e+00,9.408688490884856148e-02
-2.725977897644042969e-01,7.613077759742736816e-01,-1.459921717643737793e+00,1.750430920789150802e-01
-5.934790968894958496e-01,9.289527535438537598e-01,3.120241165161132812e-01,3.426602058853190497e-02
-4.279370903968811035e-01,2.757328152656555176e-01,8.258280754089355469e-01,1.172727802889078907e-01
1.010726928710937500e+00,-2.040871083736419678e-01,-5.669445395469665527e-01,6.023308317472025886e-02
9.778904914855957031e-02,1.539830118417739868e-03,1.501433253288269043e-01,7.040546895070413924e-02
7.154111266136169434e-01,-1.855521321296691895e+00,-4.127401113510131836e-01,1.725361890404409904e-01
2.390256375074386597e-01,4.253477230668067932e-02,-3.206024318933486938e-02,2.813539916762419768e-02
2.005626410245895386e-01,1.969669014215469360e-02,-9.068572521209716797e-01,8.232789644889905445e-02
-5.832213759422302246e-01,-3.485715091228485107e-01,-2.256751954555511475e-01,7.744147872317894143e-02
1.878441870212554932e-02,4.254527762532234192e-02,7.946583032608032227e-01,2.741431720310908426e-01
-4.374560117721557617e-01,-2.196474373340606689e-02,-4.586242139339447021e-01,1.522781142464945531e-02
6.834894418716430664e-02,-1.149323105812072754e+00,6.981319189071655273e-01,6.076860289054367842e-02
2.886580824851989746e-01,1.357044458389282227e+00,7.317029833793640137e-01,6.002291837967725641e-02
-4.673998951911926270e-01,-1.593484163284301758e+00,7.641559839248657227e-02,1.352060469683967203e-01
-4.702392816543579102e-01,1.014252305030822754e+00,-2.428817562758922577e-02,5.527143374687981149e-03
-6.832390427589416504e-01,7.171625494956970215e-01,-1.173145174980163574e-01,1.395827807782009343e-02
-2.919061779975891113e-01,-7.934601902961730957e-01,9.634755849838256836e-01,1.142332559538835751e-01
4.088746309280395508e-01,-8.788715004920959473e-01,-3.506586551666259766e-01,2.167853965101881192e-02
-1.475696414709091187e-01,6.847835183143615723e-01,-1.374930858612060547e+00,1.001058645181462786e-01
-6.689505577087402344e-01,6.492934823036193848e-01,2.971988916397094727e-01,9.427051863950321187e-02
-1.364823579788208008e-01,-9.143617749214172363e-01,-4.817972481250762939e-01,6.335726162471247425e-02
8.132067918777465820e-01,-1.785314679145812988e-01,-4.130649268627166748e-01,4.763859762520652325e-02
-7.009238004684448242e-01,5.840207934379577637e-01,1.100732833147048950e-01,1.405239921771035128e-01
-6.015720367431640625e-01,-3.821466118097305298e-02,3.551360070705413818e-01,3.836716006464749307e-02
