x,y,z,dist
-1.611803770065307617e-01,5.245734453201293945e-01,7.777103036642074585e-02,4.540784392063757641e-02
1.803157627582550049e-01,-6.231809258460998535e-01,9.667160511016845703e-01,3.188625329499439887e-01
1.286602318286895752e-01,-8.511637449264526367e-01,5.217643380165100098e-01,4.326137731903956229e-02
-2.168363183736801147e-01,-5.490974187850952148e-01,8.102060556411743164e-01,1.075118993944226414e-01
8.696011453866958618e-02,-5.211268067359924316e-01,3.547009825706481934e-01,1.350636186274236650e-01
-1.435694992542266846e-01,9.196948409080505371e-01,-1.074179053306579590e+00,9.795778889086272090e-02
1.104361005127429962e-02,-1.231242895126342773e+00,-2.842894196510314941e-02,1.044832246745524273e-01
6.513652801513671875e-01,-1.191985249519348145e+00,-3.680927455425262451e-01,1.422147360825115614e-01
-7.089490890502929688e-01,1.037566542625427246e+00,-6.196192502975463867e-01,3.178289604333812274e-02
-4.999890923500061035e-01,-4.008095264434814453e-01,7.225258946418762207e-01,4.943370824410046882e-02
8.746833801269531250e-01,-5.823257565498352051e-01,-3.822569549083709717e-01,3.148839145982722243e-02
-8.397314548492431641e-01,9.501760005950927734e-01,-5.793841090053319931e-03,3.093119238102028101e-02
-4.735069274902343750e-01,7.364360243082046509e-02,6.235365867614746094e-01,4.136633945802465490e-02
8.116880059242248535e-01,4.984831213951110840e-01,-2.716240286827087402e-01,9.553932054836003496e-02
-3.959288597106933594e-01,-5.232702493667602539e-01,1.332268863916397095e-01,6.321999397026084599e-02
7.307460159063339233e-02,2.964727580547332764e-01,2.197307050228118896e-01,3.471765949283873304e-02
1.085084199905395508e+00,-3.341536521911621094e-01,-2.487405538558959961e-01,7.133219260996744027e-02
-4.638740122318267822e-01,-4.005038738250732422e-01,4.430213868618011475e-01,1.682982431173753526e-02
-9.343345463275909424e-02,-4.396118521690368652e-01,-6.155053377151489258e-01,2.557501503431232337e-02
2.927111089229583740e-01,5.694867968559265137e-01,4.472065865993499756e-01,6.506788606094869934e-03
-6.738832592964172363e-01,1.573160409927368164e+00,-1.194555640220642090e+00,2.761821644577822643e-01
2.465314865112304688e-01,-1.863283514976501465e-01,7.099180221557617188e-01,1.177264810827617914e-01
2.092409580945968628e-01,-1.464670419692993164e+00,1.470579504966735840e-01,6.738194957572307686e-02
-3.383555412292480469e-01,7.698453664779663086e-01,9.201745986938476562e-01,4.235695488971955719e-02
3.564862906932830811e-02,9.136584997177124023e-01,2.221914976835250854e-01,3.709372572973453075e-02
6.868333220481872559e-01,-2.855437994003295898e-01,-3.478047847747802734e-01,7.257726501380443174e-02
9.373814612627029419e-02,8.957213759422302246e-01,2.123821973800659180e-01,7.189761155663741687e-02
9.156146645545959473e-02,-7.481156587600708008e-01,-5.514683723449707031e-01,4.771930227413555964e-02
2.720312178134918213e-01,-5.212157964706420898e-01,-4.625199437141418457e-01,2.350290684848424169e-02
-1.816435903310775757e-01,1.848894655704498291e-01,-1.621497422456741333e-01,6.011987817941505385e-02
-6.980752944946289062e-01,2.751242369413375854e-03,7.097811102867126465e-01,1.723190033269944924e-02
-9.083453416824340820e-01,2.329120635986328125e-01,-1.203312352299690247e-02,3.969086116068878262e-02
-3.823888003826141357e-01,-1.364288091659545898e+00,3.911613821983337402e-01,5.907884509264157979e-02
6.462809443473815918e-02,5.059872269630432129e-01,-6.523396968841552734e-01,2.137459516139773863e-01
3.073106706142425537e-01,2.799870371818542480e-01,1.986246705055236816e-01,2.505515671965680841e-02
7.222580909729003906e-02,-2.587143778800964355e-01,4.506935477256774902e-01,6.226494048577464746e-02
2.828954458236694336e-01,1.138458967208862305e+00,6.916112303733825684e-01,3.295603243040352154e-02
-7.766656875610351562e-01,7.747676968574523926e-01,-1.189153432846069336e+00,8.053811214350060921e-02
-3.971986174583435059e-01,-4.831209182739257812e-01,2.132127881050109863e-01,4.819160552986723883e-02
