x,y,z,dist
4.734588563442230225e-01,-8.033954501152038574e-01,-2.353164553642272949e-01,4.177063356234366615e-02
-5.569787621498107910e-01,8.308258056640625000e-01,-1.391358613967895508e+00,1.805533690870789743e-01
-3.900649547576904297e-01,-9.943253397941589355e-01,2.164576202630996704e-01,4.599947193765543257e-02
-5.485142767429351807e-02,4.473218917846679688e-01,4.274803698062896729e-01,1.108599782015267377e-01
-7.952192425727844238e-01,1.107291698455810547e+00,-1.209358811378479004e+00,1.300095554687620003e-01
-1.330397874116897583e-01,1.018655538558959961e+00,-1.895036101341247559e-01,5.442654857826317166e-02
3.681663274765014648e-01,-9.949336647987365723e-01,3.059310615062713623e-01,3.476143136692054492e-02
-6.819661259651184082e-01,-2.681142091751098633e-01,5.729295611381530762e-01,1.341775694267048624e-01
-2.576383352279663086e-01,9.598175883293151855e-01,-3.846959173679351807e-01,8.124908515579101764e-02
-9.019048810005187988e-01,1.887030005455017090e-01,9.238371253013610840e-02,4.919608644043772794e-02
-1.107660382986068726e-01,-1.343555688858032227e+00,5.195418000221252441e-01,1.763627051972281590e-01
9.509614109992980957e-01,-2.919486463069915771e-01,-4.617946743965148926e-01,3.897685471820865055e-02
-3.324573338031768799e-01,8.442001938819885254e-01,8.922983407974243164e-01,1.028364024335984978e-02
6.036426424980163574e-01,6.778050065040588379e-01,6.156730055809020996e-01,3.353742219292692867e-02
4.293272197246551514e-01,-1.076742485165596008e-01,7.142601609230041504e-01,9.773951031563075931e-02
1.045954227447509766e+00,9.758045673370361328e-01,-2.127179950475692749e-01,2.273588231698537576e-01
7.494459748268127441e-01,6.948466300964355469e-01,-6.415931880474090576e-02,6.596804421965961340e-02
5.029468536376953125e-01,3.147923946380615234e-01,3.409764766693115234e-01,3.491187889317017012e-02
-3.382676839828491211e-02,-1.541408777236938477e+00,-1.776228398084640503e-01,1.861167654993425569e-01
5.283044576644897461e-01,-5.474673509597778320e-01,-2.576356530189514160e-01,2.433011616364742433e-02
-3.527766466140747070e-01,-2.359938025474548340e-01,9.798442721366882324e-01,1.555342375161314072e-01
1.999344378709793091e-01,7.150270342826843262e-01,6.130965948104858398e-01,1.078646848748630177e-02
-4.081400632858276367e-01,-3.447572141885757446e-02,-8.542922884225845337e-02,3.306689503118193790e-02
