x,y,z,dist
-4.805128276348114014e-02,-3.028317093849182129e-01,6.244103312492370605e-01,7.732083982725568294e-02
8.554484248161315918e-01,-1.180769443511962891e+00,3.812755644321441650e-02,5.951869712622992470e-02
-1.812946945428848267e-01,-7.335098385810852051e-01,-3.216509819030761719e-01,5.439482354374863132e-02
-2.296282052993774414e-01,2.781420052051544189e-01,3.381538391113281250e-01,8.693428018700050108e-02
-1.950442492961883545e-01,-2.846032679080963135e-01,-1.933512240648269653e-01,7.361137859756883978e-03
1.262274533510208130e-01,-1.715804785490036011e-01,-1.346183717250823975e-01,1.132371801547562146e-01
6.856960654258728027e-01,-1.000160336494445801e+00,-6.083567142486572266e-01,1.015867814232735561e-01
-2.121634781360626221e-01,-7.008258104324340820e-01,1.000405311584472656e+00,2.015716916323305186e-01
-4.818306565284729004e-01,-2.285353988409042358e-01,-2.136754542589187622e-01,2.314574008871577923e-02
1.901234090328216553e-01,8.475408554077148438e-01,-5.497717261314392090e-01,1.148749303523401571e-01
7.067976593971252441e-01,-3.640456795692443848e-01,1.032331466674804688e+00,5.571287120004416588e-02
-7.056487202644348145e-01,-5.557262301445007324e-01,-1.741085201501846313e-01,7.098180090179162516e-02
8.301991224288940430e-02,-3.254666030406951904e-01,-2.863194346427917480e-01,5.342415790435794259e-02
5.794277787208557129e-02,6.805542707443237305e-01,-1.098581790924072266e+00,2.458740432897262365e-02
2.653116881847381592e-01,3.060503005981445312e-01,1.877712756395339966e-01,8.241934761928712203e-03
-6.191610693931579590e-01,2.662120163440704346e-01,6.437370181083679199e-01,6.380295923242852718e-02
-2.720546722412109375e-01,2.744957804679870605e-01,9.076631665229797363e-01,2.311282443022068533e-01
-6.357817649841308594e-01,5.548521280288696289e-01,-1.179334521293640137e+00,2.434312967440171310e-02
8.298258483409881592e-02,-4.945271015167236328e-01,6.326137185096740723e-01,4.416722513049960858e-02
8.135621249675750732e-02,-3.183218240737915039e-01,-1.033540070056915283e-01,4.592159179456019313e-02
3.217665851116180420e-01,-1.815023571252822876e-01,-5.349984169006347656e-01,3.686064060006324916e-02
-5.828269720077514648e-01,-9.922222495079040527e-01,3.038542866706848145e-01,1.210529447689012716e-01
-1.547603160142898560e-01,6.590961813926696777e-01,6.097363233566284180e-01,4.508730395805927993e-02
