x,y,z,dist
1.965738236904144287e-01,-1.369441151618957520e-01,1.990543305873870850e-01,5.228200552951194763e-02
-4.903429746627807617e-02,-1.529565811157226562e+00,1.480005085468292236e-01,9.894032145176331894e-02
5.831262469291687012e-01,1.423591077327728271e-01,-1.335708796977996826e-01,1.908186298864237851e-01
-8.447341322898864746e-01,1.943788528442382812e-01,-5.061262249946594238e-01,3.960472440241372127e-02
-6.344478130340576172e-01,2.394675314426422119e-01,-3.248231112957000732e-01,4.060902467668424387e-02
8.917972445487976074e-01,-3.562154769897460938e-01,-6.769770979881286621e-01,1.887297511439062214e-01
2.496019303798675537e-01,1.914524137973785400e-01,1.134895443916320801e+00,2.616483359343341752e-01
-6.739447712898254395e-01,-1.638059914112091064e-01,-5.000429749488830566e-01,5.101810031608372542e-02
-3.632103204727172852e-01,-9.349508285522460938e-01,2.252920866012573242e-01,5.556623361444743697e-02
-3.411490917205810547e-01,-1.165684700012207031e+00,1.618468165397644043e-01,8.024075550262384227e-02
2.656659111380577087e-02,-3.659613430500030518e-01,6.550407409667968750e-01,7.065837905534647079e-02
-3.008688688278198242e-01,5.797445774078369141e-01,-4.695018231868743896e-01,6.596529547498944379e-02
7.498163580894470215e-01,-8.491185307502746582e-01,-5.216005444526672363e-02,8.495664684179965453e-02
-1.235145702958106995e-01,5.593170598149299622e-02,-6.037154793739318848e-01,1.782622798058315083e-01
-8.008186221122741699e-01,-1.424516737461090088e-01,7.279421389102935791e-02,1.400162260145994542e-01
-1.435111761093139648e-01,-2.173774838447570801e-01,1.222344279289245605e+00,9.920792862345077789e-02
-6.541891098022460938e-01,2.010838091373443604e-01,-3.798796534538269043e-01,5.523808268581609920e-02
4.513024091720581055e-01,-8.894126415252685547e-01,-6.094622239470481873e-02,7.283197760771635554e-02
2.463159263134002686e-01,-7.342470437288284302e-02,5.467174053192138672e-01,4.508535184840025550e-02
2.076658010482788086e-01,-1.222477197647094727e+00,2.736617811024188995e-02,9.064546320922135803e-02
5.747953057289123535e-01,-8.867272734642028809e-01,5.963794589042663574e-01,4.753181791952511281e-02
-3.541832566261291504e-01,7.021704912185668945e-01,-2.510601580142974854e-01,8.121318851744795120e-02
-5.459740161895751953e-01,7.879338264465332031e-01,3.797772899270057678e-02,4.531513146149961091e-02
-4.224703907966613770e-01,-2.968326807022094727e-01,-5.118520259857177734e-01,2.991423944140980326e-02
7.974520325660705566e-01,-4.102507829666137695e-01,-1.687991321086883545e-01,1.209751194127859364e-01
-3.160744309425354004e-01,-4.452868402004241943e-01,7.367452979087829590e-02,3.291953646520610899e-02
-6.161392927169799805e-01,1.034956797957420349e-02,3.647470176219940186e-01,1.557662837461382677e-01
2.799807190895080566e-01,8.535625934600830078e-01,7.784495949745178223e-01,4.403070387479258996e-02
3.284774422645568848e-01,-5.740564465522766113e-01,5.858306884765625000e-01,2.660479942082665666e-02
3.652568459510803223e-01,-2.856301367282867432e-01,-4.302886426448822021e-01,6.561734351724395065e-02
-4.945941269397735596e-02,-1.459688782691955566e+00,2.844618856906890869e-01,1.702218659330658190e-01
7.777608036994934082e-01,-6.549965739250183105e-01,-2.918582558631896973e-01,1.400648324059202421e-01
3.231860995292663574e-01,-6.047312021255493164e-01,5.508644580841064453e-01,3.305273796940409736e-02
1.918493807315826416e-01,-8.073619753122329712e-02,-1.391447782516479492e-01,1.842577253605904020e-01
-1.932218670845031738e-01,2.460639178752899170e-01,-8.962449431419372559e-01,6.987194607276396574e-02
3.172017335891723633e-01,6.072079539299011230e-01,7.762224674224853516e-01,6.459776508265027695e-02
-6.896965503692626953e-01,1.688599288463592529e-01,-4.464567005634307861e-01,2.692251450614783007e-02
-8.816778659820556641e-02,-6.111004352569580078e-01,8.448036909103393555e-01,1.418533319063489673e-01
-2.445033788681030273e-01,-2.188359797000885010e-01,4.679945409297943115e-01,7.581639137025211750e-02
3.803139925003051758e-01,2.679260969161987305e-01,1.005274280905723572e-01,3.390413601396158327e-02
-4.798247218132019043e-01,2.636945247650146484e-01,1.256082534790039062e+00,4.216087939705673998e-02
1.954162120819091797e-01,-1.049632191658020020e+00,-7.336990237236022949e-01,1.607231126515734632e-01
4.927404522895812988e-01,2.148360311985015869e-01,-5.433203577995300293e-01,2.439948467324658948e-02
9.722152352333068848e-01,-7.751826047897338867e-01,-2.893769443035125732e-01,4.714845688158504633e-02
-7.535078525543212891e-01,-3.731949329376220703e-01,-6.431527435779571533e-02,7.013050356782887795e-02
1.934763789176940918e-01,-6.526641845703125000e-01,7.768360376358032227e-01,1.391536091641628892e-01
1.908162534236907959e-01,-7.452509999275207520e-01,1.990443766117095947e-01,3.960229370003623406e-02
-5.411708950996398926e-01,6.393428891897201538e-02,-3.625190556049346924e-01,1.014373887325963203e-01
-5.847026705741882324e-01,-1.011223867535591125e-01,-5.541312098503112793e-01,7.275280172054065728e-03
-4.871232807636260986e-02,7.025230526924133301e-01,-9.204085469245910645e-01,1.044566597213162085e-01
-8.755787014961242676e-01,2.205347716808319092e-01,-1.492547988891601562e-01,2.460028108636305375e-02
9.917068481445312500e-01,-2.063747048377990723e-01,-5.679615959525108337e-02,2.547954106763540283e-01
1.521731726825237274e-02,7.580360025167465210e-02,2.591846883296966553e-01,3.306065866457352787e-02
5.085873603820800781e-01,3.860420882701873779e-01,-1.756555438041687012e-01,6.664674854378854763e-02
1.788869202136993408e-01,-8.670071959495544434e-01,-4.999890923500061035e-01,8.799098781705441685e-02
-5.110006332397460938e-01,-4.974864423274993896e-03,-4.214246869087219238e-01,4.100974283136640808e-02
-6.078752875328063965e-01,2.766023576259613037e-01,-2.313053905963897705e-01,1.573605236260925896e-02
1.654722392559051514e-01,-1.319619536399841309e+00,-1.146243959665298462e-01,1.509806357022764993e-02
-7.878655195236206055e-01,1.109751388430595398e-01,2.300651073455810547e-01,1.312955754649108575e-01
3.101751804351806641e-01,-8.066288232803344727e-01,-4.782356023788452148e-01,9.397143134197021019e-02
5.053365826606750488e-01,-5.717507600784301758e-01,-2.241269350051879883e-01,5.126924322355726898e-02
4.428757429122924805e-01,8.816765993833541870e-02,4.976726174354553223e-01,5.228100798337222826e-02
6.941941380500793457e-01,-9.272952675819396973e-01,-5.565018653869628906e-01,6.920799122457058083e-02
-2.572974935173988342e-02,-5.837074518203735352e-01,-3.625635802745819092e-01,1.875730277977341251e-02
6.374716758728027344e-01,-1.611876189708709717e-01,8.192314505577087402e-01,4.506190968043568418e-02
-7.680615782737731934e-01,8.797339200973510742e-01,-8.367133736610412598e-01,1.135664665772029465e-02
-3.535143136978149414e-01,-4.255188107490539551e-01,-7.933037728071212769e-02,6.367552397168754763e-02
9.007440805435180664e-01,7.330977320671081543e-01,-3.093609511852264404e-01,6.507705277427915103e-02
-3.611278533935546875e-01,7.582871317863464355e-01,-1.137411296367645264e-01,4.481098682837916097e-02
-8.413778543472290039e-01,4.549282193183898926e-01,1.656914353370666504e-01,9.336002208884074116e-02
8.381634950637817383e-01,9.507178068161010742e-01,-1.704228855669498444e-02,1.382504036836929573e-01
-2.478058934211730957e-01,-1.156329989433288574e+00,-3.428458869457244873e-01,6.299181861526242932e-02
