x,y,z,dist
2.525930106639862061e-02,-5.089288353919982910e-01,6.198972463607788086e-01,4.329067405633066357e-02
8.725177496671676636e-03,6.294878125190734863e-01,5.774812698364257812e-01,7.520774440411673312e-02
2.529329359531402588e-01,6.127811223268508911e-02,-4.479128122329711914e-02,4.014097533531578443e-02
-3.035729825496673584e-01,-3.181408941745758057e-01,-9.454777091741561890e-02,1.469758789573805298e-02
1.105821371078491211e+00,-1.963305771350860596e-01,-7.180696725845336914e-01,4.634052548278002476e-02
-5.688974857330322266e-01,-9.351719617843627930e-01,-5.743777379393577576e-03,1.224124436126478171e-01
8.296012878417968750e-01,1.431208848953247070e-02,-1.251120120286941528e-03,2.496140093342401611e-01
-2.611715197563171387e-01,-8.799175620079040527e-01,2.465279102325439453e-01,4.451875057032365218e-02
9.138364791870117188e-01,-1.340640187263488770e-01,-3.161408901214599609e-01,2.348994459924115194e-02
6.638430356979370117e-01,-5.345906019210815430e-01,8.733022212982177734e-01,2.146489610332264278e-02
6.190500259399414062e-01,-1.204144716262817383e+00,-4.820836484432220459e-01,9.674343590191773756e-02
-2.952179312705993652e-01,-1.011836603283882141e-01,-5.963494181632995605e-01,5.719943363458486474e-02
-1.431123912334442139e-01,5.225924849510192871e-01,6.266961693763732910e-01,1.833901475004616199e-01
-4.877636134624481201e-01,-3.614068627357482910e-01,2.372529208660125732e-01,3.320801042647866796e-02
2.543303668498992920e-01,-1.347304224967956543e+00,-1.992467641830444336e-01,1.873865397247887268e-02
5.754666328430175781e-01,8.500690758228302002e-02,-2.153874039649963379e-01,1.008784900217603170e-01
-6.861862540245056152e-01,4.939731657505035400e-01,5.714312791824340820e-01,1.215421785306909919e-01
1.106536149978637695e+00,-1.344662308692932129e-01,-2.726358771324157715e-01,6.163243069858143075e-02
3.931508660316467285e-01,9.075090885162353516e-01,3.375362753868103027e-01,1.951592073703393992e-02
1.812146902084350586e-01,4.205018281936645508e-01,1.873443722724914551e-01,3.852794610387713647e-02
-5.927834287285804749e-02,-1.151759266853332520e+00,-5.295265913009643555e-01,1.776834547294539324e-01
3.429270684719085693e-01,-7.304898500442504883e-01,1.265478968620300293e+00,6.986104493630863888e-02
-1.676854789257049561e-01,4.486620724201202393e-01,8.422202616930007935e-02,9.222334196010596730e-02
-3.059586882591247559e-01,2.456501126289367676e-03,5.062107443809509277e-01,3.010511349249717777e-02
-2.124310135841369629e-01,4.167813062667846680e-01,5.678000450134277344e-01,2.265561629344156336e-01
-5.877732634544372559e-01,-3.051656782627105713e-01,3.374176844954490662e-02,4.250443818017798914e-02
1.319312155246734619e-01,3.029823601245880127e-01,-1.006897926330566406e+00,1.164257842233070439e-01
7.878751158714294434e-01,-4.317549467086791992e-01,6.536928415298461914e-01,1.915514034080275929e-01
7.589281201362609863e-01,-3.617904484272003174e-01,-1.336717009544372559e-01,1.244721635097121443e-01
1.016401872038841248e-02,8.907485008239746094e-01,-7.183824181556701660e-01,1.434901176932511790e-01
1.748195290565490723e-01,-4.996884763240814209e-01,-8.239355683326721191e-01,1.296761587788830827e-01
1.838963627815246582e-01,-2.802637517452239990e-01,-3.262426257133483887e-01,7.247889644327291936e-02
-3.482545539736747742e-02,4.756408035755157471e-01,3.745785355567932129e-01,3.283282190541376988e-02
9.355309605598449707e-02,-1.104764699935913086e+00,-4.921334087848663330e-01,6.537261502046205763e-02
8.839604854583740234e-01,-1.870307028293609619e-01,1.079523004591464996e-02,2.741457098190887010e-01
5.102732405066490173e-02,-9.395019412040710449e-01,-3.339280188083648682e-01,2.799507618879059495e-02
-5.719140768051147461e-01,4.908625483512878418e-01,-2.951831221580505371e-01,6.385500228230811537e-02
-7.462151646614074707e-01,1.449349284172058105e+00,-1.066611886024475098e+00,1.485756914525924177e-01
9.629549980163574219e-01,9.343674778938293457e-01,-3.086059391498565674e-01,1.446872220345574167e-01
-4.750686883926391602e-02,5.916161537170410156e-01,6.394364237785339355e-01,1.340203915907596244e-01
-3.283396959304809570e-01,-3.863013088703155518e-01,6.226547360420227051e-01,1.326060864196383811e-02
1.609031260013580322e-01,6.471564173698425293e-01,-7.510471343994140625e-01,1.677256730856729328e-01
-2.031756043434143066e-01,-4.831428229808807373e-01,-6.618924140930175781e-01,5.461921941631014271e-02
-6.613889336585998535e-01,2.319870889186859131e-01,-3.490318357944488525e-01,9.282900175652260277e-02
-4.156296849250793457e-01,1.108461499214172363e+00,-6.615269780158996582e-01,2.045313201681052059e-02
1.020553708076477051e+00,-1.162805438041687012e+00,-2.575296163558959961e-01,1.205412710346533828e-01
-4.414410516619682312e-02,-5.151802897453308105e-01,-8.582738041877746582e-01,1.262990990862428164e-01
2.508762478828430176e-01,-8.974396586418151855e-01,-1.595717966556549072e-01,2.325327058214607737e-02
-4.921633601188659668e-01,2.023759782314300537e-01,4.866016507148742676e-01,8.943062878567345497e-02
-2.053925395011901855e-01,-3.272257149219512939e-01,5.835764408111572266e-01,5.354139023117292923e-02
6.685787439346313477e-02,-7.412693500518798828e-01,-6.474111229181289673e-02,3.666529522985140926e-02
5.962086096405982971e-02,-8.521135449409484863e-01,-2.497534155845642090e-01,8.299880159906461441e-02
-4.530940651893615723e-01,-4.892607033252716064e-01,2.381448149681091309e-01,5.553799045075764884e-02
-2.139723300933837891e-01,5.775371193885803223e-01,-2.827043086290359497e-02,6.680458834849399563e-02
-3.121700584888458252e-01,5.209038034081459045e-02,2.128028869628906250e-01,4.122111826909659327e-02
8.364935517311096191e-01,1.815908551216125488e-01,-2.884730696678161621e-02,1.541873312537041518e-01
-2.158622443675994873e-01,4.658931493759155273e-02,4.326269328594207764e-01,1.749065201060266347e-02
2.803590595722198486e-01,-2.178077101707458496e-01,8.130051493644714355e-01,2.108621090062421100e-01
-6.197701692581176758e-01,9.603400826454162598e-01,-5.112675428390502930e-01,4.561830719084829927e-02
-5.982025265693664551e-01,-2.898183763027191162e-01,-2.654660046100616455e-01,3.020677305225083140e-02
1.050097867846488953e-02,-3.923436403274536133e-01,7.425077557563781738e-01,1.275672612025495201e-01
9.342932701110839844e-02,7.234880328178405762e-01,8.946333080530166626e-02,6.809955861468276750e-02
-2.862656861543655396e-02,4.361062645912170410e-01,2.958807945251464844e-01,4.679159036428576918e-02
-3.302004337310791016e-01,1.479403972625732422e-01,-9.260488152503967285e-01,9.485977508750012555e-02
-6.805742383003234863e-01,1.003623902797698975e-01,4.765350520610809326e-01,1.614025585274611041e-01
3.675486147403717041e-01,3.116788268089294434e-01,-7.522734403610229492e-01,5.511226563005990065e-02
-3.468921780586242676e-02,-6.039130687713623047e-01,-3.408705592155456543e-01,3.485578949149260863e-02
1.213343739509582520e-01,6.353226900100708008e-01,2.324729561805725098e-01,5.444390952764749381e-02
-1.569174528121948242e-01,3.851303756237030029e-01,4.185159206390380859e-01,1.150009665836725647e-01
-2.814910560846328735e-02,8.178941011428833008e-01,2.666260898113250732e-01,4.782521661584661354e-02
-7.086495161056518555e-01,1.049100875854492188e+00,8.252816647291183472e-02,7.400022813135918864e-02
4.806462675333023071e-03,-7.577466964721679688e-01,2.071324884891510010e-01,3.656706098823845480e-02
1.051372289657592773e-01,-1.578706502914428711e-01,4.594116471707820892e-03,7.644633375020444543e-02
-1.936913132667541504e-01,-1.455409288406372070e+00,-1.232325509190559387e-01,1.617732822515899616e-01
-6.886631846427917480e-01,3.617167174816131592e-01,-9.348279237747192383e-01,9.041997146349119163e-02
1.422190368175506592e-01,-1.053183197975158691e+00,-5.944374799728393555e-01,9.524896821315623208e-02
-6.659184098243713379e-01,4.306254386901855469e-01,-3.310507237911224365e-01,3.094200186084823320e-02
-8.010177016258239746e-01,5.888578295707702637e-01,-1.622630357742309570e-01,4.194801834271133512e-02
-3.881714642047882080e-01,-1.299787759780883789e+00,1.051213443279266357e-01,1.159341903084910724e-01
7.260949015617370605e-01,-1.121020793914794922e+00,-6.515238285064697266e-01,1.074796619532639858e-01
-7.978875041007995605e-01,1.195717826485633850e-01,7.451958954334259033e-02,1.855748970849654123e-01
-4.253806173801422119e-01,4.154765307903289795e-01,-7.599518448114395142e-02,2.513153762111618519e-02
2.300645112991333008e-01,4.189436882734298706e-02,-7.921983003616333008e-01,5.153614865980130078e-02
8.375392854213714600e-02,7.525250315666198730e-02,5.210532993078231812e-02,1.981852580553239984e-01
1.002241373062133789e+00,-4.870827496051788330e-01,-3.283636868000030518e-01,3.570095040712490536e-02
2.664043009281158447e-01,1.277811288833618164e+00,8.603197932243347168e-01,3.175246474255409568e-02
-5.270584300160408020e-02,7.228838205337524414e-01,7.165190577507019043e-01,7.474476985681952589e-03
