x,y,z,dist
-1.155616529285907745e-02,-1.198287248611450195e+00,-5.419359803199768066e-01,1.510956616833692145e-01
6.559477448463439941e-01,-1.215292572975158691e+00,-3.873952031135559082e-01,1.677377382661593141e-01
-6.070029363036155701e-02,-1.409799337387084961e+00,8.738822340965270996e-01,8.775775239252625592e-02
-6.341543197631835938e-01,1.121506571769714355e+00,-1.302830696105957031e+00,1.205556102890804615e-01
-8.808547854423522949e-01,8.264064788818359375e-02,-1.675635129213333130e-01,1.013652020722707880e-01
7.893310189247131348e-01,-2.609980702400207520e-01,-1.896596848964691162e-01,5.570802658315483075e-02
4.179252088069915771e-01,-1.480885624885559082e+00,7.693027257919311523e-01,2.224490664907917414e-01
1.718322932720184326e-01,-1.610760211944580078e+00,1.460642963647842407e-01,1.492601097163066270e-01
8.343077301979064941e-01,-1.857558041810989380e-01,7.219156250357627869e-03,2.569664913192549749e-01
1.321013271808624268e-01,-2.775148153305053711e-01,-5.298520922660827637e-01,3.196505859668873767e-02
1.149575710296630859e+00,-5.118820667266845703e-01,-5.944676995277404785e-01,1.682114132032496989e-01
-7.106097936630249023e-01,2.263651341199874878e-01,3.485693931579589844e-01,2.382119542624459296e-01
4.177753627300262451e-02,5.893037319183349609e-01,-6.559028625488281250e-01,2.856402555646175845e-01
2.281233668327331543e-01,-2.289782017469406128e-01,-2.963058352470397949e-01,1.257932395499361533e-01
2.937011420726776123e-01,-7.932652831077575684e-01,3.516517281532287598e-01,2.480544341414676890e-02
-2.876282334327697754e-01,8.807421922683715820e-01,-1.054870367050170898e+00,9.321568172885216774e-02
-5.813844799995422363e-01,-2.740744948387145996e-01,2.835411429405212402e-01,3.557002170491944948e-02
-2.973751723766326904e-01,2.942179143428802490e-01,4.622381329536437988e-01,1.189698234534579957e-01
2.438999414443969727e-01,5.427766442298889160e-01,-8.251550197601318359e-01,1.211981647322148831e-01
-8.799355626106262207e-01,7.637183070182800293e-01,-2.132180631160736084e-01,6.397349090743296995e-02
-8.082745671272277832e-01,4.727619141340255737e-02,-5.017855167388916016e-01,1.847189225800037818e-02
-1.475169323384761810e-02,-1.484892368316650391e+00,-5.646637082099914551e-01,2.830433595856772233e-01
7.228078842163085938e-01,1.463394165039062500e+00,-3.211960792541503906e-01,4.448101721557357613e-01
-6.452264785766601562e-01,6.199922561645507812e-01,5.755330920219421387e-01,1.165196132910530091e-01
4.019018262624740601e-03,3.130669891834259033e-02,8.393131494522094727e-01,2.862353571221588622e-01
5.101428031921386719e-01,-1.585836410522460938e+00,-2.742253839969635010e-01,1.340884156630151036e-01
3.238019347190856934e-02,5.847359895706176758e-01,-1.034543752670288086e+00,1.394185543528569764e-02
-3.766843378543853760e-01,1.007117986679077148e+00,-2.279859334230422974e-01,6.699539748485228152e-02
-4.192395806312561035e-01,6.352960467338562012e-01,7.266225218772888184e-01,6.114262630969313078e-02
1.218858882784843445e-01,1.019073128700256348e-01,-8.620257377624511719e-01,3.322765323334305604e-02
2.149313688278198242e-01,1.337373137474060059e+00,6.641708612442016602e-01,1.051841840691100510e-01
2.770947217941284180e-01,-2.688581943511962891e-01,1.467228233814239502e-01,6.918701941543546619e-02
-5.440367460250854492e-01,-6.449833512306213379e-02,5.298660993576049805e-01,2.343867412086580657e-02
-3.986516296863555908e-01,-4.162199199199676514e-01,6.136684864759445190e-02,3.061823658004796112e-02
1.041081309318542480e+00,-6.328294873237609863e-01,-3.651511669158935547e-02,6.046698916117567574e-02
1.453754901885986328e-01,-1.352268218994140625e+00,-6.139346361160278320e-01,1.321509710158255968e-01
-9.492291510105133057e-02,-1.402929425239562988e+00,-6.144596338272094727e-01,3.057585359012612858e-01
-4.993671178817749023e-01,-1.471679061651229858e-01,-5.514152050018310547e-01,9.911360699122627460e-02
5.265118479728698730e-01,-8.034183979034423828e-01,2.288657054305076599e-02,1.256306294363951637e-01
-3.620830178260803223e-01,-1.094906926155090332e+00,-6.178280711174011230e-01,3.303417530393710222e-01
-7.632390856742858887e-01,5.165013670921325684e-01,-7.655496001243591309e-01,5.255199469925780908e-02
4.383917450904846191e-01,-1.343750596046447754e+00,2.135957777500152588e-02,9.071889426548049307e-02
-6.417281925678253174e-02,-6.723099946975708008e-01,-2.733133435249328613e-01,2.821840400435564680e-02
1.032470345497131348e+00,-7.864596843719482422e-01,-2.336542122066020966e-02,3.908038484513841337e-02
