x,y,z,dist
-3.829939961433410645e-01,1.169919371604919434e+00,-1.824762225151062012e-01,4.469085685997619545e-02
-2.526888847351074219e-01,-5.864088535308837891e-01,-4.074135124683380127e-01,3.055286546863848762e-02
-2.545062303543090820e-01,-1.503302156925201416e-02,2.281540632247924805e-01,3.304212353326883844e-02
2.610842883586883545e-01,-7.716652154922485352e-01,1.505241096019744873e-01,1.132418834588534533e-02
7.546883225440979004e-01,-6.780270338058471680e-01,-1.149069145321846008e-01,1.918405595591078372e-01
-2.887620031833648682e-01,3.236522525548934937e-02,3.027130365371704102e-01,6.211082589961083172e-02
-3.919912576675415039e-01,8.173166513442993164e-01,8.950638771057128906e-01,5.900531432738173945e-03
6.352822780609130859e-01,-1.154196143150329590e+00,-4.707193747162818909e-02,1.890238814269787904e-01
-5.148373246192932129e-01,1.020971834659576416e-01,1.012456536293029785e+00,4.730996206437698692e-02
1.539781391620635986e-01,5.947246551513671875e-01,-1.106108188629150391e+00,7.243796968114044055e-02
-1.463337540626525879e-01,-1.136589407920837402e+00,-1.140861958265304565e-02,1.303826501572460939e-01
-6.510182023048400879e-01,-3.914362788200378418e-01,-1.834052503108978271e-01,6.691430628901182120e-02
-1.057233065366744995e-01,6.087515354156494141e-01,5.422970280051231384e-02,7.472322544714558867e-02
-5.850714445114135742e-01,-3.664962351322174072e-01,-2.939563095569610596e-01,3.444437709102667750e-02
7.374157309532165527e-01,-4.228787124156951904e-02,4.271781444549560547e-02,3.064804049692157473e-01
-1.337547153234481812e-01,9.803091287612915039e-01,-2.259172648191452026e-01,5.379823921555775684e-02
-7.073562145233154297e-01,1.463501095771789551e+00,-1.068259239196777344e+00,1.413252966563022794e-01
6.611911058425903320e-01,-5.092196464538574219e-01,5.413849949836730957e-01,2.031795577384606089e-01
-4.625726342201232910e-01,9.085105359554290771e-02,-7.852083444595336914e-01,1.014517864030883842e-01
2.108064889907836914e-01,-1.321646213531494141e+00,4.912224411964416504e-01,8.858261040933439190e-02
-6.806056201457977295e-02,7.265151739120483398e-01,-1.143787980079650879e+00,5.822767419624098190e-02
4.577387571334838867e-01,1.004830479621887207e+00,5.129782557487487793e-01,8.268355118182121877e-02
-4.125327803194522858e-03,2.468110173940658569e-01,1.176268160343170166e-01,5.855880837357697877e-02
-3.081943988800048828e-01,9.114404916763305664e-01,-1.338347196578979492e+00,1.064975365175718225e-01
5.161568522453308105e-01,2.671841382980346680e-01,1.050888448953628540e-01,1.767725584346458989e-01
5.725634694099426270e-01,-1.613638401031494141e+00,-1.140929386019706726e-01,8.207390924492931339e-02
1.713281124830245972e-01,7.616281509399414062e-01,-8.763945102691650391e-01,5.584917566292670055e-02
-2.909022271633148193e-01,4.172261655330657959e-01,8.020428419113159180e-01,1.074335489134148197e-01
