x,y,z,dist
4.896704554557800293e-01,-8.173900246620178223e-01,-3.750573098659515381e-02,8.161674944763297468e-02
-4.551252722740173340e-01,-3.446213304996490479e-01,-5.926007628440856934e-01,5.165904604706554604e-02
-1.563467979431152344e-01,1.434510946273803711e-01,-1.044595241546630859e+00,1.085967755898436388e-01
-3.229540884494781494e-01,9.594476819038391113e-01,-9.442445635795593262e-02,1.907965804610679134e-02
-2.942693829536437988e-01,4.029920324683189392e-02,3.579454421997070312e-01,3.438649104669973255e-02
1.198644191026687622e-02,-5.073091387748718262e-01,-2.025209069252014160e-01,2.212776323135103376e-02
-4.392664432525634766e-01,-1.506736278533935547e-01,4.460249245166778564e-01,6.368465285635248330e-02
6.560793519020080566e-01,7.069132328033447266e-01,3.942060172557830811e-01,1.468485512917097058e-01
-3.996963500976562500e-01,-2.051031291484832764e-01,-4.147189259529113770e-01,4.461774191698475445e-02
4.004099965095520020e-01,-2.873586714267730713e-01,8.881116509437561035e-01,1.333373210435329081e-01
-3.252155780792236328e-01,-6.937370896339416504e-01,8.099616169929504395e-01,5.553346242443912839e-02
-6.164024472236633301e-01,5.464358925819396973e-01,-3.017687797546386719e-01,1.894394537891093064e-02
-1.635633409023284912e-01,6.714017987251281738e-01,9.942446649074554443e-02,1.253421567999436943e-02
-2.095463424921035767e-01,7.764412164688110352e-01,-2.957225143909454346e-01,3.112753504034306354e-02
3.692092299461364746e-01,-2.367522120475769043e-01,-3.290850818157196045e-01,3.741599702139904865e-02
-6.906415522098541260e-02,6.411131024360656738e-01,5.483124256134033203e-01,7.835550735823750002e-02
1.123684763908386230e+00,1.074896752834320068e-01,-2.842070758342742920e-01,2.826413272438972613e-02
8.842053413391113281e-01,1.264919877052307129e+00,-2.354191541671752930e-01,3.699730128179121169e-01
-1.219598650932312012e-01,1.176927313208580017e-01,3.005726635456085205e-01,1.865841000227357396e-02
-5.407021045684814453e-01,4.752582013607025146e-01,-7.102754712104797363e-01,2.776412140117481483e-02
1.505179405212402344e-01,2.150260657072067261e-02,1.988065615296363831e-02,9.965656680296565428e-02
-6.784086823463439941e-01,5.166472792625427246e-01,2.576986253261566162e-01,1.968140627226583894e-01
3.508582711219787598e-01,9.006620645523071289e-01,9.371781945228576660e-01,2.210947475592671130e-01
