x,y,z,dist
-7.046996951103210449e-01,-8.207195252180099487e-02,4.485949277877807617e-01,9.080672975637044120e-02
9.629423171281814575e-02,-2.025918066501617432e-01,3.631136119365692139e-01,1.168766547579263015e-01
8.522693514823913574e-01,-3.196296393871307373e-01,2.949222922325134277e-03,2.442495076122783437e-01
-2.309170663356781006e-01,-9.207897186279296875e-01,2.600326836109161377e-01,5.435090080226474135e-02
-7.010647654533386230e-01,3.433973491191864014e-01,-5.267498493194580078e-01,5.595162270999240461e-02
7.444574832916259766e-01,-1.642462372779846191e+00,-2.710826992988586426e-01,6.490003611332996469e-02
-7.800937294960021973e-01,-6.801497936248779297e-02,-2.608726620674133301e-01,3.851967526393053343e-02
7.249692082405090332e-01,-4.370099008083343506e-01,1.663087457418441772e-01,2.363304615768309913e-01
-4.725371301174163818e-02,6.017990112304687500e-01,7.290191650390625000e-01,1.093899513474518720e-01
-7.686384767293930054e-02,7.436263561248779297e-01,-8.649846315383911133e-01,1.157215659909937439e-01
-6.109965592622756958e-02,-3.171875774860382080e-01,5.522355437278747559e-01,3.212031017156657953e-02
-6.784260869026184082e-01,7.480763196945190430e-01,-4.138691425323486328e-01,6.040627439572364421e-02
-5.898504257202148438e-01,1.204152584075927734e+00,-7.548939585685729980e-01,2.977546463693290027e-02
-8.245190978050231934e-02,5.230263471603393555e-01,-1.337583363056182861e-01,5.270736191866701864e-02
-7.636510133743286133e-01,-1.977056637406349182e-02,2.310534715652465820e-01,1.876041347974596318e-01
-1.731000542640686035e-01,-3.596458137035369873e-01,-1.590137779712677002e-01,6.855576418762508728e-02
3.546138107776641846e-01,1.047799810767173767e-01,4.888199567794799805e-01,2.824206113556795850e-02
-9.458927810192108154e-02,3.205756470561027527e-02,-7.214794754981994629e-01,9.502509508006967698e-02
2.541157305240631104e-01,-3.172033131122589111e-01,8.524099588394165039e-01,2.467541929523268396e-01
3.329796493053436279e-01,-8.659439086914062500e-01,3.946626186370849609e-01,1.628835188217607477e-02
-4.315489232540130615e-01,-6.340584754943847656e-01,1.496582776308059692e-01,9.073350965199354634e-02
-7.133028507232666016e-01,2.891410291194915771e-01,-6.381667256355285645e-01,5.187497873141799082e-02
4.485189318656921387e-01,-1.605645775794982910e+00,2.736414037644863129e-02,1.293589652803627255e-01
-4.116265773773193359e-01,-8.776793479919433594e-01,-4.172359034419059753e-02,2.506512091065122294e-01
3.889001309871673584e-01,-8.724377155303955078e-01,-1.767702251672744751e-01,2.881325349859570686e-02
2.216665297746658325e-01,-6.432927846908569336e-01,4.910470172762870789e-02,3.523222432991263142e-02
4.497431814670562744e-01,2.828506827354431152e-01,-7.737993001937866211e-01,8.956314340611352953e-02
4.724924266338348389e-02,7.415566444396972656e-01,-1.675666421651840210e-01,6.182697961769198503e-02
3.797307908535003662e-01,-7.091856002807617188e-01,4.468465447425842285e-01,7.039517566964234585e-02
-6.993941068649291992e-01,4.212474524974822998e-01,-1.113101243972778320e+00,7.702645967001427174e-02
-1.163106486201286316e-01,-9.484702348709106445e-01,6.348720788955688477e-01,4.721209088199914555e-02
3.339713811874389648e-01,4.489198625087738037e-01,-8.856221437454223633e-01,3.066272456978163044e-02
9.410853981971740723e-01,-3.661184012889862061e-01,6.572508811950683594e-02,2.313425232837403867e-01
-6.993594765663146973e-01,6.985688209533691406e-02,2.700386345386505127e-01,2.458179124724280684e-01
-1.212212517857551575e-01,-7.218139171600341797e-01,3.237983882427215576e-01,1.604457279825641236e-01
2.680225968360900879e-01,6.863031387329101562e-01,-1.955337449908256531e-02,9.242313773866282778e-02
2.021352797746658325e-01,3.294668495655059814e-01,1.853752285242080688e-01,6.664644058995440601e-02
-3.616431355476379395e-02,7.127268314361572266e-01,-1.092811703681945801e+00,4.305235158767331538e-02
-1.417723018676042557e-02,2.293085306882858276e-01,-1.126378178596496582e+00,5.247412853229731916e-02
4.264892935752868652e-01,-6.230378150939941406e-01,7.179921269416809082e-01,3.743524944452665537e-02
-3.173540830612182617e-01,2.516589760780334473e-01,5.074829459190368652e-01,1.018497521210923601e-01
-2.569938898086547852e-01,-4.917745888233184814e-01,6.676302552223205566e-01,2.529370216499894630e-02
5.777719616889953613e-01,2.517541646957397461e-01,6.276915073394775391e-01,8.463725810611434641e-02
-3.871403932571411133e-01,-5.838183313608169556e-02,-4.739831760525703430e-02,3.913661282981849288e-02
-2.041439898312091827e-02,-4.524094760417938232e-01,-5.544178485870361328e-01,2.131312569153310729e-02
-6.333544105291366577e-02,8.921742439270019531e-01,-9.728113412857055664e-01,5.794289314601365481e-02
3.838876485824584961e-01,1.182521700859069824e+00,5.765466094017028809e-01,1.036052493882857195e-01
-2.149503827095031738e-01,-1.022154808044433594e+00,-4.198791086673736572e-01,1.397382681089288647e-01
8.152942657470703125e-01,-1.489443659782409668e+00,-2.753486111760139465e-02,1.405704352176537497e-01
-2.447316944599151611e-01,5.561586618423461914e-01,-3.740965202450752258e-02,6.875855995121522846e-02
3.246928453445434570e-01,-3.325898945331573486e-01,8.906036615371704102e-01,2.347600247544769092e-01
3.942397534847259521e-01,-6.719297170639038086e-01,-1.848046034574508667e-01,4.477801320167638238e-02
-2.143244147300720215e-01,-6.431235074996948242e-01,1.195480972528457642e-01,3.407838561090575924e-02
1.940884739160537720e-01,-6.008502244949340820e-01,4.480329751968383789e-01,7.545136856077439003e-02
7.995305061340332031e-01,-2.917415201663970947e-01,-6.588132977485656738e-01,1.343495202163786373e-01
9.227705597877502441e-01,-1.427116155624389648e+00,-2.973138988018035889e-01,7.366396298645588869e-02
7.563903927803039551e-01,-1.579925417900085449e+00,-3.389913141727447510e-01,1.375111846053800047e-01
-3.916281163692474365e-01,8.241469860076904297e-01,5.283091664314270020e-01,1.218368503933281999e-01
1.000176891684532166e-01,-1.085027158260345459e-01,1.135033071041107178e-01,9.864296353264712103e-02
-3.449306786060333252e-01,2.477611899375915527e-01,5.386855602264404297e-01,9.092967008619225189e-02
-6.432027220726013184e-01,-5.939527750015258789e-01,1.455745007842779160e-02,9.395695522336323935e-02
1.055990815162658691e+00,1.427076220512390137e+00,1.139015406370162964e-01,2.364357563837372889e-01
