x,y,z,dist
-5.349454283714294434e-01,-1.039275646209716797e+00,6.369426250457763672e-01,8.525966953395705539e-02
9.291765093803405762e-01,-4.739692807197570801e-01,-3.126180171966552734e-01,3.935518558393133470e-02
6.914748549461364746e-01,-5.951421260833740234e-01,-5.083332061767578125e-01,2.564585803448620957e-02
5.905447006225585938e-01,1.192315697669982910e+00,1.224929094314575195e+00,5.437453492725326937e-02
3.681526780128479004e-01,-4.706177115440368652e-01,-8.258607387542724609e-01,1.635307049023405346e-01
-5.166804194450378418e-01,1.044321507215499878e-01,8.052372336387634277e-01,3.614539943554951479e-02
7.565680742263793945e-01,-1.228747963905334473e+00,1.681934483349323273e-02,5.244187390349554917e-02
6.509507894515991211e-01,-5.213026404380798340e-01,-2.336665987968444824e-01,9.876891073703338020e-02
3.650519847869873047e-01,5.585370063781738281e-01,-4.999123215675354004e-01,2.522274336404989881e-01
2.155080735683441162e-01,-3.605442643165588379e-01,4.708493947982788086e-01,2.329220248783895122e-02
-7.478345185518264771e-02,-7.719078660011291504e-01,1.715779900550842285e-01,2.861457166318917902e-02
1.008779168128967285e+00,1.237455606460571289e-01,-3.498594164848327637e-01,1.423066134453312981e-02
5.932376384735107422e-01,-7.207720279693603516e-01,-1.938574314117431641e-01,1.234707117568982077e-01
6.301320791244506836e-01,-2.912177443504333496e-01,-4.429416060447692871e-01,1.020083235057458668e-02
-8.449842929840087891e-01,8.153109550476074219e-01,-2.730176448822021484e-01,4.524451886582194632e-02
7.218989729881286621e-01,6.636474132537841797e-01,-1.997052431106567383e-01,5.567021995251444921e-02
-8.704383969306945801e-01,8.074159175157546997e-02,-2.119516134262084961e-01,4.187771964958302007e-02
-6.517663598060607910e-01,4.596042633056640625e-01,-1.101102232933044434e+00,7.117606721841321371e-02
3.629167973995208740e-01,-7.779909968376159668e-01,5.380468964576721191e-01,5.233706033131340501e-02
5.080268383026123047e-01,-1.266615867614746094e+00,-3.291081786155700684e-01,1.028406870086552294e-01
-1.975390911102294922e-01,1.598752439022064209e-01,2.938398905098438263e-02,3.068618896181438127e-02
2.948834896087646484e-01,7.896280884742736816e-01,8.078722357749938965e-01,7.395836880539544134e-02
-1.142223924398422241e-01,4.944279193878173828e-01,-1.816077232360839844e-01,9.508655261237546064e-02
-3.727387189865112305e-01,-3.791470527648925781e-01,-4.464856982231140137e-01,2.142030648230865836e-02
1.012104228138923645e-01,5.305078029632568359e-01,6.910201311111450195e-01,1.907181719747073345e-01
1.126345992088317871e+00,-3.526026010513305664e-01,-5.201080441474914551e-01,3.418366002262500369e-02
1.559885740280151367e-01,-4.796611070632934570e-01,1.848181784152984619e-01,7.389891499495550298e-02
-7.564499378204345703e-01,1.130928993225097656e+00,-8.059394359588623047e-01,6.363170495161180051e-02
-2.513520419597625732e-01,-1.570619463920593262e+00,1.897755861282348633e-01,4.521946835667249587e-02
-1.742650568485260010e-01,6.616372615098953247e-02,3.540457487106323242e-01,2.271350712769079280e-02
3.500620126724243164e-01,6.081128716468811035e-01,9.739677906036376953e-01,9.820721713243223128e-02
6.284995079040527344e-01,-9.374549388885498047e-01,-2.421286702156066895e-01,5.087263290345514499e-02
-5.754883214831352234e-02,-1.272300004959106445e+00,7.429941892623901367e-01,4.642718253271969908e-02
6.655340194702148438e-01,-1.748656034469604492e-01,1.015584707260131836e+00,1.470283288461519608e-02
-2.339523732662200928e-01,6.116231903433799744e-02,-2.178225517272949219e-01,8.034539690343091289e-02
5.126442760229110718e-02,-1.401428222656250000e+00,-1.526737213134765625e-01,7.379427996478983565e-02
1.295793056488037109e-01,-5.499779433012008667e-02,-3.057463839650154114e-02,1.417875342359435908e-01
-8.481210470199584961e-02,6.546023488044738770e-02,7.079870998859405518e-02,1.315137006611979964e-01
-7.805167436599731445e-01,5.358828306198120117e-01,-4.251875877380371094e-01,4.631308183520057437e-02
5.256295204162597656e-02,5.166057348251342773e-01,-8.293375372886657715e-01,1.086229989384192018e-01
-2.293552160263061523e-01,1.410931944847106934e-01,-6.821063756942749023e-01,1.423161089837276794e-01
-8.263677954673767090e-01,6.298137903213500977e-01,4.162003397941589355e-01,7.262817109229852131e-02
7.719062566757202148e-01,1.252802610397338867e+00,1.160097122192382812e+00,8.947093995806477962e-02
-3.769667744636535645e-01,-3.298233151435852051e-01,-4.578050971031188965e-01,4.325805614453647613e-02
-3.822703063488006592e-01,-1.698840409517288208e-01,-3.886476755142211914e-01,3.923318536071647433e-02
-1.329302787780761719e-01,1.558942198753356934e-01,1.030852273106575012e-01,5.502725645195354065e-02
-5.980722978711128235e-02,-6.197339296340942383e-01,-5.206183791160583496e-01,5.021216827608752237e-02
6.605153679847717285e-01,-1.673497319221496582e+00,-1.773558855056762695e-01,5.175495266839166136e-02
-4.801479578018188477e-01,1.075531482696533203e+00,-7.011547684669494629e-01,3.593126387813105893e-02
-7.011496275663375854e-02,5.749319195747375488e-01,-8.946860432624816895e-01,1.050939097876719686e-01
7.217472791671752930e-01,-5.355403423309326172e-01,-3.988603353500366211e-01,4.347105060793789166e-02
