x,y,z,dist
5.107638835906982422e-01,-8.450572490692138672e-01,3.171423077583312988e-01,2.823446389304254400e-02
4.833941459655761719e-01,1.267110228538513184e+00,1.062348008155822754e+00,8.961960990217165968e-02
9.154109954833984375e-01,-9.292438626289367676e-03,4.808423817157745361e-01,2.184646844017797129e-01
7.502167224884033203e-01,9.669431447982788086e-01,-3.773278370499610901e-02,7.226454576330544610e-02
-7.806739807128906250e-01,5.280771255493164062e-01,-5.250892639160156250e-01,3.251615522959492438e-02
2.844079732894897461e-01,-6.283411979675292969e-01,7.334512472152709961e-01,7.117038785930718259e-02
-5.648686289787292480e-01,-9.433863162994384766e-01,5.230024456977844238e-01,9.799913315708246031e-02
7.993638515472412109e-01,-2.909082174301147461e-01,-5.510352924466133118e-02,2.036939300157178667e-01
1.004987120628356934e+00,1.582865476608276367e+00,-1.164784133434295654e-01,3.552855379990550455e-01
-5.860828757286071777e-01,1.088038325309753418e+00,-6.954942345619201660e-01,4.577764601880036921e-02
-5.598568916320800781e-01,8.844678848981857300e-02,6.215249896049499512e-01,7.306267649993211655e-02
-7.068459391593933105e-01,5.003321170806884766e-01,-7.163420915603637695e-01,6.344947409911597114e-02
1.688876748085021973e-02,1.520401090383529663e-01,1.877511590719223022e-01,8.005671790366178375e-02
-6.038069725036621094e-01,1.249814867973327637e+00,-3.893962502479553223e-01,6.683247120638291516e-02
-4.119037687778472900e-01,2.810523211956024170e-01,-9.051152467727661133e-01,4.143487287990478551e-02
-2.959763407707214355e-01,8.330249786376953125e-01,-6.453464627265930176e-01,1.408245090271465216e-01
4.139284789562225342e-01,7.576656341552734375e-01,3.603392243385314941e-01,6.826617185509327446e-02
-3.911232203245162964e-02,-1.549871563911437988e+00,3.494248688220977783e-01,2.135180498107368541e-01
6.482304930686950684e-01,-1.212966203689575195e+00,2.991695329546928406e-02,1.142195808283657937e-01
-7.904300689697265625e-01,4.921350181102752686e-01,-4.179027080535888672e-01,2.834882070280462033e-02
9.265816807746887207e-01,-6.315718889236450195e-01,4.798449948430061340e-02,8.107582622290890328e-02
5.383735299110412598e-01,7.625499963760375977e-01,8.073332309722900391e-01,1.585129871154357661e-01
-3.287262916564941406e-01,8.074232339859008789e-01,-1.205911636352539062e+00,7.277493941231120977e-02
1.133705079555511475e-01,1.316268891096115112e-01,7.150385379791259766e-01,2.261177416937062978e-01
-5.329946279525756836e-01,1.014071941375732422e+00,-6.084238290786743164e-01,4.919017276128537924e-02
-6.137881428003311157e-02,5.299116969108581543e-01,6.895297169685363770e-01,1.899699986474707170e-01
-3.456767648458480835e-03,-1.689571738243103027e-01,-1.352155953645706177e-01,9.564456456870169820e-02
8.556181192398071289e-01,-8.000465631484985352e-01,-2.985737919807434082e-01,8.090754326358108595e-02
3.760527670383453369e-01,-1.378083229064941406e-02,7.708356976509094238e-01,1.567603431964622041e-01
-4.874558448791503906e-01,-2.972626984119415283e-01,1.848205178976058960e-01,3.382716735036121747e-02
-8.205786347389221191e-02,7.353503704071044922e-01,-1.032446026802062988e+00,4.231780170663979046e-02
3.733830451965332031e-01,-7.242355346679687500e-01,8.672843575477600098e-01,9.284348780444824645e-02
9.517191052436828613e-01,-1.059921383857727051e-01,3.839075267314910889e-01,2.022222025014481783e-01
-5.168381929397583008e-01,1.237475991249084473e+00,-7.406739592552185059e-01,7.929920272461180031e-02
-1.165741756558418274e-01,-4.844079911708831787e-01,-9.764055013656616211e-01,2.217295735140316360e-01
1.041550993919372559e+00,3.719878494739532471e-01,-7.633268833160400391e-02,3.758752076263421893e-02
2.788647413253784180e-01,-2.025772631168365479e-01,-4.517731964588165283e-01,5.347085527200028804e-02
7.090398669242858887e-01,1.536748290061950684e+00,-3.012830317020416260e-01,4.767694644522739722e-01
-4.116100966930389404e-01,-2.940182387828826904e-02,-6.154054030776023865e-02,6.095823629209291133e-02
-4.643614590167999268e-01,-2.884601652622222900e-01,-5.784162506461143494e-02,7.814132185988363621e-02
7.413120269775390625e-01,-5.686656236648559570e-01,9.976336359977722168e-01,2.811370826809436035e-02
-3.159321844577789307e-01,1.555325984954833984e-01,-8.406508564949035645e-01,4.960484811464467569e-02
-7.134380936622619629e-01,-5.888723134994506836e-01,1.239498257637023926e-01,9.104719825711031500e-02
-9.381423890590667725e-02,-1.780630350112915039e-01,7.260097265243530273e-01,1.140504193457919924e-01
-5.447667837142944336e-01,6.937084347009658813e-02,5.186877250671386719e-01,1.074567228068722125e-01
-5.897231101989746094e-01,1.238593459129333496e+00,-4.378710091114044189e-01,5.718159525805707050e-02
-7.499457895755767822e-02,1.677413880825042725e-01,1.924150139093399048e-01,1.943384508801878838e-02
-1.428245007991790771e-01,-7.505208253860473633e-01,3.378616273403167725e-01,1.660090751646340901e-01
-9.566363692283630371e-02,5.077922940254211426e-01,-1.488401442766189575e-01,7.769071369070995603e-02
3.074511587619781494e-01,-1.853922009468078613e-01,8.601362705230712891e-01,2.290338891011000633e-01
-2.736178338527679443e-01,8.858414888381958008e-01,6.786364912986755371e-01,3.140299705467074209e-02
-2.674978226423263550e-03,-5.769906193017959595e-02,4.040280580520629883e-01,6.591689354676917578e-02
-2.647922933101654053e-01,-1.019977629184722900e-01,-4.856138527393341064e-01,5.035035304849653365e-02
1.007854342460632324e-01,-1.219212412834167480e+00,2.791773378849029541e-01,5.395224621716241536e-02
3.336806595325469971e-01,6.238168478012084961e-01,-4.536398351192474365e-01,2.396721087248409598e-01
7.188227772712707520e-02,6.181858777999877930e-01,4.398089647293090820e-01,1.739216435582698755e-02
8.685247302055358887e-01,2.761908173561096191e-01,2.298020869493484497e-01,1.412806002712392595e-01
-3.609930574893951416e-01,1.096907615661621094e+00,-5.356718897819519043e-01,4.579333937884646349e-02
-1.220435798168182373e-01,2.215948998928070068e-01,-8.164145350456237793e-01,1.202103233193286685e-01
1.525148749351501465e-01,1.414938569068908691e-01,6.779120564460754395e-01,2.096522960094579779e-01
2.704894244670867920e-01,5.080583095550537109e-01,-7.916241884231567383e-01,8.634343175717627827e-02
-3.284993395209312439e-02,6.220064163208007812e-01,5.070166587829589844e-01,6.866901419786833327e-02
-5.574719905853271484e-01,1.187879800796508789e+00,-2.590113282203674316e-01,5.328904220952333098e-02
-2.064687311649322510e-01,8.583103418350219727e-01,-2.003777325153350830e-01,5.959592555362659000e-02
2.667391896247863770e-01,-4.916683733463287354e-01,-9.037290811538696289e-01,1.830958906157058863e-01
9.023438692092895508e-01,-7.522919178009033203e-01,4.390737786889076233e-02,5.063369868022708081e-02
-4.696753621101379395e-01,1.126593112945556641e+00,-1.915545910596847534e-01,2.217794563749864167e-02
-3.225741088390350342e-01,3.267404437065124512e-01,-8.940508961677551270e-01,4.723454818161929719e-02
2.241154015064239502e-01,-3.769070506095886230e-01,-4.145147651433944702e-02,5.425818458215716372e-02
-4.242967963218688965e-01,-1.425795257091522217e-01,6.493640542030334473e-01,4.881733087869145199e-02
5.479138493537902832e-01,-5.201171636581420898e-01,-5.053585171699523926e-01,6.276320008307861853e-02
-3.503726422786712646e-01,1.292698234319686890e-01,5.227055549621582031e-01,4.216602865608787276e-02
-3.481594026088714600e-01,-1.839608699083328247e-02,-5.068668723106384277e-01,4.781962572413710200e-02
7.017990946769714355e-02,7.918267250061035156e-01,5.659202933311462402e-01,6.749323768765849718e-02
-6.455387473106384277e-01,8.331102132797241211e-01,6.556441187858581543e-01,2.888695880823882733e-02
9.798560142517089844e-01,1.537710666656494141e+00,-8.085589110851287842e-02,3.403726947053026808e-01
4.033664166927337646e-01,-1.565600633621215820e+00,9.280154109001159668e-02,1.470946443012355331e-01
1.607878208160400391e-01,1.334213316440582275e-01,2.609935104846954346e-01,6.672281850606628928e-02
7.619429230690002441e-01,-8.909692764282226562e-01,-4.491350650787353516e-01,4.873305286390001989e-02
-1.408239901065826416e-01,2.172192037105560303e-01,-7.434231042861938477e-01,1.732512737560902016e-01
-8.684747219085693359e-01,7.172906398773193359e-01,-1.178854852914810181e-01,5.927770840389597062e-02
-8.641788363456726074e-01,7.324478626251220703e-01,-1.932984441518783569e-01,2.935250084362055548e-02
3.875133395195007324e-02,4.645724892616271973e-01,6.689963340759277344e-01,2.337079259992529967e-01
-2.119703888893127441e-01,-1.221599340438842773e+00,3.392148017883300781e-02,5.751823254369574367e-02
1.325726509094238281e-01,-1.234254837036132812e+00,1.185817420482635498e-01,8.546158862401455336e-02
-2.092292904853820801e-01,-5.983264446258544922e-01,-2.870709300041198730e-01,2.007618814477066249e-02
-4.519616961479187012e-01,1.109837144613265991e-01,5.304133296012878418e-01,5.429665069936128602e-02
1.791770756244659424e-01,7.545375823974609375e-01,-3.215896189212799072e-01,2.694809125193909152e-02
-3.938861489295959473e-01,5.551136732101440430e-01,8.071327805519104004e-01,1.107735848689973303e-02
9.718492031097412109e-01,-8.777830600738525391e-01,1.920916512608528137e-02,7.714715092774411531e-02
-4.388851821422576904e-01,-9.501003026962280273e-01,-1.643162965774536133e-01,1.259330224893917272e-01
-4.724127799272537231e-02,-1.619247317314147949e+00,-1.453754305839538574e-02,5.773016739930551117e-02
1.944874525070190430e-01,-5.326774120330810547e-01,6.328946948051452637e-01,5.499232514025952784e-02
2.597707808017730713e-01,3.636314347386360168e-02,-9.888608753681182861e-02,3.720058631491297840e-02
8.098804354667663574e-01,7.005569934844970703e-01,-3.429488837718963623e-01,1.062495099100319723e-01
8.919562697410583496e-01,-2.057415544986724854e-01,1.202180862426757812e+00,6.915288357961804633e-02
3.685985803604125977e-01,-1.264886856079101562e-01,-4.722286164760589600e-01,7.980693938888559769e-02
2.662493884563446045e-01,-7.512552738189697266e-01,8.864445090293884277e-01,1.634668417578682142e-01
-8.300993442535400391e-01,4.311427175998687744e-01,3.522347807884216309e-01,1.232660048732039382e-01
5.611418485641479492e-01,2.688654959201812744e-01,5.485895872116088867e-01,6.846090997041463788e-02
8.789994120597839355e-01,-1.127110958099365234e+00,-3.448419272899627686e-01,2.396912425858022389e-01
2.070910930633544922e-01,-2.667135596275329590e-01,-2.551028877496719360e-02,3.385984918138172650e-02
-4.709664583206176758e-01,-3.730201721191406250e-01,1.347735822200775146e-01,6.496973595679228497e-02
1.072149574756622314e-01,-1.145142793655395508e+00,-5.688841938972473145e-01,7.679903406296077761e-02
2.893592119216918945e-01,1.122490286827087402e+00,2.126264125108718872e-01,9.460377741025675913e-02
6.922491639852523804e-02,3.218711912631988525e-01,1.532198935747146606e-01,3.980059989355629740e-02
-3.931788802146911621e-01,4.282210767269134521e-01,-1.050145030021667480e+00,1.035652413502447244e-01
1.084089159965515137e+00,-6.086583137512207031e-01,-4.130715131759643555e-01,1.408948582192625087e-01
1.646491587162017822e-01,-1.273661971092224121e+00,6.564756035804748535e-01,7.339992564860592372e-02
1.031148552894592285e+00,-2.977397292852401733e-03,1.126724243164062500e+00,1.445219849673176626e-02
-2.731912732124328613e-01,-1.236378908157348633e+00,6.506678462028503418e-01,7.954940026739772130e-02
-8.436983823776245117e-01,7.824131250381469727e-01,-5.736318230628967285e-01,3.871425687897378509e-02
3.186397254467010498e-02,6.688688993453979492e-01,-1.475556492805480957e-01,9.530437117658914492e-02
3.201679885387420654e-01,-5.023043155670166016e-01,-4.173879921436309814e-01,2.035816845315799317e-02
-4.539786577224731445e-01,5.257700085639953613e-01,-1.127724051475524902e+00,7.923679349996158583e-02
8.039404153823852539e-01,-2.040637135505676270e-01,-4.641865193843841553e-02,1.977555535495850725e-01
-5.489339828491210938e-01,-9.642877578735351562e-01,5.975497364997863770e-01,1.131889499374633401e-01
1.021669745445251465e+00,8.780558109283447266e-01,-1.855744272470474243e-01,1.619475382476935621e-01
-4.367166757583618164e-01,2.014176249504089355e-01,7.653364539146423340e-01,5.377545056150678793e-02
2.722288668155670166e-01,9.712305068969726562e-01,3.976695537567138672e-01,2.095577041072459873e-02
2.184681594371795654e-01,-5.990775823593139648e-01,7.299419026821851730e-03,2.146913886888498352e-02
-1.947082877159118652e-01,2.177707552909851074e-01,2.864516973495483398e-01,3.368291671886630700e-02
9.051715731620788574e-01,-1.475175023078918457e-01,2.934557758271694183e-02,2.716525260093340943e-01
1.491233706474304199e-02,-4.816773831844329834e-01,9.939298629760742188e-01,3.377643734685562005e-01
3.323643207550048828e-01,-6.744953393936157227e-01,2.329666614532470703e-01,3.917771120431640108e-02
-1.533014476299285889e-01,-4.571000039577484131e-01,-1.059828996658325195e+00,2.674130015869292110e-01
7.786133289337158203e-01,-1.594721972942352295e-01,-1.201581209897994995e-01,1.282140669227649632e-01
-8.010151982307434082e-01,-1.217494010925292969e-01,-2.667929828166961670e-01,3.127039501094440455e-02
