x,y,z,dist
4.384250044822692871e-01,3.346400856971740723e-01,4.577669501304626465e-01,3.184722364407242823e-02
3.934970498085021973e-02,5.594621896743774414e-01,5.856550931930541992e-01,9.323005163326876510e-02
-1.654776036739349365e-01,-1.655737638473510742e+00,1.306895971298217773e+00,7.870755737351081693e-02
-5.813092589378356934e-01,1.468840122222900391e+00,-1.347812175750732422e+00,2.584442198404276470e-01
-2.613625228404998779e-01,3.380711674690246582e-01,-1.146840929985046387e+00,9.512817371364958030e-02
-5.648384094238281250e-01,-1.206560730934143066e+00,2.271369993686676025e-01,4.468283522261682489e-02
9.645998477935791016e-01,-6.501360535621643066e-01,-4.557595252990722656e-01,1.485669120066677729e-01
2.506501674652099609e-01,-3.504389524459838867e-01,1.098204970359802246e+00,2.302739077554768754e-01
4.498275518417358398e-01,-7.895895242691040039e-01,3.200329095125198364e-02,1.447501614273214998e-01
-7.371385097503662109e-01,3.221906721591949463e-01,-8.400143682956695557e-02,1.157251541231857708e-02
-6.377468705177307129e-01,3.932645618915557861e-01,-5.260440111160278320e-01,6.235804818268310401e-02
-6.357749700546264648e-01,8.800160288810729980e-01,2.311692982912063599e-01,3.165138068314096026e-02
-5.272003412246704102e-01,1.102489471435546875e+00,-1.619667708873748779e-01,3.565374797120831468e-02
8.821624517440795898e-01,3.758549988269805908e-01,-4.546311870217323303e-02,1.343468203938056639e-02
2.762930989265441895e-01,-1.501661986112594604e-01,-2.212129682302474976e-01,2.235258996471322854e-02
7.785230875015258789e-03,-9.593984484672546387e-01,8.483506739139556885e-03,1.646464393650245994e-02
-2.544053494930267334e-01,3.379646837711334229e-01,4.069503545761108398e-01,1.496241944958960901e-01
1.142764240503311157e-01,5.190104991197586060e-02,5.365250632166862488e-03,6.342826456699166005e-02
-6.607978940010070801e-01,1.503533363342285156e+00,-1.264036655426025391e+00,2.270679613799151675e-01
2.305205911397933960e-01,-9.649503827095031738e-01,-1.334065049886703491e-01,4.776524161403893076e-02
-3.598260879516601562e-01,3.239355683326721191e-01,5.097973346710205078e-01,1.944828046423860424e-01
-6.990921497344970703e-01,2.035378962755203247e-01,1.541943401098251343e-01,1.599300398062521167e-01
-3.786886930465698242e-01,1.306768059730529785e-01,-1.314808577299118042e-01,3.622165251872806746e-02
-3.792779743671417236e-01,3.861575573682785034e-02,-2.188538014888763428e-01,4.251470390997022508e-02
-4.859358668327331543e-01,1.289533615112304688e+00,-1.037195801734924316e+00,3.293113915213137510e-02
3.586691021919250488e-01,-8.957760334014892578e-01,-2.109113037586212158e-01,7.406569380718389106e-02
1.734569668769836426e-02,8.261638283729553223e-01,-9.193177223205566406e-01,5.486605751655178331e-02
8.836439847946166992e-01,-2.357090562582015991e-01,-1.149572804570198059e-01,1.966118894482573876e-01
-2.687111198902130127e-01,1.774872690439224243e-01,-1.029041886329650879e+00,6.917507641955683573e-02
-1.946263015270233154e-01,-1.238990664482116699e+00,1.995317637920379639e-01,2.456039805646627674e-02
-3.467862904071807861e-01,-1.853611171245574951e-01,-3.881770372390747070e-01,4.975868076215871766e-02
1.039869070053100586e+00,-5.096358060836791992e-01,-5.369161367416381836e-01,1.389460955004528653e-01
5.281826257705688477e-01,5.848010182380676270e-01,3.653849959373474121e-01,7.238362617339215432e-02
1.953124552965164185e-01,7.747297883033752441e-01,-7.919178009033203125e-01,8.797578972552635990e-02
-2.151999473571777344e-01,7.056211233139038086e-01,-4.726957529783248901e-03,8.204759603725858552e-02
9.149701595306396484e-01,1.623212814331054688e+00,-2.287751883268356323e-01,4.042608700803856925e-01
1.104957103729248047e+00,1.506545305252075195e+00,8.733677864074707031e-02,1.624468498405385875e-01
-1.664871722459793091e-01,-8.118380904197692871e-01,1.262089759111404419e-01,5.620679349500385530e-02
-3.053304851055145264e-01,4.448226839303970337e-02,-1.427067257463932037e-02,3.064071747163489914e-02
1.254754781723022461e+00,7.292858958244323730e-01,-1.006016135215759277e-01,4.684535447928652591e-02
4.625782966613769531e-01,8.423590064048767090e-01,8.593456745147705078e-01,1.502996732917212808e-01
-5.165504664182662964e-02,-7.298547625541687012e-01,3.078112006187438965e-01,3.491039746349096362e-02
7.951454818248748779e-02,8.726229071617126465e-01,-7.904057502746582031e-01,3.051998885565182854e-02
-2.862013876438140869e-02,8.963505029678344727e-01,-4.654276072978973389e-01,3.440453684865282802e-02
-1.213689520955085754e-01,-4.239847958087921143e-01,-1.224795654416084290e-01,5.499074999005144904e-02
5.655911564826965332e-02,5.224879980087280273e-01,2.232673168182373047e-01,4.474470919839681343e-02
