x,y,z,dist
1.782568544149398804e-01,5.272247195243835449e-01,2.404137700796127319e-01,4.647499049923715930e-02
-2.558761239051818848e-01,8.884433507919311523e-01,1.216217428445816040e-01,1.986577541821440279e-02
-1.641572415828704834e-01,-7.904763817787170410e-01,7.015557885169982910e-01,2.868668044431336994e-02
3.378676772117614746e-01,-9.644469022750854492e-01,-6.414943933486938477e-01,1.212780464578199768e-01
-6.850977540016174316e-01,2.996872067451477051e-01,5.102059841156005859e-01,1.638905716143429503e-01
-2.806099653244018555e-01,-4.057689383625984192e-02,5.070325732231140137e-01,2.054387610214627666e-02
1.066779375076293945e+00,2.360740602016448975e-01,3.432308137416839600e-02,4.187931324420323537e-02
4.830501675605773926e-01,-4.949002340435981750e-02,-2.434101849794387817e-01,8.834434034968895177e-02
1.083364844322204590e+00,-6.844551563262939453e-01,-2.890208661556243896e-01,1.055632312054317207e-01
-4.709587693214416504e-01,2.867129147052764893e-01,6.821521520614624023e-01,7.985391826025239892e-02
-7.231068015098571777e-01,8.860684633255004883e-01,8.146069943904876709e-02,4.428383025509801535e-02
5.777068138122558594e-01,-7.051195502281188965e-01,7.379751801490783691e-01,5.271421703183316182e-02
-2.854465842247009277e-01,-3.283221125602722168e-01,-3.134032189846038818e-01,3.838641265515203849e-02
-6.503745913505554199e-03,6.443622112274169922e-01,6.522626280784606934e-01,6.626930459396848661e-02
9.334937334060668945e-01,-1.443251490592956543e+00,-2.804655730724334717e-01,3.894720883581937604e-02
-2.165012806653976440e-01,5.132208466529846191e-01,8.112031817436218262e-01,1.716531393283212692e-01
-4.547191262245178223e-01,9.194776415824890137e-01,5.311581492424011230e-01,3.787605208517479116e-02
-5.880995988845825195e-01,5.841019153594970703e-01,6.611790060997009277e-01,6.585004270324114339e-02
3.500959277153015137e-02,-5.925217270851135254e-01,3.363618552684783936e-01,7.695529815215899905e-02
6.728040575981140137e-01,-3.423765897750854492e-01,1.064997911453247070e+00,2.080308199041205203e-02
3.961893916130065918e-01,6.538099050521850586e-01,-2.961794734001159668e-01,1.742514018127490905e-01
5.260087251663208008e-01,-6.525233983993530273e-01,1.023932099342346191e+00,6.427414172259157676e-02
8.907514214515686035e-01,-6.217836737632751465e-01,-2.642921805381774902e-01,3.049149351835375374e-02
-5.374907851219177246e-01,1.304319977760314941e+00,-1.316612720489501953e+00,1.417668698229755941e-01
-3.638571500778198242e-01,3.977095782756805420e-01,6.507407426834106445e-01,1.702998178562245002e-01
1.001120209693908691e+00,6.661493778228759766e-01,4.045840352773666382e-02,1.387735956365016288e-01
5.513957738876342773e-01,1.129286289215087891e-01,-4.510771930217742920e-01,6.169765078042535600e-02
-7.159990668296813965e-01,-1.153421700000762939e-01,1.464085131883621216e-01,1.432654434882828509e-01
9.970179796218872070e-01,3.154042959213256836e-01,5.683957785367965698e-02,4.329711120559023851e-02
-7.043080031871795654e-02,-1.502878069877624512e+00,4.888428449630737305e-01,1.077725445683120481e-01
-2.999271750450134277e-01,-3.679575920104980469e-01,6.295127868652343750e-01,4.864683479304408864e-02
-6.479550898075103760e-02,-5.197272896766662598e-01,9.928984045982360840e-01,3.033182102362089738e-01
-3.762664794921875000e-01,2.881762683391571045e-01,-5.434705615043640137e-01,1.195404440605434965e-01
8.624280989170074463e-02,7.587338685989379883e-01,-2.318270504474639893e-01,4.770770864452605897e-02
2.560845017433166504e-01,-2.993294894695281982e-01,9.586697816848754883e-01,2.808757604951977460e-01
7.774730026721954346e-02,5.720456838607788086e-01,-6.398648619651794434e-01,2.798877477832444893e-01
-3.740608692169189453e-02,-8.129050731658935547e-01,6.952182650566101074e-01,3.725555081486046916e-02
2.244364470243453979e-01,-5.995795726776123047e-01,8.130798935890197754e-01,1.624791251940166659e-01
-5.146810412406921387e-01,-2.789041772484779358e-02,2.353259325027465820e-01,2.591182525680832405e-02
-7.874100804328918457e-01,1.681962758302688599e-01,-2.500135600566864014e-01,6.591942224907855474e-02
1.732036620378494263e-01,-7.503024339675903320e-01,9.117815643548965454e-04,2.344614303228560737e-02
1.173300623893737793e+00,4.167196452617645264e-01,-1.579142212867736816e-01,2.000235140429411917e-01
-4.539608955383300781e-01,-1.603552997112274170e-01,8.328322321176528931e-03,2.532332803007121200e-02
-3.328651189804077148e-01,2.070159465074539185e-01,-8.985950350761413574e-01,7.001840729162298049e-02
-6.717166304588317871e-01,7.464529871940612793e-01,4.612620174884796143e-01,8.759143088251322706e-02
-2.800414562225341797e-01,1.244935989379882812e-01,3.514584898948669434e-01,4.958729276991749590e-02
-1.047643050551414490e-01,8.876711726188659668e-01,-9.779381155967712402e-01,7.249378210006413026e-02
-5.011647343635559082e-01,-9.785221517086029053e-02,1.537932008504867554e-01,4.933964792098294305e-02
5.597521662712097168e-01,1.941178441047668457e-01,-3.517673611640930176e-01,3.259914796963253591e-02
-1.428635269403457642e-01,2.982577383518218994e-01,4.175366461277008057e-02,2.391991701848116339e-02
6.616987586021423340e-01,-6.551169753074645996e-01,-3.371158540248870850e-01,1.025103021094875694e-01
1.067740768194198608e-01,-1.469107121229171753e-01,-1.802301257848739624e-01,1.544128807719882812e-01
-6.330471038818359375e-01,1.141268134117126465e+00,-5.035921335220336914e-01,2.146882455845791279e-02
9.554694890975952148e-01,-4.779257178306579590e-01,-3.027186989784240723e-01,2.706525226265569725e-02
1.011007905006408691e+00,-2.601150572299957275e-01,-3.363279700279235840e-01,9.673645231531952104e-02
-7.029768228530883789e-01,3.098517060279846191e-01,4.802689552307128906e-01,1.887699973123826425e-01
2.484643459320068359e-02,5.919377803802490234e-01,4.461749792098999023e-01,7.018535360231649423e-03
-5.422314405441284180e-01,7.891356348991394043e-01,-4.439375698566436768e-01,3.837703364913668674e-02
8.065454661846160889e-02,6.430869102478027344e-01,-9.900380969047546387e-01,5.940742778689725445e-02
-2.359634786844253540e-01,-3.409639000892639160e-01,-2.381899952888488770e-01,7.109946984567760975e-02
