x,y,z,dist
7.900441884994506836e-01,6.886275112628936768e-02,8.334760069847106934e-01,1.130587970702003758e-02
-2.854571938514709473e-01,-8.055862784385681152e-02,4.381046891212463379e-01,2.073886692430679593e-02
9.555172324180603027e-01,-1.431934535503387451e-03,-3.230894804000854492e-01,7.405052464034780901e-02
3.980498909950256348e-01,-8.583333492279052734e-01,1.036133766174316406e+00,1.402477023132860934e-01
-3.970121443271636963e-01,1.963475793600082397e-01,5.104141235351562500e-01,6.672876465046255479e-02
4.680340290069580078e-01,4.333449900150299072e-01,2.432177364826202393e-01,3.698294694114405423e-02
-3.053675591945648193e-01,1.472002267837524414e-01,8.879491090774536133e-01,1.375790970035216665e-01
9.166707396507263184e-01,-2.032410353422164917e-03,-3.247189521789550781e-01,7.376307182137867291e-02
4.627352952957153320e-01,-2.307539284229278564e-01,-4.073965549468994141e-01,4.228908789732252482e-02
2.975489199161529541e-02,6.468845605850219727e-01,4.656337201595306396e-01,2.845059909151301941e-02
-6.231919527053833008e-01,1.216202139854431152e+00,-1.028620481491088867e+00,1.004205800715926439e-01
-1.206889897584915161e-01,-1.930385679006576538e-01,-2.984274625778198242e-01,1.145809126657058863e-01
-3.670181930065155029e-01,3.728563487529754639e-01,6.974317431449890137e-01,1.218953685919575425e-01
8.479934930801391602e-01,4.180555045604705811e-01,-3.384850919246673584e-01,1.169334351219063900e-01
6.624969244003295898e-01,-7.280818819999694824e-01,9.258019328117370605e-01,1.169393522475112440e-01
2.036760300397872925e-01,-5.260229110717773438e-01,3.890954852104187012e-01,2.440485950368380744e-02
8.006401658058166504e-01,-5.820652842521667480e-01,-4.466257095336914062e-01,3.473540514591600542e-02
2.082759141921997070e-01,1.379006147384643555e+00,6.360357403755187988e-01,1.267817525459413175e-01
-5.077430009841918945e-01,-1.796891391277313232e-01,6.324918270111083984e-01,6.651148730120119701e-02
1.012415409088134766e+00,-4.965832233428955078e-01,-9.768507629632949829e-02,7.738251912708379865e-02
1.194467693567276001e-01,-3.763616383075714111e-01,-6.252157688140869141e-02,8.229254569225583071e-02
-1.951157003641128540e-01,7.555638253688812256e-02,9.611844271421432495e-02,2.611245036790692253e-02
-1.965289935469627380e-02,3.859216570854187012e-01,1.824927479028701782e-01,6.411743817924062117e-02
1.117859840393066406e+00,-4.388302564620971680e-01,-9.985712915658950806e-02,4.069250565351233140e-02
-2.611731290817260742e-01,-1.863737702369689941e-01,4.614396691322326660e-01,1.928119968512108373e-02
6.626867055892944336e-01,1.166426658630371094e+00,-2.474273741245269775e-01,1.591626539002765905e-01
-8.739945888519287109e-01,6.771605461835861206e-02,-1.066844165325164795e-01,1.019752146194736198e-01
-7.289606332778930664e-01,1.224837660789489746e+00,-4.172062873840332031e-01,3.348774003798062754e-02
4.800092577934265137e-01,-8.552933335304260254e-01,1.197141051292419434e+00,1.009863273470629624e-01
-3.990170955657958984e-01,3.223839998245239258e-01,-9.486145973205566406e-01,4.139624035210344444e-02
6.507365703582763672e-01,8.288108110427856445e-01,-1.600165516138076782e-01,1.141699509853212752e-01
-6.800076961517333984e-01,8.297947645187377930e-01,4.094968736171722412e-01,2.493172828648449607e-02
-4.175170958042144775e-01,-6.384603381156921387e-01,1.293233782052993774e-01,6.876782635928667398e-02
-5.755272507667541504e-01,-1.916070133447647095e-01,3.603615760803222656e-01,6.423212631841064557e-02
-5.737368464469909668e-01,7.595707476139068604e-02,5.748408436775207520e-01,1.150367894099581650e-01
7.341986894607543945e-01,1.311802268028259277e+00,3.101448714733123779e-02,3.429103101178136992e-01
-1.565762907266616821e-01,-7.617554664611816406e-01,2.907568812370300293e-01,1.258444909572400128e-01
-2.278059422969818115e-01,-1.228649973869323730e+00,6.527753472328186035e-01,1.169550624609441564e-01
-1.068427711725234985e-01,3.605176806449890137e-01,2.033598870038986206e-01,6.155077022625096012e-02
5.174363851547241211e-01,-1.047053694725036621e+00,1.155882775783538818e-01,5.620172064383205379e-02
3.999692797660827637e-01,2.530140280723571777e-01,6.701960414648056030e-02,1.403038850333188092e-01
-7.852100729942321777e-01,1.132250308990478516e+00,-1.230884909629821777e+00,1.183682357416411257e-01
-6.319543719291687012e-01,8.357006311416625977e-01,6.987145543098449707e-01,2.384472339345592926e-02
-1.041075587272644043e-02,-9.987587928771972656e-01,7.825757265090942383e-01,4.032828828213669975e-02
-2.395305186510086060e-01,-3.880856931209564209e-01,-2.933888733386993408e-01,1.488880668006484047e-02
6.420825719833374023e-01,-3.810760080814361572e-01,-4.891716837882995605e-01,1.995181609439659887e-02
-8.144602179527282715e-03,-5.422250032424926758e-01,-7.271537929773330688e-02,2.090079906670706464e-02
-3.625780940055847168e-01,2.338254898786544800e-01,-4.833975434303283691e-01,8.122970889151426288e-02
-1.227287799119949341e-01,-1.072174161672592163e-01,-9.037762135267257690e-02,1.114961850355910694e-01
-7.077785134315490723e-01,8.614374399185180664e-01,4.451040178537368774e-02,2.674901810204263070e-02
-8.181687593460083008e-01,1.234623908996582031e+00,-6.683092713356018066e-01,8.160468038852757011e-02
1.941968500614166260e-01,-1.662598490715026855e+00,9.727765619754791260e-02,1.616911994568633326e-01
-5.235888957977294922e-01,9.378034472465515137e-01,-5.595481395721435547e-01,5.594011917169558479e-02
3.349926769733428955e-01,-7.259532809257507324e-01,6.746857762336730957e-01,3.266140841687257407e-02
-1.851387619972229004e-01,8.823334574699401855e-01,-2.121240496635437012e-01,6.553490519149803017e-02
3.432515859603881836e-01,1.845621764659881592e-01,-6.872749328613281250e-01,2.737786797599230104e-02
2.035692334175109863e-02,-1.295752644538879395e+00,-9.774699807167053223e-02,8.103598267255149312e-02
-3.079604208469390869e-01,-1.251992732286453247e-01,-5.894663333892822266e-01,2.948738247169220214e-02
-3.011649250984191895e-01,-9.389714151620864868e-02,4.374176561832427979e-01,2.855832020504312299e-02
-3.590815067291259766e-01,-1.604074984788894653e-01,7.675900459289550781e-01,5.427715698030422670e-02
2.855892181396484375e-01,-4.101598262786865234e-01,8.572597503662109375e-01,1.963449228343474295e-01
-3.139968514442443848e-01,7.181791663169860840e-01,-1.981658637523651123e-01,2.767566762939509956e-02
1.195224076509475708e-01,-1.587877392768859863e+00,2.480721473693847656e-01,1.410166273629235578e-01
7.410632967948913574e-01,3.900984227657318115e-01,-2.628429830074310303e-01,1.175715388543716461e-01
7.106452584266662598e-01,-1.557748794555664062e+00,-1.615125089883804321e-01,8.470881894897561160e-02
1.403132826089859009e-01,-6.601168513298034668e-01,-1.303849965333938599e-01,2.558502377069219250e-02
-7.027989625930786133e-01,9.703654050827026367e-01,-1.301855206489562988e+00,1.260018995116594098e-01
5.154626965522766113e-01,3.293791413307189941e-01,5.357472896575927734e-01,2.575256744596636851e-02
-5.922138690948486328e-01,8.898546695709228516e-01,-7.928686738014221191e-01,4.242947855867164331e-02
-4.960888922214508057e-01,2.553917169570922852e-01,7.527746558189392090e-01,3.833516823132748080e-02
1.886584758758544922e-01,1.357637941837310791e-01,3.999345749616622925e-02,9.774370018067284061e-02
-1.614333242177963257e-01,5.280274748802185059e-01,6.831771135330200195e-02,8.211551494979678345e-02
-5.538269877433776855e-02,6.814206242561340332e-01,6.849693059921264648e-01,3.644414713264778477e-02
1.606670767068862915e-01,-1.251349091529846191e+00,1.624681055545806885e-02,7.232989848114732001e-02
9.087550044059753418e-01,1.299167394638061523e+00,-4.670338332653045654e-02,3.444144279985730250e-01
5.669673681259155273e-01,-1.602901935577392578e+00,-3.177520632743835449e-02,1.189997124225031233e-01
2.644828259944915771e-01,3.524923026561737061e-01,2.008718997240066528e-01,5.820153098544437326e-02
5.090556740760803223e-01,-9.231293201446533203e-01,-4.199849367141723633e-01,5.548819468669644039e-02
8.956059813499450684e-01,-2.441024184226989746e-01,-1.416576653718948364e-01,1.615914651845833661e-01
5.349426865577697754e-01,-8.923395872116088867e-01,-4.698857069015502930e-01,3.339754810138172159e-02
3.354556560516357422e-01,-1.329404115676879883e+00,3.018060326576232910e-02,8.601073150013875679e-02
-5.660490393638610840e-01,-3.744368553161621094e-01,2.823097109794616699e-01,2.756049036413197803e-02
9.004803299903869629e-01,7.814036011695861816e-01,-3.177699446678161621e-01,2.096652809326305864e-02
-4.258034527301788330e-01,-1.081643104553222656e+00,2.528337538242340088e-01,7.047494717386180996e-02
-4.470908045768737793e-01,9.929323941469192505e-02,8.216847181320190430e-01,9.415901607578342630e-03
-9.766005724668502808e-02,2.563543617725372314e-01,1.755986660718917847e-01,2.681331257737260693e-02
-6.195720285177230835e-03,-1.817799806594848633e-01,-7.218622565269470215e-01,5.445679509057074763e-02
9.153689742088317871e-01,7.680555582046508789e-01,-3.115964233875274658e-01,2.968078043450401299e-02
-2.782970070838928223e-01,5.133962631225585938e-01,7.498071789741516113e-01,1.234540142058436485e-01
-2.456300556659698486e-01,7.327615618705749512e-01,8.071826696395874023e-01,5.095727780446360905e-02
-2.849361300468444824e-01,3.437426686286926270e-01,-1.108591794967651367e+00,8.588367194426844986e-02
9.359833598136901855e-01,-3.501659035682678223e-01,9.331367015838623047e-01,5.098758966472431015e-02
3.108785748481750488e-01,6.013583540916442871e-01,-5.925070047378540039e-01,1.944162565008872301e-01
-2.769900262355804443e-01,9.216215014457702637e-01,2.668296396732330322e-01,2.019034315859770043e-02
2.752504348754882812e-01,3.218576908111572266e-01,1.412444114685058594e-01,4.170289079623940715e-02
-9.097625017166137695e-01,6.061003208160400391e-01,-8.716205507516860962e-02,5.022914250921170498e-02
3.937580287456512451e-01,-8.883661031723022461e-01,-4.562508761882781982e-01,1.352483121229218488e-01
1.029648542404174805e+00,-4.969268441200256348e-01,-2.814277112483978271e-01,3.543321555352339086e-02
-7.624897956848144531e-01,6.371463835239410400e-02,-5.685520172119140625e-01,3.112294976444143768e-02
-2.585918307304382324e-01,-7.185126096010208130e-02,8.480795621871948242e-01,1.494685426552858354e-01
-2.149959206581115723e-01,5.164301991462707520e-01,7.109824419021606445e-01,1.259847324320838291e-01
2.420200705528259277e-01,2.335658520460128784e-01,-8.143565654754638672e-01,4.661016154517501342e-02
-2.197948843240737915e-02,-2.094593346118927002e-01,-1.701506674289703369e-01,1.108846854805318749e-01
-1.158453822135925293e-01,5.922584533691406250e-01,-7.721054553985595703e-01,2.329873796868418556e-01
-2.234988361597061157e-01,-9.532504677772521973e-01,2.036461234092712402e-01,2.853887946320099109e-02
2.217119634151458740e-01,-5.274903029203414917e-02,3.422133624553680420e-01,7.407101102067482901e-02
-1.510204076766967773e-01,4.148166999220848083e-02,-5.937577486038208008e-01,1.879288491916417114e-01
-8.611137270927429199e-01,4.600739106535911560e-03,-2.535862326622009277e-01,5.638745093460007657e-02
-3.808324635028839111e-01,9.438433498144149780e-02,-8.861634135246276855e-01,1.078095027576904258e-01
-7.378498911857604980e-01,-3.868256807327270508e-01,6.533501297235488892e-02,3.092797267638674671e-02
-3.090051561594009399e-02,1.467683315277099609e-01,1.907013505697250366e-01,5.521101518998455804e-02
8.398494124412536621e-01,-5.255557894706726074e-01,-3.145548403263092041e-01,3.743201892583694623e-02
2.119696140289306641e-02,-2.203025072813034058e-01,4.691908359527587891e-01,6.043258509623968683e-02
7.937768697738647461e-01,-3.467847704887390137e-01,-2.462477087974548340e-01,6.319893625614542154e-02
9.359973669052124023e-02,2.092778682708740234e-01,7.730376720428466797e-01,3.373682017183220472e-01
4.724416881799697876e-03,-5.974939465522766113e-01,1.701680123805999756e-01,8.157295075879389401e-02
-5.917706489562988281e-01,1.590852439403533936e-01,-7.317976951599121094e-01,7.299778656729682957e-02
2.074540555477142334e-01,4.736786782741546631e-01,3.599841594696044922e-01,1.693344531427282834e-02
3.524019420146942139e-01,-9.642246961593627930e-01,-3.578394055366516113e-01,8.157841896377225621e-02
-7.777340412139892578e-01,9.737736582756042480e-01,-6.439532041549682617e-01,3.049460958927248735e-02
