x,y,z,dist
7.607882618904113770e-01,-8.543145656585693359e-01,-1.778943091630935669e-01,2.028928777831673358e-02
-4.566688537597656250e-01,2.482829689979553223e-01,6.251149177551269531e-01,1.158236199433774066e-01
5.630618333816528320e-02,2.963199913501739502e-01,-1.077690720558166504e+00,1.184661528505501216e-01
9.352943301200866699e-02,2.939926087856292725e-01,7.845518589019775391e-01,3.240514217693583610e-01
-2.670418918132781982e-01,-1.261515855789184570e+00,-5.336802005767822266e-01,2.373270793505436460e-01
-7.162678837776184082e-01,9.269039630889892578e-01,-1.247637629508972168e+00,1.053972411986531937e-01
-1.968023627996444702e-01,4.902518689632415771e-01,-1.246631860733032227e+00,2.224608847341616111e-02
-6.606984138488769531e-01,8.755148053169250488e-01,-1.313099145889282227e+00,9.816244327285057747e-02
-3.093809783458709717e-01,3.339847624301910400e-01,4.739190936088562012e-01,1.708773720473779900e-01
-2.358040213584899902e-01,-1.646413445472717285e+00,3.501090109348297119e-01,1.156087517649108665e-01
-8.091004937887191772e-02,1.453156620264053345e-01,3.048233687877655029e-01,2.824724953638376931e-02
3.615676760673522949e-01,-7.556331157684326172e-01,1.223345279693603516e+00,4.974494035265908387e-02
1.622074842453002930e-01,-1.747245311737060547e+00,1.383032798767089844e-01,1.851535814646577682e-01
-2.284332662820816040e-01,-6.567431092262268066e-01,-3.020657002925872803e-01,2.247091469238839123e-02
3.083047270774841309e-01,2.762817442417144775e-01,2.835421562194824219e-01,2.224302890966087937e-02
8.750376105308532715e-01,-1.386015892028808594e+00,-3.417636752128601074e-01,9.151852589852722819e-02
8.215982913970947266e-01,-2.143582850694656372e-01,-1.211667805910110474e-01,1.802391149387136127e-01
2.472496032714843750e-01,1.423199534416198730e+00,5.906007885932922363e-01,8.956561190163990493e-02
1.290830075740814209e-01,-7.613523006439208984e-01,-7.789996266365051270e-01,1.838141483368388451e-01
-2.323820739984512329e-01,-9.942667484283447266e-01,-1.386667788028717041e-01,9.117824969672162772e-02
1.394097208976745605e-01,-1.034943908452987671e-01,-1.701093465089797974e-01,1.290431372789898334e-01
-7.523815035820007324e-01,7.212164402008056641e-01,-1.084118962287902832e+00,6.220822562345213608e-02
-1.631824970245361328e-01,8.137258887290954590e-01,-2.469393163919448853e-01,2.886444538283677516e-02
-4.398333430290222168e-01,6.214978098869323730e-01,5.905994772911071777e-01,7.799491574370962660e-03
-5.396599173545837402e-01,9.504554271697998047e-01,-5.657359361648559570e-01,5.306223188523345735e-02
1.636409759521484375e-01,1.704143136739730835e-01,7.550950646400451660e-01,3.183891225135503933e-01
-6.692885160446166992e-01,5.191902518272399902e-01,-1.122859716415405273e+00,6.768095749984513743e-02
2.530876994132995605e-01,6.519714593887329102e-01,-7.905397415161132812e-01,7.653780846493593581e-02
1.840997338294982910e-01,-7.288826107978820801e-01,9.501235485076904297e-01,2.525515404439635514e-01
5.492916107177734375e-01,1.348967403173446655e-01,-4.334539771080017090e-01,6.481487824137738274e-02
2.838544249534606934e-01,-7.801432013511657715e-01,-1.750951260328292847e-01,5.005694727628114821e-02
-3.040080070495605469e-01,-1.457900851964950562e-01,4.766106307506561279e-01,1.968041779696334467e-02
-5.449600815773010254e-01,-1.796446293592453003e-01,3.612543642520904541e-01,5.624186962912647303e-02
1.784193515777587891e-01,5.584113001823425293e-01,3.774478565901517868e-03,7.928341976197632313e-02
6.703702211380004883e-01,1.349454998970031738e+00,1.362919330596923828e+00,2.611557038707813527e-01
-3.389399647712707520e-01,5.302913188934326172e-01,6.686366200447082520e-01,1.057013849028753394e-01
-2.728462815284729004e-01,-4.125808179378509521e-01,-3.025604784488677979e-01,1.830199400379239547e-02
4.572646617889404297e-01,-3.948185965418815613e-02,-3.444261252880096436e-01,5.135207641448253160e-03
-8.342474699020385742e-02,5.734484195709228516e-01,6.199781317263841629e-03,6.006453966995010940e-02
-2.593885660171508789e-01,-1.370089173316955566e+00,-5.065890401601791382e-02,5.771188656675406425e-02
-6.564636230468750000e-01,-3.006429970264434814e-01,-5.855460464954376221e-02,5.260322462254434644e-02
-4.750941991806030273e-01,6.294435858726501465e-01,5.743966102600097656e-01,1.798339687720414831e-02
-8.862750977277755737e-02,-2.892920374870300293e-02,-2.187456004321575165e-02,1.468294253932625748e-01
-3.597112298011779785e-01,1.254159659147262573e-01,4.743221998214721680e-01,9.337135509984831327e-02
-4.421662688255310059e-01,-2.421583235263824463e-01,3.961257338523864746e-01,4.184625425842986024e-02
6.333223581314086914e-01,5.518093109130859375e-01,4.013783335685729980e-01,6.578158702419811821e-02
4.778103232383728027e-01,-1.096872091293334961e+00,-3.568783998489379883e-01,8.905226814719842399e-02
-3.397342562675476074e-01,-1.115457773208618164e+00,1.438712328672409058e-01,1.903885701581396403e-02
4.158332943916320801e-02,-1.065938234329223633e+00,-1.913728863000869751e-01,3.616610991478320242e-02
8.329886794090270996e-01,1.329856514930725098e+00,9.975805282592773438e-01,1.238358984069634489e-01
1.355313956737518311e-01,3.868024647235870361e-01,5.428547412157058716e-02,7.545265722364953576e-02
-5.786141753196716309e-01,-7.603850960731506348e-01,7.504177689552307129e-01,3.964293153496852018e-02
3.306227922439575195e-01,-6.898455619812011719e-01,3.727356493473052979e-01,7.150323078119788511e-02
-5.140216350555419922e-01,-2.406614720821380615e-01,4.787661880254745483e-02,5.919274820414528043e-02
-3.781930208206176758e-01,9.622783660888671875e-01,2.898820638656616211e-01,1.559224987211536330e-02
-4.290886521339416504e-01,3.047290742397308350e-01,5.433745384216308594e-01,8.108306253190614155e-02
-5.188534259796142578e-01,4.011863768100738525e-01,-2.042514830827713013e-01,7.066679070009744545e-02
-2.431632727384567261e-01,-1.677620053291320801e+00,8.015707731246948242e-01,7.900605512626011906e-02
1.711427569389343262e-01,-1.195102930068969727e+00,-8.340605497360229492e-01,1.081706339508687470e-01
6.678785085678100586e-01,6.381139159202575684e-01,4.185430109500885010e-01,1.343966942150524313e-01
1.821546554565429688e-01,-3.392300903797149658e-01,3.930366337299346924e-01,4.127380538892221062e-02
4.675437510013580322e-02,4.135465249419212341e-02,2.191305756568908691e-01,7.804365600029368466e-02
-1.508667767047882080e-01,6.113049387931823730e-01,-1.246908426284790039e+00,4.300088986575556493e-02
-2.449145019054412842e-01,6.501420736312866211e-01,-1.805966794490814209e-01,4.885251717105861674e-02
2.233992218971252441e-01,6.592901349067687988e-01,-8.586829304695129395e-01,4.776238049321947232e-02
5.369960069656372070e-01,-1.766801834106445312e+00,-1.191512495279312134e-01,8.487914295124095176e-02
-3.029608130455017090e-01,7.730203270912170410e-01,4.613164961338043213e-01,3.443003283491024441e-02
-3.808039426803588867e-01,1.799725592136383057e-01,4.630499780178070068e-01,9.393094407637793408e-02
-2.172847837209701538e-02,-3.056845963001251221e-01,7.554619312286376953e-01,1.674160691074230989e-01
-9.125205129384994507e-02,-7.302423119544982910e-01,1.116714358329772949e+00,1.518034991823923874e-01
3.147814869880676270e-01,-8.119026422500610352e-01,3.615607321262359619e-01,4.923035457414875332e-02
1.115760356187820435e-01,5.012131929397583008e-01,-1.089436292648315430e+00,8.614920379072747714e-02
-5.034677982330322266e-01,-2.322437465190887451e-01,3.359238803386688232e-01,6.993398768087237538e-02
-6.207212209701538086e-01,-1.049507260322570801e-01,3.303683400154113770e-01,7.913435035811304530e-02
-3.335998654365539551e-01,9.255551695823669434e-01,3.012178242206573486e-01,4.463833180494978375e-02
-2.474199533462524414e-01,-6.281507611274719238e-01,1.996398568153381348e-01,9.858868983464939839e-02
2.859005331993103027e-01,-7.962048649787902832e-01,2.773944437503814697e-01,3.475569295710438655e-02
-5.927414894104003906e-01,-1.456633806228637695e-01,3.765541613101959229e-01,1.579728577170676912e-02
-2.887652516365051270e-01,2.851792275905609131e-01,-3.897811472415924072e-01,1.084589248691804064e-01
5.825347304344177246e-01,2.788803279399871826e-01,6.569895148277282715e-01,3.992730871181815466e-02
4.909569621086120605e-01,-1.753252267837524414e+00,-3.040069527924060822e-02,1.634981663987883360e-01
-4.943571686744689941e-01,-5.094851925969123840e-02,4.344793856143951416e-01,2.979760677640163474e-02
-1.075945794582366943e-03,5.754424333572387695e-01,4.450285732746124268e-01,2.496947834945058287e-02
3.242201805114746094e-01,7.482075691223144531e-01,7.101414203643798828e-01,6.039830504653214555e-02
-1.533056348562240601e-01,1.744233220815658569e-01,1.570640355348587036e-01,5.211283702110054705e-02
1.151776313781738281e-02,-2.748462259769439697e-01,7.283176183700561523e-01,1.324400407925916401e-01
6.283016800880432129e-01,1.241030335426330566e+00,4.935298562049865723e-01,1.621062198207915139e-01
-3.054574728012084961e-01,-1.257796645164489746e+00,3.719810768961906433e-02,3.001711153564724788e-02
8.293685317039489746e-01,1.881947368383407593e-01,-7.988718152046203613e-02,8.813160118092359940e-02
2.458723187446594238e-01,-2.558065950870513916e-01,7.681181430816650391e-01,1.722697817071082715e-01
-3.114189505577087402e-01,3.469835817813873291e-01,4.931974709033966064e-01,1.704989539646752095e-01
-3.854048848152160645e-01,7.257258892059326172e-01,-6.585294604301452637e-01,1.122634382404561898e-01
-2.171058952808380127e-01,-1.642686128616333008e+00,3.629161715507507324e-01,1.312623581854003851e-01
8.980326056480407715e-01,-8.715061843395233154e-02,1.174877166748046875e+00,7.227856516165635792e-02
-3.798491954803466797e-01,-1.208272814750671387e+00,7.531744241714477539e-01,7.106261754389139873e-02
-6.051312685012817383e-01,-2.605172097682952881e-01,-1.751436442136764526e-01,1.422338447790246103e-02
8.371185064315795898e-01,7.125422358512878418e-02,4.168752431869506836e-01,1.793381649671733080e-01
-4.276735186576843262e-01,1.399210095405578613e-01,5.648978352546691895e-01,6.028495357677091798e-02
9.076741933822631836e-01,3.259573131799697876e-02,3.471190854907035828e-02,1.620696735243435938e-01
3.714886307716369629e-01,2.758808135986328125e-01,8.869048953056335449e-02,1.264638282106182177e-01
7.169536948204040527e-01,-1.624745845794677734e+00,-7.225082814693450928e-02,1.862548956709133841e-01
2.080703973770141602e-01,-6.600829362869262695e-01,-8.220490813255310059e-01,1.772864447536692811e-01
-6.662752628326416016e-01,9.048521518707275391e-01,-2.449789047241210938e-01,2.647966058542771187e-02
8.895233869552612305e-01,-1.491615533828735352e+00,-1.414142251014709473e-01,1.614518573910524168e-01
2.703841775655746460e-02,-2.685787379741668701e-01,-2.774976789951324463e-01,9.039462468202899559e-02
-5.122078061103820801e-01,2.250289544463157654e-03,4.177626967430114746e-01,3.337530830577940116e-02
-6.606715917587280273e-01,6.869060993194580078e-01,-5.633715391159057617e-01,4.004852272254644241e-02
4.838532209396362305e-01,-1.022716164588928223e+00,-3.388956785202026367e-01,1.158691928729360110e-01
-6.021901965141296387e-01,8.079434037208557129e-01,4.764584302902221680e-01,7.201388511234046996e-02
-2.610985040664672852e-01,9.357987642288208008e-01,-2.263008803129196167e-01,9.657300836032391145e-02
-3.591057658195495605e-01,4.941965043544769287e-01,7.042609453201293945e-01,1.104231534272440557e-01
2.909497022628784180e-01,-7.291515469551086426e-01,5.256719589233398438e-01,5.888070669305075361e-02
4.586612582206726074e-01,-7.078016996383666992e-01,1.023652076721191406e+00,4.915883367537678822e-02
