x,y,z,dist
5.736817121505737305e-01,1.438389062881469727e+00,6.965888142585754395e-01,2.925745387794981625e-02
7.221871614456176758e-01,1.427310347557067871e+00,1.260319828987121582e+00,1.245083254074755286e-01
1.654105260968208313e-02,-1.011656761169433594e+00,5.550918579101562500e-01,4.493800059597653773e-02
-6.915292143821716309e-01,9.148839712142944336e-01,4.790492728352546692e-02,8.587644367988330960e-03
-2.888859212398529053e-01,3.392904698848724365e-01,5.980470180511474609e-01,1.480908044585833305e-01
-3.750268816947937012e-01,-7.896251976490020752e-03,1.567605584859848022e-01,3.486761268492527543e-02
-4.764737486839294434e-01,5.059871673583984375e-01,-1.117184400558471680e+00,4.345388230032897620e-02
-4.582294821739196777e-01,6.617346405982971191e-01,-2.574877738952636719e-01,7.055923463471160118e-02
-7.870809733867645264e-02,2.021481692790985107e-01,8.916553258895874023e-01,3.541064341795048809e-01
-4.535865783691406250e-01,-1.013351798057556152e+00,6.208171248435974121e-01,5.472321242383901274e-02
1.496387124061584473e-01,-1.314497232437133789e+00,5.920380949974060059e-01,9.264809261386082462e-02
1.856862306594848633e-01,-1.004388332366943359e+00,-2.921884059906005859e-01,5.646779848564838222e-02
6.533076763153076172e-01,1.188939690589904785e+00,6.686395406723022461e-01,4.407955992591933853e-02
-1.403751969337463379e-01,1.691063642501831055e-01,-6.489887237548828125e-01,2.039622580793838125e-01
-6.771144270896911621e-02,4.882408380508422852e-01,4.791249930858612061e-01,1.218201492320104551e-01
-9.109105169773101807e-02,-5.375809073448181152e-01,-9.464244246482849121e-01,2.443862131346096478e-01
1.400936245918273926e-01,-6.838844418525695801e-01,2.779577076435089111e-01,3.280265683127913529e-02
1.046256661415100098e+00,-1.766003072261810303e-01,-4.849377274513244629e-01,2.164140352878175452e-02
-1.063325405120849609e-01,8.781441450119018555e-01,3.056209385395050049e-01,7.421135695447539371e-02
-1.087731420993804932e-01,-4.922385215759277344e-01,6.171594858169555664e-01,6.727631047599059999e-02
2.127650678157806396e-01,-3.614298254251480103e-02,-7.621161341667175293e-01,1.869326638463985474e-02
-1.131730079650878906e-01,-6.771446466445922852e-01,-4.563452899456024170e-01,3.023731390165393731e-02
-8.827297687530517578e-01,5.006651282310485840e-01,3.162018954753875732e-01,8.672419289127891728e-02
-1.296046376228332520e-01,6.033500283956527710e-02,8.800928294658660889e-02,8.725225095376487605e-02
-2.096632719039916992e-01,-7.336643934249877930e-01,-3.298170566558837891e-01,7.084692753072879823e-02
-1.933277845382690430e-01,-5.659216642379760742e-01,-6.760262846946716309e-01,5.107960605237955864e-02
2.309567332267761230e-01,5.142711997032165527e-01,-8.500821590423583984e-01,4.091083571770266769e-02
-3.962256908416748047e-01,4.465270787477493286e-03,-7.238082885742187500e-01,6.923053905652923334e-02
-8.667819201946258545e-04,-1.426607012748718262e+00,7.359675168991088867e-01,2.101946609443744104e-02
8.931637406349182129e-01,-1.046473383903503418e+00,-3.588499426841735840e-01,1.969515222566433355e-01
-6.883403658866882324e-01,6.617783904075622559e-01,5.443528294563293457e-01,1.248802769951121439e-01
-4.022522866725921631e-01,7.606363892555236816e-01,-1.181150674819946289e-01,5.114742832223902191e-02
5.728853344917297363e-01,-1.031004786491394043e+00,-2.694737613201141357e-01,1.339654965580293622e-01
-1.013044714927673340e-01,-2.254627048969268799e-01,-1.947495192289352417e-01,5.989212670184956150e-02
9.934666156768798828e-01,3.430671095848083496e-01,-3.108675181865692139e-01,4.987346046862482785e-02
5.921403765678405762e-01,1.061171412467956543e+00,9.346309304237365723e-01,1.315616880990660986e-01
5.066849589347839355e-01,1.407712101936340332e+00,1.411089181900024414e+00,2.392846067097838259e-01
3.305212259292602539e-01,6.203367710113525391e-01,-2.585457265377044678e-01,1.079290758570322500e-01
8.543430566787719727e-01,-9.540632963180541992e-01,-6.599603295326232910e-01,1.151132592732865001e-01
