x,y,z,dist
3.263109624385833740e-01,1.177849054336547852e+00,5.495920777320861816e-01,1.135234225454667956e-01
9.601578116416931152e-02,8.396243453025817871e-01,-2.691950798034667969e-01,3.678618127962839102e-02
3.739010989665985107e-01,2.967567145824432373e-01,1.596448868513107300e-01,5.386895497332918475e-02
3.066484257578849792e-02,-5.419141650199890137e-01,-7.656080126762390137e-01,5.683190250234011753e-02
5.562035441398620605e-01,3.276315331459045410e-01,3.081160783767700195e-01,6.092454535114325692e-02
-3.368274867534637451e-01,-4.458314180374145508e-02,-7.629868388175964355e-01,1.130721103311917441e-01
-1.993629634380340576e-01,-7.681967616081237793e-01,-5.989152193069458008e-01,6.024942983387879952e-02
7.990394234657287598e-01,6.946034431457519531e-01,-3.007219135761260986e-01,1.024885042963228077e-01
-7.598072290420532227e-01,4.479767382144927979e-01,4.085782766342163086e-01,1.575516933503710304e-01
3.448668420314788818e-01,1.677757352590560913e-01,7.644872665405273438e-01,2.326590806920550980e-01
-7.572605013847351074e-01,1.209553480148315430e+00,-6.104707121849060059e-01,4.599785858937664729e-02
-2.606106102466583252e-01,3.537043333053588867e-01,6.251785755157470703e-01,2.013062583296226782e-01
-3.460553586483001709e-01,-6.719105243682861328e-01,1.355230957269668579e-01,1.958432415824008094e-02
-6.877672672271728516e-01,1.488922834396362305e+00,-1.107848644256591797e+00,1.931520328671450792e-01
-6.117035746574401855e-01,8.070203661918640137e-02,7.189552783966064453e-01,2.788667130418050547e-02
-1.018832176923751831e-01,-4.361522197723388672e-02,5.018562674522399902e-01,1.612629621521939963e-02
5.908570885658264160e-01,2.066909819841384888e-01,-3.776716589927673340e-01,6.566416196822043305e-02
-4.907675683498382568e-01,8.195289969444274902e-01,-6.540116071701049805e-01,6.464749907027325659e-02
2.900595963001251221e-01,-9.335193037986755371e-01,-7.197933793067932129e-01,1.216817651461386263e-01
-7.519081234931945801e-01,5.883854031562805176e-01,-3.484469056129455566e-01,1.969883504152526027e-02
-7.778199911117553711e-01,5.271673798561096191e-01,-5.407349467277526855e-01,3.824723980427011810e-02
3.524200022220611572e-01,9.817153811454772949e-01,6.127029657363891602e-01,5.383989513744049521e-02
4.793066978454589844e-01,-8.484286665916442871e-01,5.129392743110656738e-01,7.257546542767755182e-02
-5.878108143806457520e-01,-4.878257811069488525e-01,3.374750614166259766e-01,2.223671971163424660e-02
-4.333321452140808105e-01,1.169913291931152344e+00,-5.223252177238464355e-01,4.920302310902291421e-02
4.418297111988067627e-01,-6.702299714088439941e-01,1.024809479713439941e+00,3.858918796143404051e-02
-3.605479001998901367e-02,-9.547503590583801270e-01,2.190948575735092163e-01,5.039811600944325842e-02
7.256937623023986816e-01,-1.155462384223937988e+00,-4.530091956257820129e-02,1.568631588736886517e-01
5.940250754356384277e-01,-9.448899030685424805e-01,-1.760212332010269165e-01,4.750818998718519398e-02
6.347680091857910156e-01,6.811400651931762695e-01,4.566371738910675049e-01,1.009147641560272091e-01
-4.026565849781036377e-01,-4.083124101161956787e-01,6.810722351074218750e-01,4.109171296058272693e-02
-3.229950964450836182e-01,-1.298285126686096191e+00,1.512325108051300049e-01,8.997628207871129213e-02
4.199623763561248779e-01,-1.239074587821960449e+00,-7.056602239608764648e-01,7.642370674489844251e-02
7.276200652122497559e-01,1.208559036254882812e+00,3.270894661545753479e-02,2.594046907223329645e-01
-6.493522524833679199e-01,1.221969604492187500e+00,-1.108249500393867493e-01,1.745912381992029139e-02
4.532499015331268311e-01,4.582828879356384277e-01,-6.254029870033264160e-01,1.321971270734595416e-01
-3.411107957363128662e-01,1.854362189769744873e-01,1.030727148056030273e+00,9.152119407286367359e-02
-3.409279882907867432e-01,-1.017653584480285645e+00,6.459115743637084961e-01,4.744649991281215534e-02
4.199350476264953613e-01,-1.817909181118011475e-01,-4.245102107524871826e-01,4.359530111502994687e-02
5.705754160881042480e-01,-1.445407509803771973e+00,-3.189531266689300537e-01,1.757345122074198684e-01
3.515014350414276123e-01,-6.731772422790527344e-01,1.154740333557128906e+00,1.165615667576520575e-01
-1.488195210695266724e-01,-1.450961828231811523e+00,-9.387359768152236938e-02,1.126397316610990018e-01
