x,y,z,dist
2.321901321411132812e-01,-7.571363449096679688e-01,1.392095237970352173e-01,3.644225351139197128e-02
-4.527166187763214111e-01,3.371664285659790039e-01,6.236539483070373535e-01,3.102648045228345239e-02
-1.425756216049194336e-01,2.368674129247665405e-01,1.435305029153823853e-01,3.574813499026935348e-02
8.693908452987670898e-01,-4.654242694377899170e-01,1.827181503176689148e-02,2.432903188666591665e-01
1.015476703643798828e+00,9.661095142364501953e-01,-2.133685648441314697e-01,2.536816759340175254e-01
7.056871652603149414e-01,1.625005125999450684e+00,-8.910021185874938965e-02,5.887039393082045269e-01
-4.440109431743621826e-01,-6.535899043083190918e-01,1.274040192365646362e-01,6.993816261664834166e-02
-3.588872551918029785e-01,5.686054229736328125e-01,-5.328947901725769043e-01,4.826162442896183430e-02
8.671500682830810547e-01,-6.705563068389892578e-01,4.541388154029846191e-01,7.728371301407001293e-02
-1.467781364917755127e-01,-3.383284807205200195e-01,7.163997292518615723e-01,1.100838737545206530e-01
-7.381153702735900879e-01,6.719211488962173462e-02,3.156155943870544434e-01,1.919855060274742453e-01
-1.031637266278266907e-01,8.405269384384155273e-01,-4.779269099235534668e-01,1.114192394835503835e-01
3.171212971210479736e-01,-2.176098674535751343e-01,9.239957332611083984e-01,2.699872839935731905e-01
-6.212558150291442871e-01,2.599100768566131592e-01,-9.942310452461242676e-01,1.270665088281190680e-01
1.382190287113189697e-01,-1.573958039283752441e+00,2.648954093456268311e-01,1.262366311851414735e-01
-3.826187551021575928e-01,-1.135159254074096680e+00,7.244911789894104004e-01,4.384991818217432585e-02
-3.326148688793182373e-01,2.234991043806076050e-01,4.371980726718902588e-01,7.758539939244747663e-02
2.301009595394134521e-01,-2.613686621189117432e-01,3.593179881572723389e-01,4.582958894578977038e-02
-2.964014559984207153e-02,-1.324677348136901855e+00,-7.886794954538345337e-02,4.709955312141943240e-02
-2.506441473960876465e-01,3.047433793544769287e-01,3.886100947856903076e-01,1.492432007081336276e-01
-5.137214437127113342e-02,-2.662521004676818848e-01,-6.269913911819458008e-01,1.007172331830733236e-01
-7.200965285301208496e-02,-7.210189104080200195e-01,5.207001566886901855e-01,1.195191236286341774e-01
5.692467093467712402e-01,-1.443435102701187134e-01,1.095596194267272949e+00,9.954174857997734327e-02
2.121806144714355469e-01,9.678673148155212402e-01,8.687803745269775391e-01,4.165780051779713333e-02
3.004561960697174072e-01,2.857345640659332275e-01,4.268652498722076416e-01,4.302743067101560265e-02
7.750753760337829590e-01,-6.434956789016723633e-01,7.567235231399536133e-01,2.529950946260770342e-02
2.167708799242973328e-02,-1.428595066070556641e+00,-5.218837857246398926e-01,2.126383805878067634e-01
-7.533952593803405762e-03,-6.717476844787597656e-01,2.386725097894668579e-01,8.334034963980306576e-02
7.243421077728271484e-01,-9.822000861167907715e-01,-1.476073414087295532e-01,4.451631478317182727e-02
1.128358319401741028e-01,5.442489385604858398e-01,2.953309416770935059e-01,3.763562328654650180e-02
1.055691480636596680e+00,-1.323058456182479858e-01,9.351672530174255371e-01,3.160488575800825956e-02
2.936483919620513916e-01,-1.564788579940795898e+00,9.962563514709472656e-01,1.180707320831961837e-01
9.887848049402236938e-02,3.748523592948913574e-01,1.745858341455459595e-01,2.428839486245277027e-02
5.284057259559631348e-01,-8.015872240066528320e-01,2.358727343380451202e-02,1.305462716566911374e-01
-5.318860709667205811e-02,-9.018942713737487793e-01,5.313483476638793945e-01,6.402108314837537395e-02
3.096071630716323853e-02,1.788815110921859741e-02,8.197887539863586426e-01,2.580198181485807152e-01
9.877162426710128784e-02,-1.105841755867004395e+00,6.762728095054626465e-01,2.155869610292609692e-02
-5.869452357292175293e-01,-2.938502132892608643e-01,4.006730318069458008e-01,7.370888045203052852e-02
3.007735610008239746e-01,-7.046440243721008301e-01,6.004286408424377441e-01,9.636403857605975801e-03
-5.910331755876541138e-02,6.264536976814270020e-01,1.995857059955596924e-02,6.711608529720804184e-02
-6.388148665428161621e-01,6.420211195945739746e-01,4.767224490642547607e-01,1.015987910301640318e-01
5.351041555404663086e-01,9.933356195688247681e-02,-1.251642704010009766e-01,1.917473535036578747e-01
4.722831845283508301e-01,2.927837669849395752e-01,-5.028612613677978516e-01,9.869416301380631862e-02
-5.010433793067932129e-01,-2.394133955240249634e-01,3.043664395809173584e-01,5.160688974710352442e-03
1.251488029956817627e-01,-2.344781309366226196e-01,2.603102922439575195e-01,8.738029824571157123e-02
-1.477486789226531982e-01,7.709532976150512695e-01,-7.835927605628967285e-01,2.044213590014337112e-01
-6.754201650619506836e-01,2.518406808376312256e-01,-4.073900878429412842e-01,6.766363280564080540e-02
-1.269765198230743408e-01,3.268698751926422119e-01,-8.092555217444896698e-03,3.727768322614462976e-02
-3.405377864837646484e-01,-1.854538470506668091e-01,-2.908372879028320312e-01,1.277099688448736156e-02
2.635941505432128906e-01,3.055731654167175293e-01,5.453777313232421875e-01,1.284806202970020794e-01
7.055584192276000977e-01,-1.438055515289306641e+00,-3.730952143669128418e-01,1.914037344797488993e-01
2.718872725963592529e-01,1.007341027259826660e+00,4.984567761421203613e-01,5.906456625613581979e-02
8.966950178146362305e-01,2.138035371899604797e-03,9.642120003700256348e-01,4.908820279763701638e-02
-1.033712700009346008e-01,1.952803879976272583e-01,2.009985446929931641e-01,3.756707931004592965e-02
-6.721576452255249023e-01,5.227347612380981445e-01,6.452577114105224609e-01,7.627985867625068639e-02
-5.214864015579223633e-02,7.961921393871307373e-02,4.040820896625518799e-01,2.645824040593631674e-02
-3.953603804111480713e-01,-2.172398380935192108e-02,4.576235711574554443e-01,3.314885426042186306e-02
-5.345045924186706543e-01,9.488699436187744141e-01,-5.848447084426879883e-01,7.114220089495834620e-02
4.651783108711242676e-01,-9.183438420295715332e-01,-5.778960585594177246e-01,1.221293768565650389e-01
-2.416838109493255615e-01,-5.525695085525512695e-01,7.267942428588867188e-01,7.158064044556378125e-02
3.175695240497589111e-01,-5.916594266891479492e-01,3.292268216609954834e-01,6.019814772285085602e-02
9.843410253524780273e-01,-4.136849343776702881e-01,2.754308581352233887e-01,1.602574678329610203e-01
-5.844275355339050293e-01,-4.859962463378906250e-01,-2.294577360153198242e-01,5.941681034458331373e-02
-2.937371134757995605e-01,-1.396387457847595215e+00,5.275105237960815430e-01,1.451101604081800056e-01
6.745969653129577637e-01,-1.589975237846374512e+00,-5.954722315073013306e-02,1.504258641736694879e-01
-5.279443264007568359e-01,3.037297725677490234e-01,-6.186982989311218262e-01,3.267460349670547881e-02
9.968675374984741211e-01,-9.325510263442993164e-02,3.465327620506286621e-02,2.019411906397450551e-01
-4.712102413177490234e-01,5.104114413261413574e-01,-1.141615748405456543e+00,1.009741636724688918e-01
-7.583171725273132324e-01,8.299499750137329102e-02,-4.715668857097625732e-01,5.086501238291549903e-02
1.519761979579925537e-01,-1.318325519561767578e+00,1.146808266639709473e+00,9.115014411652411219e-02
-8.386138081550598145e-01,4.880412518978118896e-01,-1.984183788299560547e-01,1.517196892936138394e-02
1.284915804862976074e-01,-7.983044981956481934e-01,3.049466609954833984e-01,3.163451319044820187e-02
-3.346027433872222900e-01,-2.141075879335403442e-01,-1.714614480733871460e-01,4.648124211236499825e-02
2.303536981344223022e-02,7.328024506568908691e-01,4.253623783588409424e-01,7.435251136916025405e-02
4.517389833927154541e-01,-1.524828910827636719e+00,8.578158169984817505e-02,9.574444622204901501e-02
-4.362398982048034668e-01,-1.349798202514648438e+00,3.807169198989868164e-01,5.270338698008401879e-02
-2.705881893634796143e-01,6.303508281707763672e-01,-4.319935142993927002e-01,6.558996019612621520e-02
9.855259656906127930e-01,-1.207499384880065918e+00,-2.473505437374114990e-01,8.053484734640142806e-02
-6.618177518248558044e-03,7.169302105903625488e-01,-3.624159842729568481e-02,8.327766653099351324e-02
-7.294413447380065918e-02,-1.059935465455055237e-01,8.319249153137207031e-01,2.339135083991369934e-01
