x,y,z,dist
7.332427501678466797e-01,-1.061232447624206543e+00,-3.288473188877105713e-01,1.462975414194836732e-01
-5.626921653747558594e-01,9.211597442626953125e-01,4.661236405372619629e-01,2.866441652523033651e-02
4.041229188442230225e-01,-6.059768795967102051e-01,9.281877875328063965e-01,7.304970087489595643e-02
-6.611039638519287109e-01,3.896064460277557373e-01,-2.436227500438690186e-01,2.619969392236807387e-02
-8.303731083869934082e-01,7.691104412078857422e-01,-6.014875769615173340e-01,5.717058075436406289e-02
-6.403374671936035156e-01,1.931345760822296143e-01,-2.771172821521759033e-01,2.002160496465812262e-02
1.627187877893447876e-01,7.263843417167663574e-01,-5.317145586013793945e-01,2.133317777127594350e-01
1.550789922475814819e-01,-9.137766063213348389e-02,6.733964085578918457e-01,7.070884788207570937e-02
-2.707941532135009766e-01,7.878963351249694824e-01,-6.331669688224792480e-01,1.443109215491718555e-01
2.427264004945755005e-01,-8.377356827259063721e-02,-1.930105537176132202e-01,9.466998869082451917e-02
1.378551498055458069e-02,-1.126713156700134277e+00,8.791481852531433105e-01,1.505200673820872581e-01
-6.702090501785278320e-01,2.147115021944046021e-01,-3.529243171215057373e-01,3.142581544191499349e-02
-8.360396623611450195e-01,6.102920770645141602e-01,-5.828126668930053711e-01,8.803948604355880947e-02
6.188925504684448242e-01,-1.172668337821960449e+00,-5.171253681182861328e-01,8.091174806262999009e-02
-9.375219345092773438e-01,2.905398905277252197e-01,-3.378181755542755127e-01,1.124737600291138562e-01
-6.348570585250854492e-01,1.061043500900268555e+00,-9.120762944221496582e-01,1.743514013576448474e-02
-3.738232329487800598e-02,6.893406808376312256e-02,8.584659099578857422e-01,3.025848945612722440e-01
-7.332419753074645996e-01,8.180339336395263672e-01,6.510100364685058594e-01,4.928945119097864758e-02
-7.901707291603088379e-01,6.110807657241821289e-01,2.998928725719451904e-01,9.876023319351824592e-02
-1.616757661104202271e-01,5.505654215812683105e-01,6.806690096855163574e-01,1.256067954485782234e-01
-6.319473981857299805e-01,-3.796018064022064209e-01,-8.249680697917938232e-02,2.002643305340895408e-02
-7.024522423744201660e-01,1.162441372871398926e+00,-1.237924933433532715e+00,8.224300033542579491e-02
1.085514307022094727e+00,-1.910890638828277588e-01,1.029883027076721191e+00,2.548659890852706875e-02
7.418302297592163086e-01,-5.767159461975097656e-01,-2.494581043720245361e-01,9.777868136259955378e-02
-6.070768237113952637e-01,5.542176961898803711e-01,-6.475360393524169922e-01,6.304048946417667443e-02
-8.236755132675170898e-01,7.385441064834594727e-01,3.218449950218200684e-01,1.824234587082421491e-02
1.214511543512344360e-01,-1.175314903259277344e+00,-4.721923172473907471e-01,3.747873178578143422e-02
-4.120503962039947510e-01,-6.731427311897277832e-01,1.459663212299346924e-01,9.797517316577511459e-02
-1.670947819948196411e-01,-1.020617365837097168e+00,1.619342565536499023e-01,3.245102614732532642e-02
-7.843326330184936523e-01,6.285808682441711426e-01,-4.734759032726287842e-01,1.817381792556507086e-02
8.492352962493896484e-01,1.422050237655639648e+00,-3.169694542884826660e-01,4.626967718005814967e-01
-2.785720825195312500e-01,-2.657274603843688965e-01,7.050748467445373535e-01,5.292565105091116134e-02
-3.240205943584442139e-01,-8.601258993148803711e-01,7.582165598869323730e-01,7.619197354095572083e-02
4.264219999313354492e-01,-1.381854176521301270e+00,8.200030326843261719e-01,1.411418409356345327e-01
-4.692059457302093506e-01,-6.038111448287963867e-01,3.897458612918853760e-01,5.504385272978554872e-02
2.141137421131134033e-02,6.638649106025695801e-01,4.436990320682525635e-01,4.091696905579649685e-02
-2.714442014694213867e-01,-7.387815415859222412e-02,-7.103655338287353516e-01,1.106601537358026521e-01
