x,y,z,dist
-6.666868925094604492e-01,3.260128796100616455e-01,-3.255062103271484375e-01,4.068010018660584565e-02
7.768448591232299805e-01,-1.131033897399902344e-01,-8.881289511919021606e-02,2.043571530455790541e-01
2.879585027694702148e-01,-7.636196017265319824e-01,1.005896568298339844e+00,1.858787762656931575e-01
-5.840327739715576172e-01,-2.630525231361389160e-01,7.313628196716308594e-01,4.824545779689647790e-02
1.128691673278808594e+00,1.348378300666809082e+00,-4.028663039207458496e-01,3.702930540457362585e-01
-1.570642739534378052e-01,2.452149242162704468e-01,-8.257311582565307617e-02,6.048678535260707673e-02
-1.272766590118408203e-01,-2.409900128841400146e-01,-2.313644886016845703e-01,3.561488625807201353e-02
2.686668038368225098e-01,-9.739032983779907227e-01,-6.897617578506469727e-01,7.778161412830127130e-02
1.112807631492614746e+00,-1.815397888422012329e-01,-6.421344354748725891e-03,8.683377420277724190e-02
-4.040028899908065796e-02,-1.407378673553466797e+00,-2.282073795795440674e-01,9.531535298730306471e-02
1.352731883525848389e-01,-1.595909148454666138e-01,1.706672757863998413e-01,4.094089438797961916e-02
-1.443321704864501953e-01,-1.487390995025634766e-01,-6.071603298187255859e-01,4.838052155838987178e-02
4.353395402431488037e-01,3.101064264774322510e-01,5.978484153747558594e-01,1.122188737885504717e-01
-3.759711384773254395e-01,3.973000645637512207e-01,-5.217952132225036621e-01,8.589720121981533896e-02
1.222660541534423828e+00,-3.205823898315429688e-01,-1.002244874835014343e-01,7.307714076371538137e-02
1.500039547681808472e-02,-8.747124075889587402e-01,-1.736600995063781738e-01,3.114608494165689231e-02
1.294883340597152710e-02,-4.699512422084808350e-01,-6.442738771438598633e-01,2.535169714739016200e-02
6.627979278564453125e-01,-3.483315110206604004e-01,-1.402808874845504761e-01,1.069312741441389436e-01
8.775227665901184082e-01,-1.586836338043212891e+00,-1.568948924541473389e-01,1.526840170841763655e-01
5.942304432392120361e-02,6.148474216461181641e-01,-7.092050909996032715e-01,2.761950019992657213e-01
1.700704693794250488e-01,-2.189716398715972900e-01,-4.329285919666290283e-01,9.859571897093563630e-02
-6.352967619895935059e-01,4.833699762821197510e-01,-3.362133800983428955e-01,5.101751725276625765e-02
-6.729873418807983398e-01,2.022259533405303955e-01,-5.710883140563964844e-01,8.518846731811871575e-02
9.633523225784301758e-01,-5.504067540168762207e-01,-3.564656078815460205e-01,2.608989642501807760e-02
1.045335650444030762e+00,1.720916390419006348e+00,-1.813496649265289307e-02,4.041680498310064040e-01
-2.675153315067291260e-01,6.619354486465454102e-01,-1.331377327442169189e-01,8.459129808677116891e-02
-1.810732483863830566e-01,4.976465404033660889e-01,6.214634776115417480e-01,1.936024236719475766e-01
