x,y,z,dist
-6.673039197921752930e-01,-4.231611490249633789e-01,1.419906970113515854e-03,2.680533436275041315e-02
9.327177405357360840e-01,-2.985377013683319092e-01,-2.064785361289978027e-02,2.378405372752790958e-01
1.345627456903457642e-01,-1.062082201242446899e-01,-1.685390621423721313e-01,1.790449095977706129e-01
8.113884329795837402e-01,-2.377081289887428284e-02,-4.362126439809799194e-02,2.414452438114488841e-01
-6.128515601158142090e-01,-3.427774906158447266e-01,-1.253394484519958496e-01,6.856351036233480911e-02
-4.117163419723510742e-01,3.136104345321655273e-01,7.423780560493469238e-01,7.437167587819931702e-02
-1.057890653610229492e-01,5.023223757743835449e-01,-1.183127284049987793e+00,9.123342323229532980e-02
-4.820282459259033203e-01,9.135867357254028320e-01,-5.424559116363525391e-01,4.426807528650767570e-02
7.575485110282897949e-02,3.741774857044219971e-01,5.047271773219108582e-02,9.127371748840386323e-02
-4.407941550016403198e-02,8.971807360649108887e-02,3.845304548740386963e-01,3.147563245163659262e-02
-5.953350663185119629e-01,-1.120520755648612976e-02,2.496375143527984619e-01,1.362707718849728022e-01
-7.202342152595520020e-01,5.995346903800964355e-01,2.923193573951721191e-01,1.791878838842104749e-01
-4.831950366497039795e-01,-7.716567814350128174e-02,3.736771047115325928e-01,3.703871909213942576e-02
-4.455373287200927734e-01,-1.283708095550537109e+00,3.959448933601379395e-01,4.252682762075693512e-02
-5.931326150894165039e-01,1.091354966163635254e+00,9.655004739761352539e-02,7.040027797762110628e-02
1.100585341453552246e+00,-5.083064436912536621e-01,-6.534730643033981323e-02,2.096397163078581732e-02
1.101589798927307129e-01,-6.152464747428894043e-01,-9.123565554618835449e-01,2.226660189129183454e-01
8.564856648445129395e-02,7.524065971374511719e-01,-7.529059052467346191e-01,1.595097996061490553e-01
-2.041122466325759888e-01,-4.046980440616607666e-01,-8.489170670509338379e-02,2.018406984049053374e-02
-2.640072703361511230e-01,6.044186949729919434e-01,-1.248265027999877930e+00,2.186570350835512211e-02
2.494630515575408936e-01,-1.234662413597106934e+00,1.011767625808715820e+00,4.793812591101000858e-02
-1.599690169095993042e-01,7.233598828315734863e-01,-3.471694588661193848e-01,4.274629384342299582e-02
-4.058670103549957275e-01,3.669750392436981201e-01,7.684724330902099609e-01,8.665472609295038486e-02
-5.372852087020874023e-01,1.193568587303161621e+00,-1.111973881721496582e+00,8.148445506135962302e-02
4.565176665782928467e-01,3.853269815444946289e-01,-1.425208896398544312e-01,6.438156508495443409e-02
2.001258879899978638e-01,-8.123276233673095703e-01,4.006792604923248291e-01,1.019252729812142461e-01
6.250632405281066895e-01,-5.344616174697875977e-01,1.106031060218811035e+00,6.983329563407963958e-02
4.390031397342681885e-01,1.612652987241744995e-01,-4.397457540035247803e-01,4.803575573159732381e-02
4.049902260303497314e-01,1.269230365753173828e+00,3.641351461410522461e-01,2.615415308552050400e-01
-3.336868286132812500e-01,-2.077667564153671265e-01,-3.483901917934417725e-01,3.580680754764752755e-02
3.651178479194641113e-01,-5.943461656570434570e-01,1.224750280380249023e+00,1.045938668010407135e-01
3.229905366897583008e-01,2.968946695327758789e-01,1.353321373462677002e-01,3.922784131140880093e-02
-7.170577645301818848e-01,4.729176461696624756e-01,-4.791947603225708008e-01,4.375740141639057612e-02
-4.937024116516113281e-01,1.961030215024948120e-01,7.624269127845764160e-01,3.356706158995017425e-02
-7.585209012031555176e-01,7.215267047286033630e-03,1.240513622760772705e-01,2.237778554751108928e-01
-1.139199882745742798e-01,-1.055169224739074707e+00,6.970213055610656738e-01,4.080526780495348504e-02
1.938570737838745117e-01,-6.675552129745483398e-01,5.203511714935302734e-01,7.645632775390415192e-02
3.804008364677429199e-01,5.472393035888671875e-01,-5.458641648292541504e-01,2.245163191497917543e-01
2.496194839477539062e-01,-3.612513542175292969e-01,4.489668458700180054e-02,8.110190810643043424e-02
2.931680381298065186e-01,-9.166352152824401855e-01,-4.478595852851867676e-01,9.901396867457840090e-02
-5.087481141090393066e-01,-4.886874854564666748e-01,5.422114729881286621e-01,6.801341791778407753e-02
-5.795933306217193604e-02,1.788867563009262085e-01,-1.011753082275390625e+00,1.039226877046562358e-01
-4.003811478614807129e-01,-7.788728177547454834e-02,1.325695067644119263e-01,1.849529833738241397e-02
-4.225654900074005127e-02,7.077054679393768311e-02,9.761355817317962646e-02,1.391385560459391102e-01
1.596867889165878296e-01,-7.107897996902465820e-01,6.254143714904785156e-01,4.019922045843993264e-02
-7.983852028846740723e-01,4.782349616289138794e-02,-8.956241421401500702e-03,1.855115488243372357e-01
-3.643720448017120361e-01,8.702101707458496094e-01,-7.002961039543151855e-01,1.032136567560069246e-01
-3.723253011703491211e-01,2.895384132862091064e-01,1.042684674263000488e+00,5.006151762448494968e-02
-7.856689095497131348e-01,3.463872075080871582e-01,2.957100570201873779e-01,1.817195622808552014e-01
1.756553947925567627e-01,1.476716756820678711e+00,5.996389389038085938e-01,1.711830886807504393e-01
2.152485847473144531e-01,-2.705471217632293701e-01,-3.588750660419464111e-01,7.094976907592119575e-02
