x,y,z,dist
-1.082319095730781555e-01,4.350515007972717285e-01,1.432765722274780273e-01,9.088172633746413598e-02
-9.501598030328750610e-02,3.938837647438049316e-01,4.379411041736602783e-01,1.145611449917725150e-01
1.878681331872940063e-01,-3.580309450626373291e-01,-6.546813994646072388e-02,6.095324997853555221e-02
2.172300070524215698e-01,-6.102092266082763672e-01,5.934620499610900879e-01,8.018183973136425169e-02
-3.721264600753784180e-01,-3.014647662639617920e-01,8.539923429489135742e-01,1.443552758602964781e-01
-3.566949963569641113e-01,2.670218944549560547e-01,1.203268207609653473e-02,6.452097147247816411e-02
-6.548922657966613770e-01,2.975459992885589600e-01,-2.759341597557067871e-01,4.470277349568949760e-02
2.970633804798126221e-01,-1.053770661354064941e+00,-6.352775692939758301e-01,1.822122582927985027e-02
-5.424350500106811523e-02,-4.657784700393676758e-01,6.698628664016723633e-01,3.623220917123810142e-02
1.935042291879653931e-01,-4.978806376457214355e-01,-2.530007809400558472e-02,5.154053080593109376e-02
4.401094019412994385e-01,-5.739599838852882385e-02,-1.650067567825317383e-01,5.087295112905616812e-02
1.903468519449234009e-01,-4.000780880451202393e-01,-2.389389276504516602e-01,7.196740794887353243e-02
5.140186548233032227e-01,1.027581214904785156e+00,1.011084794998168945e+00,2.127505292424802519e-01
4.109621942043304443e-01,-6.502209901809692383e-01,8.492223024368286133e-01,6.748556263586980020e-02
-2.317543327808380127e-01,3.138334155082702637e-01,1.043680191040039062e+00,1.589951757424622747e-01
7.385972738265991211e-01,6.130742430686950684e-01,-8.709003776311874390e-02,6.026618148484699095e-02
-8.771342784166336060e-02,-1.317522227764129639e-01,-7.025711983442306519e-02,9.358812195197621642e-02
-8.715800642967224121e-01,1.053781986236572266e+00,-6.009600758552551270e-01,8.041834345300767628e-02
-4.169766008853912354e-01,-4.724593758583068848e-01,-4.870485961437225342e-01,4.948236347839830851e-02
4.159316718578338623e-01,-1.336568236351013184e+00,-3.395964205265045166e-01,9.172123851913274728e-02
