x,y,z,dist
-3.472644090652465820e-01,-1.555354148149490356e-01,4.661336541175842285e-01,6.507146344590249154e-02
-3.461943566799163818e-02,7.470529675483703613e-01,-1.072195649147033691e+00,1.788866589920690836e-02
-9.613062441349029541e-02,-4.472199678421020508e-01,6.560721397399902344e-01,4.800193483223669927e-02
-4.749020040035247803e-01,1.141103744506835938e+00,-1.321333169937133789e+00,1.050687695733382859e-01
7.932788133621215820e-01,-1.055044651031494141e+00,-5.669356584548950195e-01,1.773426067145739693e-01
1.120809078216552734e+00,7.421282529830932617e-01,-2.573051452636718750e-01,1.072145598412246326e-01
2.892298400402069092e-01,-7.031074166297912598e-01,1.821620464324951172e-01,4.718689776890355736e-02
-9.864450991153717041e-02,7.787232398986816406e-01,-4.853039979934692383e-01,1.316910386985088166e-01
2.941217273473739624e-03,4.767694771289825439e-01,-5.808377265930175781e-01,2.787790504285159177e-01
-4.251605868339538574e-01,-2.566204965114593506e-02,7.563594728708267212e-02,2.604333897641126702e-02
-1.498843543231487274e-02,-5.681692063808441162e-02,5.053849220275878906e-01,5.917054964470669365e-02
-4.586404561996459961e-01,-2.276048362255096436e-01,-5.169800519943237305e-01,3.800438474103518677e-02
3.577027022838592529e-01,2.055900096893310547e-01,-7.605835199356079102e-01,5.734183957491163774e-02
5.650679022073745728e-02,-2.209398150444030762e-01,-1.917777955532073975e-01,8.543522910298863293e-02
4.040584862232208252e-01,-4.974202513694763184e-01,-5.901587009429931641e-01,4.127689745208777683e-02
-2.329245209693908691e-01,4.621150493621826172e-01,6.628077030181884766e-01,1.789924863159942925e-01
-1.965497583150863647e-01,-5.006963610649108887e-01,-4.843690097332000732e-01,4.413673551310523524e-02
-1.537382304668426514e-01,-1.199481487274169922e+00,6.964336633682250977e-01,7.181601133138085236e-02
3.717781305313110352e-01,6.969135403633117676e-01,7.912124395370483398e-01,5.705642294550518356e-02
-4.271539151668548584e-01,5.119144916534423828e-01,-5.901252031326293945e-01,1.298177156883939184e-02
2.856002748012542725e-01,-8.946574330329895020e-01,1.155882030725479126e-01,4.386262311991059176e-02
6.110366582870483398e-01,1.008069142699241638e-02,6.488292217254638672e-01,4.186369802443228039e-02
4.024600982666015625e-01,-6.685426831245422363e-02,-6.005835533142089844e-01,6.784364617959658117e-02
-5.320279598236083984e-01,6.232823133468627930e-01,-1.253792524337768555e+00,1.239891243151304140e-01
1.296222656965255737e-01,-1.592705845832824707e-01,5.470675602555274963e-02,4.364714181678738814e-02
6.750836372375488281e-01,-4.452855587005615234e-01,7.337015867233276367e-01,9.025971675017233076e-02
-1.291381418704986572e-01,9.536991119384765625e-01,-2.841002047061920166e-01,5.370099896429365166e-02
5.542607903480529785e-01,-1.668638944625854492e+00,-3.078703209757804871e-02,1.591239856524855056e-01
-3.319432735443115234e-01,-9.706001877784729004e-01,-3.474319875240325928e-01,4.773305687413643972e-02
1.819173991680145264e-01,-5.828385949134826660e-01,6.480805873870849609e-01,4.672310222961120058e-02
6.902441978454589844e-01,-5.863875150680541992e-01,2.393928617238998413e-01,2.507249692778897865e-01
5.455064773559570312e-01,-5.504330396652221680e-01,-2.763116061687469482e-01,3.199226704269609450e-02
-5.099764466285705566e-01,-3.686351776123046875e-01,7.297290563583374023e-01,3.302515350186756987e-02
-6.316741555929183960e-02,-9.740699827671051025e-02,-7.565119266510009766e-01,4.465737028431161076e-02
-3.764945268630981445e-01,3.312691450119018555e-01,6.779127120971679688e-01,7.492908338922997513e-02
-5.735404491424560547e-01,-3.400790095329284668e-01,-3.775879442691802979e-01,1.874457059809786497e-02
2.446205727756023407e-02,-1.007266521453857422e+00,-3.666677474975585938e-01,8.660330555151320164e-02
6.767191737890243530e-02,3.768180906772613525e-01,1.074759244918823242e+00,2.245715239094797089e-01
4.797687828540802002e-01,-1.749620199203491211e+00,-9.022852778434753418e-02,1.338154270860131001e-01
4.408378601074218750e-01,-1.106578588485717773e+00,-1.740082353353500366e-01,3.479173961755484962e-02
-2.242833673954010010e-01,7.032752037048339844e-02,1.877792328596115112e-01,5.745376325208384483e-02
-2.662636898458003998e-02,3.303401172161102295e-02,-9.127080440521240234e-01,5.625749691489528165e-02
-6.408564448356628418e-01,-1.095428764820098877e-01,8.021277189254760742e-01,5.390967130893057485e-02
4.297828078269958496e-01,-4.058551490306854248e-01,-3.825934231281280518e-01,6.464342022659851084e-02
-5.463796854019165039e-01,-3.658897280693054199e-01,1.808036565780639648e-01,8.837316910026943306e-02
1.126411914825439453e+00,4.694487154483795166e-01,-9.190990030765533447e-02,1.082659831425399899e-01
9.815816283226013184e-01,-9.372060298919677734e-01,1.499270834028720856e-02,8.296447757287440938e-02
2.546921074390411377e-01,-3.974280953407287598e-01,-3.329930603504180908e-01,8.487913288688722635e-02
-5.098124593496322632e-02,-2.841677069664001465e-01,-4.889419376850128174e-01,5.660614919423345021e-02
-6.770268678665161133e-01,3.644593358039855957e-01,-3.972522914409637451e-01,5.952547200975880082e-02
5.233197808265686035e-01,-1.226514577865600586e+00,-2.464286834001541138e-01,9.409193086885227209e-02
