x,y,z,dist
-2.743387222290039062e-01,8.687269091606140137e-01,3.672595024108886719e-01,8.939147811919978537e-02
-6.908081471920013428e-03,-1.141197919845581055e+00,-6.207605600357055664e-01,2.099441286783516880e-01
-2.767162024974822998e-01,1.094922795891761780e-01,3.760130405426025391e-01,1.304447213790110686e-02
-2.582444250583648682e-01,2.392229139804840088e-01,3.532093465328216553e-01,9.879185785574878809e-02
-3.782277107238769531e-01,5.295076370239257812e-01,7.204629778861999512e-01,6.102440768415476335e-02
-1.637285053730010986e-01,5.796219706535339355e-01,8.373034596443176270e-01,1.470819426669087993e-01
-4.029501080513000488e-01,3.734268993139266968e-02,-1.131030544638633728e-01,7.490980918148075485e-02
2.203696668148040771e-01,-1.926463246345520020e-01,2.172926068305969238e-01,4.349769486457296525e-02
-2.069744765758514404e-01,6.802727580070495605e-01,-1.208073720335960388e-01,5.726556222706764149e-02
-4.438473284244537354e-01,-2.972204983234405518e-01,8.849790319800376892e-03,2.937713996786414997e-02
8.113834857940673828e-01,-7.303290367126464844e-01,-2.504551112651824951e-01,8.201255952588998310e-02
-1.738759577274322510e-01,1.383475214242935181e-02,-9.050318598747253418e-01,8.820129573046261995e-02
1.312699168920516968e-02,-9.591946601867675781e-01,7.324814796447753906e-02,5.976166676932925109e-02
-2.273920625448226929e-01,-1.749031245708465576e-01,-6.552985310554504395e-01,1.001198769801568689e-01
-5.850829482078552246e-01,5.604406595230102539e-01,-2.816190719604492188e-01,3.280972323148105552e-02
-2.458384931087493896e-01,-2.678497433662414551e-01,-1.258810460567474365e-01,3.531519812364443400e-02
-7.829098701477050781e-01,5.205130577087402344e-01,-4.103568494319915771e-01,3.155214752352678703e-02
-5.545681118965148926e-01,7.139442563056945801e-01,1.559215784072875977e-01,1.353946389372176484e-01
2.248497903347015381e-01,-5.959437489509582520e-01,6.285921335220336914e-01,4.643370913317319132e-02
-5.626722574234008789e-01,6.996462345123291016e-01,7.522126287221908569e-02,7.144041723960109502e-02
-5.868294239044189453e-01,7.068752646446228027e-01,-7.295893430709838867e-01,4.913953285127358600e-02
6.794419288635253906e-01,1.357668340206146240e-01,7.282221913337707520e-01,6.733572564844088337e-02
-5.428518652915954590e-01,-4.533158540725708008e-01,1.903360933065414429e-01,8.213061713025661403e-02
2.500386238098144531e-01,-1.134538531303405762e+00,8.428541421890258789e-01,9.006675060062251104e-02
1.208734661340713501e-01,6.726109981536865234e-01,-8.447024226188659668e-01,1.075901313943525422e-01
-6.820225119590759277e-01,-4.183799326419830322e-01,-2.296137213706970215e-01,2.474416320721152529e-02
-2.806394696235656738e-01,-6.552245467901229858e-03,-8.210133314132690430e-01,6.727760463737934848e-02
5.281919240951538086e-01,1.502415537834167480e+00,7.725936770439147949e-01,8.263981163647818318e-02
8.024105429649353027e-01,2.525786459445953369e-01,-9.181264787912368774e-02,1.110610355199266736e-01
1.343803852796554565e-01,7.226372510194778442e-02,3.015302419662475586e-01,7.302026559011094708e-02
8.334410190582275391e-01,-2.559868991374969482e-01,1.063324570655822754e+00,3.397609195588887493e-02
-1.210975348949432373e-01,-8.191499710083007812e-01,7.353147268295288086e-01,2.660312133819324812e-02
8.162628412246704102e-01,-4.419712424278259277e-01,-4.598644077777862549e-01,5.476897300739026059e-02
-6.580955386161804199e-01,-4.254732131958007812e-01,-2.648653984069824219e-01,2.628369682598291276e-02
-1.653715968132019043e-01,-5.674254298210144043e-01,-2.642655670642852783e-01,3.898278181691008926e-02
8.331074714660644531e-01,-2.251335680484771729e-01,-8.169747889041900635e-04,2.387966044547287781e-01
1.048883318901062012e+00,-5.363976359367370605e-01,-2.503516152501106262e-03,5.486282240168504493e-02
-4.584240913391113281e-01,3.959185779094696045e-01,8.320523500442504883e-01,3.004219552061362930e-02
7.595705986022949219e-01,1.005265265703201294e-01,-2.314820885658264160e-01,4.851361593815801260e-02
8.446115255355834961e-02,-1.421895861625671387e+00,3.970236182212829590e-01,3.617829032478248052e-02
1.772155016660690308e-01,6.988495588302612305e-01,-1.873466372489929199e-01,5.100273583700526414e-02
-4.454795420169830322e-01,-4.399254024028778076e-01,2.951376736164093018e-01,2.621035593623316853e-02
-8.048604130744934082e-01,1.018260836601257324e+00,1.832076758146286011e-01,7.757937047962928934e-02
5.012412071228027344e-01,1.449192166328430176e+00,7.814780473709106445e-01,8.282011529558425122e-02
3.932768702507019043e-01,5.152887701988220215e-01,-3.909087181091308594e-01,2.172912572560602440e-01
2.998832166194915771e-01,-1.119337797164916992e+00,-7.944101095199584961e-01,4.715789998373903086e-02
-3.927222192287445068e-01,-5.855987071990966797e-01,-3.880811631679534912e-01,4.037017906345673895e-02
1.036980032920837402e+00,4.308024048805236816e-01,-1.669829338788986206e-01,4.157281782375690793e-02
