x,y,z,dist
7.569503784179687500e-02,-1.036412239074707031e+00,2.867552042007446289e-01,4.381010903643837995e-02
8.698278665542602539e-01,-8.829939365386962891e-02,6.003376841545104980e-01,2.014109145372311727e-01
3.311015293002128601e-02,-1.394528508186340332e+00,3.698762655258178711e-01,1.297080071981101534e-01
-7.597413063049316406e-01,-6.608977913856506348e-01,-5.356154590845108032e-02,1.007488611782986349e-01
6.750725507736206055e-01,-8.497456908226013184e-01,-1.639529168605804443e-01,7.216378329619074772e-02
-3.363648951053619385e-01,-8.928297162055969238e-01,2.044946551322937012e-01,3.652333793066730311e-02
3.423016369342803955e-01,3.983946144580841064e-02,4.310054481029510498e-01,1.346523071416111904e-02
5.322654545307159424e-02,-1.493817567825317383e+00,-1.049887686967849731e-01,1.175406435881947154e-01
-2.065599113702774048e-01,-1.095569491386413574e+00,-3.938972055912017822e-01,9.473322768976837061e-02
8.832381665706634521e-02,-3.994084894657135010e-01,3.595518767833709717e-01,1.336705973571583883e-01
-3.797331750392913818e-01,-6.426801681518554688e-01,-6.515413522720336914e-01,1.221405736791422308e-01
4.292673766613006592e-01,3.232489526271820068e-01,-6.157572865486145020e-01,6.507524601819587862e-02
-5.057614445686340332e-01,2.699457705020904541e-01,-1.268078088760375977e-01,5.876585297059503527e-02
3.831059858202934265e-02,7.083854675292968750e-01,5.168994665145874023e-01,4.030086086162831815e-02
-1.300354599952697754e-01,-3.931377530097961426e-01,9.560437202453613281e-01,2.415920909298744368e-01
7.373608946800231934e-01,-2.691189646720886230e-01,-5.162875056266784668e-01,2.948334781768662330e-02
4.311642944812774658e-01,-1.525720834732055664e+00,4.350633826106786728e-03,8.227334663531156445e-02
3.807819187641143799e-01,3.390676081180572510e-01,2.636838704347610474e-02,4.963762374445897241e-02
9.553138613700866699e-01,-9.322344064712524414e-01,-2.734130918979644775e-01,1.024583563068470204e-01
-1.271567344665527344e-01,6.524197757244110107e-02,-8.843333125114440918e-01,7.106786549225244110e-02
6.163754463195800781e-01,1.048845291137695312e+00,-8.208724856376647949e-02,6.785181001412023127e-02
2.271140217781066895e-01,-3.472612798213958740e-01,1.066251751035451889e-02,1.153183864828779409e-01
-6.226943731307983398e-01,-6.589177846908569336e-01,4.411674439907073975e-01,7.843599410154421248e-02
4.407029449939727783e-01,-1.647119522094726562e-01,-3.361773490905761719e-01,9.246669079865255103e-02
-2.806435525417327881e-01,3.200774192810058594e-01,5.824232101440429688e-01,1.083843344789266333e-01
-1.236631721258163452e-01,7.735874056816101074e-01,-1.013673305511474609e+00,5.133374483718927336e-03
5.336878299713134766e-01,1.262795776128768921e-01,-3.859543502330780029e-01,5.245925301219399317e-02
-5.113967657089233398e-01,-1.822590827941894531e-01,-5.752792358398437500e-01,2.533540132473116602e-02
