x,y,z,dist
-3.582746982574462891e-01,3.875483572483062744e-02,1.936700642108917236e-01,3.523008480022079419e-02
8.663088083267211914e-01,-3.451720774173736572e-01,-2.320710867643356323e-01,1.284256467411318270e-01
-5.869991183280944824e-01,-1.621830463409423828e-01,-3.585248291492462158e-01,9.152321366734784969e-02
9.506202340126037598e-01,4.003276824951171875e-01,-3.265549838542938232e-01,8.323068165371455551e-02
6.209780573844909668e-01,-3.900375962257385254e-01,-3.084494769573211670e-01,3.814934598764103957e-02
7.193858027458190918e-01,2.481342256069183350e-01,3.117387592792510986e-01,1.769266383277315613e-01
4.793588817119598389e-01,-7.615571618080139160e-01,2.557200491428375244e-01,1.156368321491438589e-01
7.139293104410171509e-02,6.702094078063964844e-01,-1.059896826744079590e+00,5.808941511515250400e-02
-1.399689316749572754e-01,3.752508163452148438e-01,-5.653767287731170654e-02,4.770002144866220678e-02
4.824216663837432861e-01,5.141239166259765625e-01,-1.191515177488327026e-01,2.976123041205767233e-02
1.080006241798400879e+00,1.055615067481994629e+00,5.865765362977981567e-02,1.729495779628794916e-01
1.646525561809539795e-01,6.853613853454589844e-01,-6.796330809593200684e-01,1.972121876110930205e-01
-2.372759878635406494e-01,1.640346348285675049e-01,-9.258879423141479492e-01,7.395389673387176011e-02
4.992078989744186401e-02,6.437868475914001465e-01,-7.604189515113830566e-01,2.072355908499341204e-01
1.050084158778190613e-01,-8.671458810567855835e-02,3.788873851299285889e-01,5.074131036179749255e-02
8.352522850036621094e-01,-1.505885481834411621e+00,-3.418973982334136963e-01,7.077910930626722663e-02
3.341882824897766113e-01,4.460272192955017090e-01,-8.250706791877746582e-01,4.764160263745864654e-02
-4.745229482650756836e-01,8.791993260383605957e-01,6.098359227180480957e-01,4.692399220427907053e-02
-1.771150827407836914e-01,-2.619780004024505615e-01,8.487783670425415039e-01,2.428692146512722583e-01
-3.832884728908538818e-01,3.745162189006805420e-01,7.690165042877197266e-01,1.195736639751911468e-01
-1.485993266105651855e-01,1.031980991363525391e+00,-7.784000635147094727e-01,4.821462062270137627e-02
4.103867709636688232e-02,6.231940388679504395e-01,-4.853146523237228394e-02,4.316543431059093050e-02
2.298725545406341553e-01,-3.063556849956512451e-01,8.404082655906677246e-01,2.305655708173376950e-01
9.635756611824035645e-01,-6.152626127004623413e-02,4.108541831374168396e-02,1.913968175397147420e-01
1.460882723331451416e-01,-2.703265249729156494e-01,-3.226722180843353271e-01,7.772017534367792191e-02
-1.629064679145812988e-01,1.525170207023620605e-01,1.982675045728683472e-01,1.260742226505585754e-02
-2.758311033248901367e-01,9.238935112953186035e-01,5.059735774993896484e-01,7.092862254490367446e-02
1.090180873870849609e-02,-5.894243717193603516e-01,-7.227409482002258301e-01,2.543062432999926292e-02
-2.532776892185211182e-01,2.577151656150817871e-01,4.075352251529693604e-01,1.659625098916593100e-01
-6.886373162269592285e-01,7.448284029960632324e-01,1.803881376981735229e-01,6.933711670334709309e-02
-2.954943776130676270e-01,9.912148118019104004e-02,7.705770432949066162e-02,5.677208360015589123e-02
-4.304671883583068848e-01,1.078855916857719421e-01,-5.992040634155273438e-01,1.188147217976822240e-01
-3.625290691852569580e-01,-3.975812345743179321e-03,-1.728638261556625366e-01,5.983733833161655052e-02
7.916658520698547363e-01,-7.061334848403930664e-01,-9.887973219156265259e-02,1.272195428791638716e-01
-4.050246775150299072e-01,-2.841670513153076172e-01,-3.946262896060943604e-01,2.338167851551436333e-02
-3.377528190612792969e-01,3.294520080089569092e-01,-4.519214928150177002e-01,8.915299975335923277e-02
-2.775327265262603760e-01,2.689094841480255127e-01,4.494654238224029541e-01,1.699758169595945445e-01
-4.187678098678588867e-01,6.173434108495712280e-02,9.598222970962524414e-01,8.775685739883185010e-02
-4.912606775760650635e-01,-1.666286289691925049e-01,4.107206165790557861e-01,7.563183493857528195e-02
1.813257336616516113e-01,-2.308735847473144531e-01,4.850985109806060791e-01,2.953322273635025988e-02
8.991560339927673340e-01,-1.072182729840278625e-01,9.524920582771301270e-01,2.264754745937353278e-02
-6.170238852500915527e-01,-4.411877691745758057e-01,3.908709585666656494e-01,5.712695987696034955e-02
-2.713191509246826172e-01,1.303973197937011719e-01,9.249439090490341187e-02,3.378581824686651552e-02
-6.729481816291809082e-01,8.001648783683776855e-01,-5.095167756080627441e-01,5.500044456061092130e-02
-6.763962507247924805e-01,8.386526107788085938e-01,4.150379821658134460e-02,2.811338912191304815e-02
-5.751157402992248535e-01,1.126979708671569824e+00,5.057043209671974182e-02,7.352020210229373576e-02
-3.069199025630950928e-01,9.949226975440979004e-01,1.982246786355972290e-01,1.015061855866984664e-02
-5.616815686225891113e-01,5.284205079078674316e-01,-2.799548804759979248e-01,5.112192334011004397e-02
-5.222733020782470703e-01,-1.456367850303649902e+00,4.312244355678558350e-01,3.485594111536319262e-02
-6.384108662605285645e-01,-1.798335313796997070e-01,-2.677800357341766357e-01,2.676442337285235215e-02
7.828019261360168457e-01,-4.272455275058746338e-01,-5.571907162666320801e-01,1.150070120503532828e-01
-5.541133880615234375e-01,6.219413876533508301e-01,6.502767205238342285e-01,6.193718032243812621e-02
2.551619708538055420e-02,-3.237015008926391602e-01,7.795197367668151855e-01,1.853006069071882755e-01
2.036617696285247803e-01,-1.213741302490234375e-02,4.236190617084503174e-01,7.764592801478622901e-03
6.143193840980529785e-01,-1.387006998062133789e+00,-4.496086537837982178e-01,2.443242263657674218e-01
9.499385207891464233e-02,7.010235786437988281e-01,-1.149887442588806152e+00,4.247498615621173729e-02
4.116301238536834717e-02,-1.419777154922485352e+00,4.993059337139129639e-01,3.555896558106894784e-02
2.625386416912078857e-02,1.477225124835968018e-01,2.844965755939483643e-01,9.035073831882046991e-03
3.894097208976745605e-01,8.006358742713928223e-01,-5.029592514038085938e-01,1.052694756529114622e-01
-5.176591277122497559e-01,1.004936218261718750e+00,-4.891203343868255615e-01,1.114967640763285250e-01
4.539440572261810303e-01,-9.469112157821655273e-01,5.356088280677795410e-01,3.994975172725295787e-02
4.427634179592132568e-02,7.936148643493652344e-01,9.307103604078292847e-02,9.089924963114798251e-02
6.844716519117355347e-02,1.060452386736869812e-01,-9.344953298568725586e-01,4.303903167294360899e-02
2.588478922843933105e-01,-7.934525012969970703e-01,-1.313691437244415283e-01,4.260213986133808833e-02
-4.659409075975418091e-02,6.306700110435485840e-01,6.611403077840805054e-03,6.707495469490118434e-02
2.704512476921081543e-01,-1.637128829956054688e+00,-4.150477945804595947e-01,2.785636251012267306e-01
8.919106721878051758e-01,-1.625220477581024170e-01,9.038997888565063477e-01,1.556387021438345071e-02
1.243044734001159668e+00,1.322752594947814941e+00,-1.454563587903976440e-01,1.010638277112195504e-01
5.730521678924560547e-01,9.132229089736938477e-01,9.479447603225708008e-01,1.055314789864306158e-01
-4.911595880985260010e-01,-2.037536501884460449e-01,-2.644825875759124756e-01,7.112002582329003675e-02
-7.551608085632324219e-01,1.450770735740661621e+00,-1.100432157516479492e+00,1.500049099072146563e-01
3.868776559829711914e-02,-2.048290967941284180e-01,-1.525665968656539917e-01,9.325600448687879074e-02
