x,y,z,dist
-4.702057540416717529e-01,4.801619052886962891e-01,-6.167696714401245117e-01,4.354439251333283578e-02
-6.821268200874328613e-01,-3.973464369773864746e-01,2.970938086509704590e-01,3.182661511594003789e-02
4.161442816257476807e-01,1.296420693397521973e-01,4.103149175643920898e-01,5.729145899306938017e-02
-8.152914047241210938e-01,-5.192027091979980469e-01,8.084762096405029297e-02,4.004472827069786856e-02
-3.922926783561706543e-01,-8.353553712368011475e-02,-1.833611577749252319e-01,5.060279261926572958e-02
-2.857886552810668945e-01,7.659942507743835449e-01,-5.710382461547851562e-01,5.007779330114284222e-02
-6.221296787261962891e-01,1.917543709278106689e-01,1.156830191612243652e+00,9.354770334275289145e-02
-1.866797804832458496e-01,-3.403768539428710938e-01,7.351163029670715332e-01,1.365778027111318182e-01
2.652300298213958740e-01,-8.118124604225158691e-01,-8.120606094598770142e-02,1.273042472083541800e-02
-1.683192849159240723e-01,-6.613152623176574707e-01,9.553792476654052734e-01,1.363542061371103287e-01
-6.032924056053161621e-01,1.537117958068847656e-01,-3.463027775287628174e-01,5.118276890459845518e-02
-7.816272974014282227e-02,-4.208626747131347656e-01,5.863586664199829102e-01,3.450379744957718375e-02
-2.670267224311828613e-01,8.500378727912902832e-01,-6.306496262550354004e-01,1.005766009277479223e-01
3.815688490867614746e-01,8.322297930717468262e-01,6.629414558410644531e-01,2.541210261887284771e-02
-6.168923974037170410e-01,9.314020872116088867e-01,-4.879612624645233154e-01,2.985748044986743371e-02
-7.639431953430175781e-01,-3.410524129867553711e-01,7.242043316364288330e-02,5.188004146702339392e-02
1.064773678779602051e+00,7.662342786788940430e-01,-9.310079365968704224e-02,1.189656076994408535e-01
7.368851304054260254e-01,1.443034410476684570e-01,-1.791741326451301575e-02,2.547878037652017702e-01
3.863588273525238037e-01,-1.702533006668090820e+00,-1.341277360916137695e-01,7.061010680452833865e-02
6.028233096003532410e-02,1.724131032824516296e-02,9.571022540330886841e-02,1.171348986224611671e-01
3.285862505435943604e-01,8.356881141662597656e-01,3.397588431835174561e-01,5.409435245243664897e-02
-2.760900557041168213e-01,4.770940542221069336e-02,2.926191687583923340e-01,6.061003358515107409e-02
3.210909962654113770e-01,-7.340209484100341797e-01,4.440484642982482910e-01,5.222585457823802901e-02
-4.226783514022827148e-01,5.788526535034179688e-01,-1.242686361074447632e-01,2.106795133373494389e-02
-3.894908726215362549e-01,-1.073332309722900391e+00,-2.759449481964111328e-01,2.259411679506991011e-02
-8.177968859672546387e-01,3.369407057762145996e-01,2.096433639526367188e-01,1.518795921788093639e-01
-2.061180919408798218e-01,4.969084858894348145e-01,7.989980578422546387e-01,1.420821926473101737e-01
-6.084822416305541992e-01,2.688729166984558105e-01,-1.010812640190124512e+00,3.314958086885758798e-02
-6.353337764739990234e-01,1.412210702896118164e+00,-1.298173546791076660e+00,1.926351966237465629e-01
4.149750769138336182e-01,-7.142371535301208496e-01,-1.084474027156829834e-01,9.182181817277558500e-02
4.354316592216491699e-01,-7.399888634681701660e-01,2.547081708908081055e-01,4.205603934063749383e-02
5.053582191467285156e-01,4.518146514892578125e-01,4.842512011528015137e-01,1.289875921870499605e-02
4.939196705818176270e-01,-1.420588642358779907e-01,-3.284068703651428223e-01,5.778231156127665996e-02
4.185919165611267090e-01,3.933662772178649902e-01,5.992026925086975098e-01,8.404458664173190818e-02
-3.830349743366241455e-01,8.462038040161132812e-01,-3.582877516746520996e-01,7.045858761744933085e-02
-8.520428538322448730e-01,3.521016240119934082e-01,9.534634649753570557e-02,8.678352083920197468e-02
-5.771928429603576660e-01,1.741425246000289917e-01,-8.312178254127502441e-01,1.084020845133387839e-01
1.754465699195861816e-01,7.730460762977600098e-01,1.775459796190261841e-01,5.095051778942581711e-02
-5.494130253791809082e-01,-7.842838764190673828e-01,5.782785415649414062e-01,1.304705814027013744e-01
-1.916233450174331665e-01,6.773192882537841797e-01,-1.057343557476997375e-01,6.717723833442497405e-02
-3.816499412059783936e-01,-3.386827111244201660e-01,6.802423596382141113e-01,4.532838025370119345e-02
-5.073288679122924805e-01,-3.976448178291320801e-01,5.843213200569152832e-01,2.133961624796022749e-02
4.200308918952941895e-01,-1.065239429473876953e+00,4.846230447292327881e-01,1.097638984017706570e-01
1.534872651100158691e-01,8.463894128799438477e-01,-4.915511608123779297e-01,1.049799673794473837e-01
9.883062243461608887e-01,-5.069363713264465332e-01,6.701590027660131454e-03,1.428077295079760167e-01
9.052628874778747559e-01,-9.776597619056701660e-01,7.073024753481149673e-03,8.080257055278604328e-02
5.539345145225524902e-01,7.182649523019790649e-02,5.847927331924438477e-01,8.284771554693963480e-02
1.659260541200637817e-01,-1.302805662155151367e+00,-1.890616267919540405e-01,1.629889517088581666e-02
-1.695432066917419434e-01,-9.797304272651672363e-01,7.412387728691101074e-01,3.322790504467495326e-02
-7.437710165977478027e-01,7.099846005439758301e-01,-7.774133086204528809e-01,5.163479608916011349e-02
3.308596611022949219e-01,1.904767304658889771e-01,-8.235912322998046875e-01,2.080470856368878130e-02
5.069108605384826660e-01,-6.194169521331787109e-01,7.510879635810852051e-01,5.985473590592697846e-02
-6.780349612236022949e-01,1.302727460861206055e+00,-8.104774951934814453e-01,4.549238916681094119e-02
-7.481511235237121582e-01,8.114426136016845703e-01,-8.220239281654357910e-01,5.626824109906417709e-02
-7.154895067214965820e-01,7.398217320442199707e-01,-1.238005876541137695e+00,8.552634982029441724e-02
-7.569798827171325684e-01,-1.816823035478591919e-01,8.128284215927124023e-01,5.242335882091610222e-02
9.782989621162414551e-01,5.809643268585205078e-01,-3.344416916370391846e-01,3.564164345585895538e-02
2.440759539604187012e-01,4.506069421768188477e-01,-7.138043642044067383e-01,1.087391525573164486e-01
5.590945482254028320e-01,5.504368990659713745e-02,6.054953336715698242e-01,7.261711418437173660e-02
-2.989606857299804688e-01,1.057013154029846191e+00,-8.867500424385070801e-01,7.693896264017682785e-02
2.356655895709991455e-01,-9.217305183410644531e-01,-3.672206103801727295e-01,3.899197518831719333e-02
-4.304539039731025696e-02,-2.963010668754577637e-01,-4.853165149688720703e-01,4.066689404991494228e-02
-7.764761894941329956e-02,5.521830320358276367e-01,5.767680406570434570e-01,1.745713234075423614e-01
3.406507670879364014e-01,-1.506509035825729370e-01,8.090750575065612793e-01,2.234269393117425950e-01
1.015994668006896973e+00,-3.365785479545593262e-01,-3.215506076812744141e-01,5.075723484912586514e-02
4.772151112556457520e-01,5.027853250503540039e-01,4.293054342269897461e-01,5.909103383078629507e-02
-8.266701549291610718e-02,6.073883771896362305e-01,8.141518831253051758e-01,1.498468097161698154e-01
1.639046519994735718e-01,7.384753227233886719e-01,1.117030233144760132e-01,1.052841937313580833e-01
-1.569346487522125244e-01,-1.602113395929336548e-01,-7.590981721878051758e-01,8.574655777207350338e-02
-2.363351583480834961e-01,8.437864184379577637e-01,-2.688304483890533447e-01,8.498500628437294369e-02
-1.479353569447994232e-02,1.331912577152252197e-01,-8.397145867347717285e-01,7.257639754576451774e-02
-3.784884810447692871e-01,1.116263389587402344e+00,2.118545770645141602e-01,6.230808149360994586e-02
8.922756910324096680e-01,-1.321389436721801758e+00,-1.227938756346702576e-01,4.947236871284556997e-02
-1.167123690247535706e-01,2.928702831268310547e-01,3.121370971202850342e-01,6.767992382070246726e-02
7.618975043296813965e-01,1.373861551284790039e+00,-1.825439631938934326e-01,3.267082424969519061e-01
-2.243771776556968689e-02,-9.994233250617980957e-01,-3.892817497253417969e-01,8.387255496563592039e-02
-5.246057510375976562e-01,-1.067124366760253906e+00,5.239639282226562500e-01,1.412524924523558545e-01
7.414433360099792480e-02,-7.798745632171630859e-01,-5.760370492935180664e-01,7.313270297145975374e-02
-8.031323552131652832e-01,1.360555291175842285e-01,1.992997676134109497e-01,1.277353333781961475e-01
8.780733495950698853e-02,-2.039566487073898315e-01,5.080286860466003418e-01,1.169390110861251268e-02
-6.088188886642456055e-01,5.788776874542236328e-01,-3.227303922176361084e-01,1.816590078138098294e-02
-2.458348721265792847e-01,7.907467484474182129e-01,-1.251666307449340820e+00,7.251167004593302157e-02
7.001433521509170532e-02,6.256231665611267090e-01,1.016969084739685059e-01,5.817292779340575010e-02
-7.509040832519531250e-01,1.040598154067993164e+00,-1.296252369880676270e+00,1.612481777953984619e-01
5.399037003517150879e-01,-1.538000583648681641e+00,-3.659702837467193604e-01,1.951846392224416415e-01
-6.991927027702331543e-01,3.817475959658622742e-02,-5.805765986442565918e-01,3.381512415822692831e-03
-1.869201064109802246e-01,4.394821524620056152e-01,-2.643278837203979492e-01,1.491294162992696896e-02
5.346639752388000488e-01,-1.370327234268188477e+00,-4.096796214580535889e-01,1.546846350097142719e-01
1.694051027297973633e-01,1.582386940717697144e-01,8.322863280773162842e-02,1.532036691958732488e-01
5.599603056907653809e-01,2.773678302764892578e-01,-7.163869589567184448e-02,1.817686405498992741e-01
6.654487550258636475e-02,6.219937801361083984e-01,5.618595480918884277e-01,8.813475017648547682e-02
5.652393698692321777e-01,-1.180410623550415039e+00,-6.777632236480712891e-01,5.975181123047068610e-02
-3.737605735659599304e-02,-1.163665950298309326e-02,4.693622887134552002e-01,1.986627844809620361e-02
-1.143758967518806458e-01,-3.942415118217468262e-01,6.006956696510314941e-01,3.248596071059721424e-02
7.813081741333007812e-01,-5.121898055076599121e-01,-1.805925518274307251e-01,1.815478257628777847e-01
3.573337793350219727e-01,7.455812096595764160e-01,6.862565279006958008e-01,3.778932800757023314e-02
-3.375942409038543701e-01,-6.600677967071533203e-01,-3.876417279243469238e-01,5.228163515967083896e-02
9.235555529594421387e-01,-9.204273819923400879e-01,2.398231532424688339e-03,2.607461486508859394e-02
-1.428527086973190308e-01,-3.787297606468200684e-01,-8.190413713455200195e-01,3.454819459119887193e-02
1.256073415279388428e-01,-3.100003600120544434e-01,-6.640138030052185059e-01,1.126495996526981763e-01
-1.883640885353088379e-01,-7.976643443107604980e-01,7.797622084617614746e-01,2.751511898136809950e-02
1.732461154460906982e-01,-1.026960015296936035e-01,-1.199848353862762451e-01,1.667400296902129542e-01
-3.488473594188690186e-01,5.127544403076171875e-01,-5.272748470306396484e-01,2.696842016601939604e-02
-6.542012840509414673e-02,1.590564548969268799e-01,-7.257663607597351074e-01,1.688403512893039415e-01
2.497383803129196167e-01,-3.195366859436035156e-01,-3.589002490043640137e-01,8.395025159177706142e-02
-5.064198002219200134e-02,5.639365315437316895e-01,1.214646697044372559e+00,2.099532395674503713e-02
6.608277559280395508e-02,-1.666507005691528320e+00,1.115913242101669312e-01,8.043822767525996009e-02
5.265127420425415039e-01,-7.884730696678161621e-01,6.376106739044189453e-01,3.783355300437550583e-02
3.862123191356658936e-01,5.161656141281127930e-01,-7.391238212585449219e-01,1.424368620331058488e-01
-4.847707748413085938e-01,8.731399178504943848e-01,3.725804761052131653e-02,8.215196502317884120e-02
5.601336956024169922e-01,3.826795816421508789e-01,-4.504256546497344971e-01,1.531698815055847485e-01
-7.186377644538879395e-01,-5.204789638519287109e-01,4.476912319660186768e-01,3.405942448168130382e-02
4.200282394886016846e-01,4.362541437149047852e-02,-6.802337169647216797e-01,5.437662965168926082e-02
2.096553146839141846e-01,-9.372289180755615234e-01,-1.915187537670135498e-01,2.709540091299492137e-02
-5.573878288269042969e-01,-9.816575646400451660e-01,2.985787950456142426e-02,6.173475320781274256e-02
-5.515191555023193359e-01,6.241363286972045898e-01,-2.338234335184097290e-01,2.583739188636595061e-02
-6.822862029075622559e-01,4.855581000447273254e-02,6.448797583580017090e-01,2.224054997424739291e-02
8.435809612274169922e-02,7.452998161315917969e-01,5.356635451316833496e-01,3.839987138405994566e-02
2.140164673328399658e-01,5.454975366592407227e-01,2.618004940450191498e-02,6.341382894857919283e-02
-3.420750796794891357e-01,1.224525794386863708e-01,-9.485128521919250488e-01,1.097807745726875478e-01
-3.282557427883148193e-01,3.594872951507568359e-01,-1.064157128334045410e+00,1.138455349483198653e-01
-1.129086613655090332e-01,6.886402964591979980e-01,-1.012838482856750488e+00,5.659398486093479563e-02
6.979852914810180664e-01,-4.608111977577209473e-01,7.371759414672851562e-01,9.493107171741475836e-02
-8.496674895286560059e-01,5.476716160774230957e-01,-2.410347461700439453e-01,3.046842210271204915e-02
-3.058190643787384033e-01,2.863317728042602539e-02,4.207673370838165283e-01,5.203847716407825064e-02
1.439188867807388306e-01,-9.079087972640991211e-01,4.716091156005859375e-01,4.148354675594066038e-02
3.371888995170593262e-01,4.924186468124389648e-01,-8.523938059806823730e-01,8.980528143302157762e-02
-5.823113322257995605e-01,1.893415600061416626e-01,-7.674586176872253418e-01,1.279507689973731210e-01
-7.849128842353820801e-01,1.802105456590652466e-03,7.465163469314575195e-01,7.782814675624216694e-02
-4.159055948257446289e-01,1.128735065460205078e+00,-9.499421715736389160e-01,1.022007925749798818e-01
9.506095051765441895e-01,-5.159595608711242676e-01,-5.601649880409240723e-01,1.355450344804862706e-01
2.815051376819610596e-01,8.811801075935363770e-01,9.322553128004074097e-02,1.122494009945075449e-01
-7.665299773216247559e-01,-1.522320955991744995e-01,6.309385299682617188e-01,9.639259908583197589e-02
4.923661649227142334e-01,-5.511986613273620605e-01,-1.815738081932067871e-01,2.015960870135309266e-02
-1.362797021865844727e-01,-9.844077229499816895e-01,2.154221683740615845e-01,4.690443932967436336e-02
5.124817490577697754e-01,-1.185789585113525391e+00,-2.730993330478668213e-01,6.970116250877150810e-02
-8.211095333099365234e-01,7.514898180961608887e-01,-2.552905976772308350e-01,4.869726610247658571e-02
-5.131753683090209961e-01,1.536056101322174072e-01,8.632324337959289551e-01,3.056830717384873691e-02
4.372135400772094727e-01,1.471147537231445312e-01,4.081223011016845703e-01,6.272861743331450968e-02
1.161155663430690765e-02,8.311381936073303223e-01,-9.868113994598388672e-01,8.384232956416851068e-02
-7.819349765777587891e-01,-1.674845069646835327e-02,-3.857890963554382324e-01,1.074647786702786489e-01
8.063885569572448730e-01,-1.076753139495849609e+00,-3.696809709072113037e-01,1.890933759795939972e-01
1.047509461641311646e-01,7.312977313995361328e-01,5.500662326812744141e-01,2.556577233778406857e-02
-2.291707992553710938e-01,-8.265608549118041992e-02,-3.774764835834503174e-01,2.940351900791608047e-02
-1.024301797151565552e-01,8.696570396423339844e-01,6.381180882453918457e-01,6.843052584682153550e-02
-3.197640478610992432e-01,6.236723065376281738e-01,9.098310470581054688e-01,3.790419889894444672e-02
-1.446918547153472900e-01,-6.895818114280700684e-01,-2.277493625879287720e-01,4.713731846102964945e-02
3.343715071678161621e-01,-2.251196354627609253e-01,-5.818519592285156250e-01,2.104647631019142262e-02
5.153427124023437500e-01,3.413708806037902832e-01,6.231473684310913086e-01,9.081144863238105325e-02
-5.246240496635437012e-01,-1.030010938644409180e+00,5.654156804084777832e-01,1.340740263192685133e-01
-3.064666390419006348e-01,1.053786158561706543e+00,2.198209166526794434e-01,2.764136483834919375e-02
