x,y,z,dist
2.551707029342651367e-01,-7.562183737754821777e-01,-1.160177290439605713e-01,7.935134687828193645e-02
-6.840828657150268555e-01,4.224735200405120850e-01,-7.845194339752197266e-01,3.498968537576763183e-02
8.081789314746856689e-02,5.684444904327392578e-01,5.789197087287902832e-01,8.387539383792512460e-02
2.893505096435546875e-01,-6.522521376609802246e-01,1.314521074295043945e+00,5.835132168646572914e-02
-2.917616963386535645e-01,-1.008406758308410645e+00,1.791421920061111450e-01,5.747311232940608555e-02
-1.470394134521484375e-01,-1.099938631057739258e+00,9.081055521965026855e-01,1.444694622374586013e-01
-7.018309086561203003e-02,-7.277892827987670898e-01,2.440643310546875000e-01,6.356150919328194815e-02
-4.983918070793151855e-01,7.194252610206604004e-01,4.001461267471313477e-01,6.813656337381447659e-02
9.430183768272399902e-01,-1.248635768890380859e+00,-1.395658999681472778e-01,9.597401818598938483e-02
-5.367740243673324585e-02,5.804371237754821777e-01,7.255271077156066895e-01,1.297574456018006916e-01
-1.952903568744659424e-01,-1.050869822502136230e+00,1.990960091352462769e-01,4.360356791638241025e-02
7.549541592597961426e-01,-6.792826056480407715e-01,-1.770395487546920776e-01,1.358962052704631163e-01
-5.553389191627502441e-01,-8.563780784606933594e-01,2.931003570556640625e-01,7.977944005844456177e-02
-1.455527544021606445e-01,7.220084667205810547e-01,5.432321429252624512e-01,4.089171459659048796e-02
2.570941448211669922e-01,4.970011413097381592e-01,2.670333720743656158e-02,4.057801722528180111e-02
-5.479979515075683594e-01,-7.704457640647888184e-01,-7.255513668060302734e-01,2.060515325012804155e-01
-8.722661435604095459e-02,3.202413618564605713e-01,1.903885751962661743e-01,4.474502784705543246e-02
-1.890210360288619995e-01,9.174015522003173828e-01,-1.205028295516967773e+00,6.163699272922795735e-02
-2.916072010993957520e-01,1.662217378616333008e-01,3.891846239566802979e-01,1.157826993669442278e-01
3.069775700569152832e-01,-1.892490863800048828e+00,9.146638512611389160e-01,3.153906749365230633e-01
9.247769713401794434e-01,-1.258698701858520508e+00,-7.536780834197998047e-02,8.801014500243858896e-02
6.011074185371398926e-01,-1.575898408889770508e+00,-2.715091034770011902e-02,1.652701115547856592e-01
1.429312676191329956e-01,-2.993174791336059570e-01,-6.703058481216430664e-01,6.078013294552005175e-02
5.708467364311218262e-01,4.712990522384643555e-01,-2.841134071350097656e-01,1.375116876429297308e-01
7.151744365692138672e-01,-6.952229738235473633e-01,-3.999137282371520996e-01,3.809728004827760833e-02
-6.245126724243164062e-01,9.962271451950073242e-01,-8.172870874404907227e-01,3.411100175985302269e-02
8.890882134437561035e-03,-5.525410175323486328e-01,1.689113378524780273e-01,9.845588880497348205e-02
1.213297098875045776e-01,-1.704572916030883789e+00,7.008129358291625977e-01,1.185275804281114564e-01
2.950342297554016113e-01,-1.204239368438720703e+00,-5.118817090988159180e-01,1.081425573146843344e-01
-5.770108699798583984e-01,9.808531999588012695e-01,2.901543378829956055e-01,2.753483531545850363e-02
3.411113619804382324e-01,7.265284657478332520e-01,9.432530999183654785e-01,2.081268860137667209e-01
-5.380445122718811035e-01,1.152808427810668945e+00,-6.138326525688171387e-01,7.841337480380060343e-02
9.169585108757019043e-01,-1.263643503189086914e+00,-6.221599131822586060e-02,9.186438171455746371e-02
-2.449067980051040649e-01,-2.986696660518646240e-01,-1.488244831562042236e-01,2.071363820978338113e-02
-2.750247716903686523e-01,2.532136067748069763e-02,8.322913646697998047e-01,2.247013467413227217e-01
-2.070854902267456055e-01,-3.115219473838806152e-01,5.361355543136596680e-01,1.799660673789343912e-02
2.996577620506286621e-01,9.441576600074768066e-01,4.548406004905700684e-01,1.218724791680717151e-01
-2.394218146800994873e-01,6.801075339317321777e-01,-8.813411928713321686e-03,8.686306888333775178e-02
-1.445555239915847778e-01,-1.382818937301635742e+00,-1.375534832477569580e-01,4.755726879101986743e-02
6.241613626480102539e-01,3.917217850685119629e-01,5.914009213447570801e-01,2.238620553423604706e-02
1.628895252943038940e-01,-5.844236612319946289e-01,1.218159914016723633e+00,1.198595888732530146e-01
2.790269255638122559e-01,-5.139620304107666016e-01,9.927113652229309082e-01,1.844576347422006712e-01
-3.794019818305969238e-01,4.982828795909881592e-01,-9.819764643907546997e-02,6.798194834606388626e-02
-1.590787619352340698e-01,-8.388818800449371338e-02,-8.484690785408020020e-01,3.287991105818411502e-02
3.394748568534851074e-01,4.613447487354278564e-01,6.201460212469100952e-02,1.288946927918893995e-02
-6.394292116165161133e-01,7.360103726387023926e-01,-5.033475756645202637e-01,9.417348113427262413e-02
1.026092648506164551e+00,5.847397819161415100e-02,-2.931021153926849365e-01,3.017718743308918025e-02
-4.157524108886718750e-01,-2.387493699789047241e-01,-4.046893417835235596e-01,3.416832223149108422e-02
2.394058853387832642e-01,-7.178100347518920898e-01,6.678203344345092773e-01,1.746458558165979447e-02
-6.120379567146301270e-01,7.764592170715332031e-01,-3.933130502700805664e-01,4.757494555850647761e-02
-1.951379030942916870e-01,3.143842816352844238e-01,-8.558968901634216309e-01,1.380855676268455123e-01
3.578333556652069092e-02,1.997894980013370514e-02,3.636820912361145020e-01,1.441618222442741896e-02
-2.587814927101135254e-01,-4.259654581546783447e-01,6.306032836437225342e-02,2.772095568928687956e-02
-4.522598981857299805e-01,-5.226519703865051270e-01,-3.456666171550750732e-01,2.536330933145899622e-02
-5.884847044944763184e-01,-7.310521006584167480e-01,-7.382675409317016602e-01,2.022504069968760476e-01
7.643923759460449219e-01,1.087754726409912109e+00,1.047219395637512207e+00,1.096836261854642336e-01
-2.304726839065551758e-01,8.538619875907897949e-01,9.857336431741714478e-02,1.668146337210172497e-02
-6.534167528152465820e-01,5.773579478263854980e-01,1.553651690483093262e-01,1.465581619985799333e-01
5.338848233222961426e-01,-1.787435859441757202e-01,-3.682969808578491211e-01,5.414057316334207337e-02
-8.439280092716217041e-02,7.839978337287902832e-01,-8.044767379760742188e-01,1.451017809510951884e-01
-7.768330574035644531e-01,4.795254170894622803e-01,-9.512221813201904297e-01,1.132940870424705843e-01
9.667599797248840332e-01,-1.199329137802124023e+00,-1.304213851690292358e-01,5.097734347973006258e-02
1.141536712646484375e+00,-5.703758001327514648e-01,-5.309510827064514160e-01,2.000836244772475347e-01
-5.163441896438598633e-01,-3.262301385402679443e-01,2.095139771699905396e-01,2.283987403495859811e-02
-5.403611063957214355e-01,1.481273293495178223e+00,-1.119646787643432617e+00,1.524695288558717832e-01
1.906784325838088989e-01,-7.003155350685119629e-01,1.102209210395812988e+00,1.847129410228777746e-01
-2.893531322479248047e-01,-4.179364740848541260e-01,-2.935571372509002686e-01,2.549808053197087556e-03
-5.352516770362854004e-01,1.100098490715026855e+00,-1.582962125539779663e-01,3.740730856440120655e-02
-6.482198238372802734e-01,1.386518359184265137e+00,-1.010637879371643066e+00,4.175394738597650035e-02
8.835869431495666504e-01,-3.721956312656402588e-01,-4.864576458930969238e-02,1.911888676569377943e-01
-6.771655082702636719e-01,7.746171355247497559e-01,-1.279780149459838867e+00,6.324826535086816581e-02
-3.940503001213073730e-01,-2.752374708652496338e-01,-4.125186800956726074e-01,5.925989085261264624e-03
