x,y,z,dist
-6.646452844142913818e-02,-1.018313646316528320e+00,3.961843624711036682e-02,1.375958196241764131e-01
-2.053811252117156982e-01,6.821112036705017090e-01,7.062967419624328613e-01,3.098796685486420593e-02
6.543488055467605591e-02,-8.647660017013549805e-01,8.306927084922790527e-01,1.137081214445097438e-01
5.893506407737731934e-01,2.968895435333251953e-01,6.702067852020263672e-01,9.629401211592085452e-02
2.549604475498199463e-01,3.839899301528930664e-01,8.495135307312011719e-01,2.516330766496178706e-01
-7.988722920417785645e-01,9.854707121849060059e-01,-1.213380813598632812e+00,1.497796112697299120e-01
-5.039327740669250488e-01,-5.820751786231994629e-01,4.729288220405578613e-01,9.484914078877848542e-02
-8.233506232500076294e-04,-7.523427158594131470e-02,-1.073533575981855392e-02,9.755807741167549230e-02
-2.869321219623088837e-02,5.367380380630493164e-02,-7.449122071266174316e-01,1.024936240996483922e-01
1.614226698875427246e-01,-1.278532445430755615e-01,5.185709148645401001e-02,7.573356425534708003e-02
6.216927170753479004e-01,3.545277416706085205e-01,4.871592819690704346e-01,2.315764066882813194e-02
-2.551564574241638184e-01,6.101590767502784729e-02,-8.925616741180419922e-01,1.007557087303834892e-01
-2.465928196907043457e-01,6.835976243019104004e-01,-5.151935815811157227e-01,8.970416650753165744e-02
2.590471506118774414e-01,-3.060899674892425537e-01,6.523808240890502930e-01,7.376672216710813967e-02
-4.709202647209167480e-01,1.163283467292785645e+00,-2.466640472412109375e-01,2.310038107280117797e-02
-3.323923945426940918e-01,3.849681317806243896e-01,7.310051918029785156e-01,9.228920502634996303e-02
-8.961239457130432129e-01,6.838592886924743652e-01,-1.403874605894088745e-01,8.290775493945076735e-02
2.033675312995910645e-01,-2.432479262351989746e-01,7.652053833007812500e-01,1.619624321031383485e-01
3.205123543739318848e-01,3.533936440944671631e-01,7.162778079509735107e-02,7.367464101528784295e-03
1.249423176050186157e-01,-1.253606081008911133e+00,8.994515985250473022e-02,5.956239266269174049e-02
-5.859237909317016602e-01,-3.207676112651824951e-01,-5.303875207901000977e-01,3.179949986047318072e-02
-6.050338745117187500e-01,1.784505844116210938e-01,-7.706795334815979004e-01,1.202071114949019859e-01
1.939220577478408813e-01,-6.633809208869934082e-01,7.194321751594543457e-01,6.844883471049040269e-02
-1.880351155996322632e-01,-2.408720552921295166e-01,1.014928221702575684e+00,2.225231230131620996e-01
2.450184822082519531e-01,3.011270463466644287e-01,9.019531011581420898e-01,3.337950762535147331e-01
-1.390383094549179077e-01,6.817626357078552246e-01,-9.900248050689697266e-01,6.356194443971042995e-02
-4.108275175094604492e-01,4.345182701945304871e-02,-8.477485775947570801e-01,1.404675929858978933e-01
-7.135584354400634766e-01,3.785398602485656738e-01,-1.022471189498901367e+00,4.345672977002860982e-02
1.012653112411499023e-01,-5.171260237693786621e-01,1.807373017072677612e-02,3.965006571993229256e-02
7.810291647911071777e-01,-1.112894415855407715e+00,-3.676384985446929932e-01,2.324241024684235435e-01
-4.195628315210342407e-02,-5.930144190788269043e-01,4.368513077497482300e-02,2.543121301831867409e-02
2.647694200277328491e-02,7.039619088172912598e-01,-1.010441541671752930e+00,2.335972985062438265e-02
5.245223045349121094e-01,6.631003022193908691e-01,9.995381236076354980e-01,2.046307627269995377e-01
-3.540464341640472412e-01,-2.938564717769622803e-01,-1.361236423254013062e-01,3.731680553374815135e-02
4.421479701995849609e-01,-9.881790280342102051e-01,-1.691662371158599854e-01,6.319379440579123153e-02
6.077512353658676147e-02,2.792111039161682129e-01,2.076584845781326294e-01,4.679201781733746679e-02
7.413006424903869629e-01,-8.689584136009216309e-01,-1.106976866722106934e-01,9.165472236685717755e-02
-1.737340241670608521e-01,6.232324838638305664e-01,9.898519515991210938e-01,6.765748125656430301e-02
7.160809636116027832e-01,-2.399539202451705933e-02,4.158727228641510010e-01,2.221303672437037746e-01
1.644572317600250244e-01,2.246599644422531128e-02,2.461755648255348206e-04,1.821123429665636728e-01
-6.053926050662994385e-02,-6.991512179374694824e-01,-6.079354882240295410e-01,5.597011517202322289e-02
-4.998725652694702148e-01,7.309013605117797852e-01,2.977291941642761230e-01,6.261845895995457600e-02
1.020346879959106445e+00,-1.136187553405761719e+00,-2.122705280780792236e-01,9.904856005905078586e-02
3.384945988655090332e-01,-5.784956812858581543e-01,4.616273194551467896e-02,4.366469777404862612e-02
-1.810761690139770508e-01,7.013881802558898926e-01,7.271893620491027832e-01,6.116145254603990583e-02
-6.344447731971740723e-01,5.733863711357116699e-01,-3.234754502773284912e-01,2.887203654798170885e-02
2.120685726404190063e-01,-2.547237873077392578e-01,5.501087903976440430e-01,2.151291881310161622e-02
1.713957935571670532e-01,-1.765401363372802734e-01,6.235814094543457031e-01,3.962839837183549513e-02
-3.305909037590026855e-02,-8.212848305702209473e-01,7.977719306945800781e-01,9.257835130035846349e-02
2.420391589403152466e-01,5.322636961936950684e-01,-6.440691351890563965e-01,2.031586197423456974e-01
3.354287743568420410e-01,-2.303292155265808105e-01,7.661533951759338379e-01,1.701034399184594981e-01
1.159844398498535156e-01,-2.473456263542175293e-01,6.661117672920227051e-01,5.974769864097227018e-02
-3.699317872524261475e-01,9.667744636535644531e-01,6.300048232078552246e-01,1.515401382122580354e-02
-1.945097148418426514e-01,8.204709887504577637e-01,-1.155375957489013672e+00,5.337945707760526765e-02
1.016150355339050293e+00,-9.844270348548889160e-01,-3.104629740118980408e-02,9.817360618933949901e-02
-3.110303282737731934e-01,2.227002978324890137e-01,-1.125479817390441895e+00,5.577439565987484318e-03
-1.589167118072509766e-01,8.769713342189788818e-02,1.446231752634048462e-01,1.659117238078486670e-02
8.847851753234863281e-01,-8.836694359779357910e-01,2.362791821360588074e-02,5.269495777725313052e-02
-2.166295051574707031e-01,-5.332595854997634888e-02,-3.496592491865158081e-02,2.089800954340010480e-02
3.879643380641937256e-01,7.556574791669845581e-02,5.567342042922973633e-01,6.077518069423897690e-02
9.597815871238708496e-01,1.364261865615844727e+00,9.637553095817565918e-01,1.283894640104522866e-01
1.598922908306121826e-01,2.499124407768249512e-02,2.360652238130569458e-01,3.025644806505316947e-02
-2.079662829637527466e-01,6.061562150716781616e-02,1.372941583395004272e-01,2.344730676394740990e-02
6.149356961250305176e-01,-1.143850088119506836e+00,-9.247098118066787720e-02,1.975548333896953446e-01
3.419874608516693115e-01,5.111162066459655762e-01,3.949676156044006348e-01,1.225853979347893592e-02
2.145399302244186401e-01,-1.600875854492187500e+00,1.617433428764343262e-01,1.907802356989062309e-01
6.767695546150207520e-01,-1.121336594223976135e-01,-1.252708733081817627e-01,1.215978894624300255e-01
-3.284629583358764648e-01,-6.197636127471923828e-01,1.929678469896316528e-01,2.966413428853197434e-02
7.778072953224182129e-01,3.625877201557159424e-02,-2.008059173822402954e-01,7.290620514354176351e-02
-6.815242767333984375e-01,1.286514401435852051e+00,-3.681598901748657227e-01,5.176901274714563322e-02
4.273670911788940430e-01,-1.909478753805160522e-02,-1.728983670473098755e-01,2.674833202745316441e-02
-1.109787262976169586e-02,1.951405704021453857e-01,1.129279360175132751e-01,7.302596888170938272e-02
6.301677227020263672e-02,-9.994844794273376465e-01,1.457216590642929077e-01,4.307422542206688215e-02
-3.812119066715240479e-01,-4.181430935859680176e-01,8.351470232009887695e-01,1.189866024025577201e-01
-4.216680824756622314e-01,4.584979414939880371e-01,-1.134038805961608887e+00,5.295572790359936305e-02
-1.477670073509216309e-01,-9.495519995689392090e-01,-3.091840445995330811e-01,5.450462217833117878e-02
-5.205644369125366211e-01,-8.174300193786621094e-01,4.971488192677497864e-02,1.630182421720550445e-01
