x,y,z,dist
-1.339465826749801636e-01,2.520160973072052002e-01,2.251577079296112061e-01,2.731938770260334409e-02
-7.365214824676513672e-01,1.660882085561752319e-01,-1.851148009300231934e-01,3.104717936333404801e-02
-3.020019829273223877e-01,-9.235981106758117676e-01,-1.802673786878585815e-01,5.345229984293198289e-02
-5.779478549957275391e-01,6.061130762100219727e-01,3.890037536621093750e-01,1.857553894450421697e-02
-2.400414049625396729e-01,9.214084148406982422e-01,-1.587778925895690918e-01,4.717886368730955099e-02
-6.507551074028015137e-01,-4.976219534873962402e-01,-7.723686099052429199e-01,1.353233945059038879e-01
3.461359441280364990e-01,-9.219431281089782715e-01,1.362704634666442871e+00,1.517092340086135804e-01
-1.353967636823654175e-01,7.509545087814331055e-01,-1.199271321296691895e+00,3.682255012048829546e-02
-2.975030839443206787e-01,1.023591309785842896e-01,1.304990500211715698e-01,1.086500527249284129e-02
-6.122692823410034180e-01,1.325458407402038574e+00,-1.249415755271911621e+00,1.246779869423093740e-01
-5.965307950973510742e-01,6.345679163932800293e-01,-1.170043587684631348e+00,1.119185831472086362e-01
-3.972170650959014893e-01,-6.270844489336013794e-02,-6.544806063175201416e-02,5.483326059355467935e-02
-6.806185841560363770e-01,-3.160647302865982056e-02,-2.898209989070892334e-01,4.201707395311349985e-02
-2.630344927310943604e-01,-8.288862705230712891e-01,5.334948003292083740e-02,3.064505006900895834e-02
-2.800053358078002930e-01,-8.958985209465026855e-01,-3.583306446671485901e-02,9.322872799277180655e-02
7.639208436012268066e-02,-7.597729563713073730e-01,1.158679127693176270e+00,1.804864752177019749e-01
-2.224397659301757812e-01,4.626181721687316895e-01,5.451817512512207031e-01,2.065976179123627521e-01
-2.477532625198364258e-01,9.198040366172790527e-01,-1.070616841316223145e-01,8.163229622152055887e-02
9.953719377517700195e-02,1.174054667353630066e-01,9.759109467267990112e-03,1.058536847069919545e-01
2.749546170234680176e-01,7.348434925079345703e-01,8.950513005256652832e-01,1.657692504716311854e-01
2.434449791908264160e-01,5.287677049636840820e-01,-7.093909978866577148e-01,1.332745214832086744e-01
-2.400940656661987305e-02,6.525712013244628906e-01,-8.315269351005554199e-01,1.473974463493419873e-01
