x,y,z,dist
-6.135032176971435547e-01,-3.772646486759185791e-01,-1.444480717182159424e-01,4.876528673454257751e-02
1.130767539143562317e-01,5.011138916015625000e-01,-6.956462264060974121e-01,1.599879108392144311e-01
-1.431460976600646973e-01,2.823569476604461670e-01,-1.104432582855224609e+00,6.119610697417585121e-02
4.970481395721435547e-01,-8.156169652938842773e-01,-2.329181879758834839e-01,1.563379345682624003e-02
-3.962686657905578613e-01,6.090219616889953613e-01,-1.282403826713562012e+00,1.095704321935099951e-01
-4.421205222606658936e-01,-5.329118967056274414e-01,6.179417371749877930e-01,4.016423825465961078e-02
-3.421043753623962402e-01,-8.444293737411499023e-01,1.327257007360458374e-01,6.990540545415628582e-02
-2.992368638515472412e-01,4.862195849418640137e-01,-4.552451074123382568e-01,1.018656823363714853e-01
-9.563785046339035034e-02,-8.568398952484130859e-01,3.502041995525360107e-01,1.116818406359631477e-01
-2.436392009258270264e-03,-1.031443476676940918e+00,4.525225460529327393e-01,6.920336462178083847e-02
9.110144376754760742e-01,1.514936089515686035e+00,3.209501132369041443e-02,3.675584467336332484e-01
4.609122872352600098e-01,-7.563988566398620605e-01,-4.621845856308937073e-02,1.130061861237536686e-01
-1.648177802562713623e-01,-1.297945141792297363e+00,-1.427493616938591003e-02,1.781014317945645367e-02
4.342336207628250122e-02,-1.220040798187255859e+00,5.907376408576965332e-01,6.768025724004680943e-02
1.152796149253845215e+00,-6.476144790649414062e-01,-1.507828086614608765e-01,8.827178275212781144e-02
-8.260264396667480469e-01,6.069330498576164246e-02,1.876293122768402100e-01,1.861273268258953062e-01
-2.682828009128570557e-01,8.432564735412597656e-01,-1.168977379798889160e+00,3.631357157706539829e-02
4.258752167224884033e-01,-8.113790154457092285e-01,-3.312515020370483398e-01,2.769213470976641597e-02
-2.705627679824829102e-01,-1.261636316776275635e-01,4.892567098140716553e-01,3.692069917806233698e-02
-6.011694073677062988e-01,-3.717495799064636230e-01,-1.665785759687423706e-01,5.948251741451208996e-02
-5.613754391670227051e-01,-2.917117774486541748e-01,5.326332449913024902e-01,2.233185951416142428e-02
-3.730511367321014404e-01,-1.155432090163230896e-01,4.542019069194793701e-01,1.737908668575708498e-02
-1.396977901458740234e-01,-1.244675278663635254e+00,6.719657778739929199e-01,7.747460010449927492e-02
-1.910229027271270752e-01,7.440093159675598145e-02,9.585066139698028564e-02,3.657111631366299215e-02
-6.513201594352722168e-01,8.158565163612365723e-01,3.715609014034271240e-01,2.445558829152880143e-02
1.278342306613922119e-02,-8.227484226226806641e-01,6.098136901855468750e-01,5.722052312558045112e-02
4.754180461168289185e-02,-7.227713465690612793e-01,8.978910446166992188e-01,2.003567310931765599e-01
2.204521000385284424e-01,7.088748812675476074e-01,-5.816077589988708496e-01,2.137279106378002502e-01
-2.083343565464019775e-01,6.658968329429626465e-02,-9.034832119941711426e-01,1.011720039908899499e-01
